"OpenDate","cases","WEEK1TAVG","WEEK2TAVG","WEEK1TDIF","WEEK2TDIF","WEEK1PRCP","WEEK3TAVG","WEEK4TAVG","WEEK2PRCP","WEEK4TDIF","WEEK3PRCP","WEEK4PRCP","WEEK3TDIF","fitted","conf.fit","conf.lwr","conf.upr","conf_lwr","conf_upr"
2018-10-01, 65,76.4,78.0,16.000000,14.120000,0.2956923077,76.0,80.1,2.3084615385,16.055385,4.8438461538,1.079415e+01,11.240000,42.74871,42.74871,29.49821,55.99920,29.49821,55.99920
2018-10-02, 75,76.3,78.0,15.861333,13.441333,0.2785333333,76.6,78.6,1.7536000000,13.365333,4.0988000000,1.031200e+01,13.273333,41.81273,41.81273,29.55884,54.06662,29.55884,54.06662
2018-10-03, 85,75.7,78.0,15.508235,13.448235,0.3123529412,77.4,78.1,1.8416470588,12.924706,3.3817647059,5.712941e+00,13.931765,42.59677,42.59677,35.88808,49.30546,35.88808,49.30546
2018-10-04, 72,75.6,78.0,14.700000,14.430556,0.4709722222,77.9,77.7,1.5929166667,12.930556,2.8259722222,5.888333e+00,13.405556,42.23884,42.23884,35.56603,48.91165,35.56603,48.91165
2018-10-05, 53,76.7,76.9,14.600000,14.800000,0.5656603774,78.1,77.3,1.5469811321,13.196226,3.0535849057,5.529811e+00,13.300000,42.86168,42.86168,36.52497,49.19839,36.52497,49.19839
2018-10-06,  8,77.9,75.7,14.100000,15.900000,0.6212500000,78.6,77.0,1.3075000000,12.525000,2.5762500000,5.703750e+00,13.200000,42.25935,42.25935,35.83576,48.68293,35.83576,48.68293
2018-10-07,  7,78.6,75.7,15.000000,15.700000,0.5671428571,78.7,76.1,0.1500000000,10.914286,2.4585714286,6.057143e+00,13.500000,40.27280,40.27280,33.30768,47.23791,33.30768,47.23791
2018-10-08, 46,79.0,76.4,14.500000,16.000000,0.6943478261,78.0,76.0,0.3789130435,11.130435,2.0106521739,4.811522e+00,14.000000,41.26561,41.26561,35.80800,46.72321,35.80800,46.72321
2018-10-09, 53,79.1,76.3,13.866038,16.088679,0.4718867925,78.0,76.6,0.2583018868,13.237736,1.9326415094,3.981132e+00,13.286792,40.19802,40.19802,35.45609,44.93995,35.45609,44.93995
2018-10-10, 81,78.9,75.7,14.000000,15.400000,1.2077777778,78.0,77.4,0.3580246914,13.461728,1.7754320988,3.607654e+00,13.750617,42.76445,42.76445,38.40740,47.12151,38.40740,47.12151
2018-10-11, 55,77.7,75.6,14.400000,14.700000,2.1203636364,78.0,77.9,0.5358181818,13.980000,1.8812727273,3.266182e+00,14.500000,46.04757,46.04757,41.73963,50.35550,41.73963,50.35550
2018-10-12, 35,76.1,76.7,14.294286,14.717143,1.8145714286,76.9,78.1,0.4640000000,13.725714,1.6457142857,3.198571e+00,14.874286,44.57478,44.57478,40.52121,48.62836,40.52121,48.62836
2018-10-13,  7,75.0,77.9,15.028571,14.042857,1.5042857143,75.7,78.6,0.6428571429,13.600000,1.2742857143,2.628571e+00,15.928571,43.37866,43.37866,39.88471,46.87260,39.88471,46.87260
2018-10-14, 13,74.7,78.6,14.692308,14.823077,1.7815384615,75.7,78.7,0.6253846154,13.376923,0.1553846154,3.630769e+00,15.738462,43.01615,43.01615,38.28439,47.74791,38.28439,47.74791
2018-10-15, 33,75.0,79.0,14.806061,14.481818,1.4430303030,76.4,78.0,0.4887878788,13.906061,0.2618181818,2.477576e+00,16.063636,41.99274,41.99274,38.31753,45.66794,38.31753,45.66794
2018-10-16, 66,72.6,79.1,18.293939,13.754545,2.2303030303,76.3,78.0,0.5760606061,13.653030,0.2172727273,1.833182e+00,15.693939,43.95272,43.95272,39.96777,47.93766,39.96777,47.93766
2018-10-17, 70,68.6,78.9,16.600000,14.000000,2.1407142857,75.7,78.0,1.3064285714,13.501429,0.3474285714,2.070714e+00,15.400000,44.76758,44.76758,40.76002,48.77513,40.76002,48.77513
2018-10-18, 49,65.9,77.7,15.100000,14.353061,1.7142857143,75.6,78.0,1.9512244898,14.879592,0.6118367347,1.797143e+00,14.700000,44.24965,44.24965,40.38184,48.11746,40.38184,48.11746
2018-10-19, 66,63.9,76.1,14.300000,14.098485,1.8939393939,76.7,76.9,2.2506060606,15.213636,0.3615151515,1.896970e+00,14.695455,44.96041,44.96041,40.70865,49.21217,40.70865,49.21217
2018-10-20, 29,62.3,75.0,12.300000,15.000000,2.4086206897,77.9,75.7,1.9031034483,15.844828,0.4106896552,1.502414e+00,14.100000,46.37353,46.37353,41.93872,50.80835,41.93872,50.80835
2018-10-21, 17,60.3,74.7,12.058824,14.582353,2.2600000000,78.6,75.7,2.2029411765,15.564706,0.5605882353,1.494118e-01,14.958824,46.38646,46.38646,41.53110,51.24182,41.53110,51.24182
2018-10-22, 98,57.9,75.0,12.115306,14.954082,2.4191836735,79.0,76.4,1.8550000000,15.902041,0.4834693878,2.544898e-01,14.427551,45.51399,45.51399,40.43553,50.59246,40.43553,50.59246
2018-10-23, 78,57.9,72.6, 9.347436,18.214103,1.4883333333,79.1,76.3,2.0829487179,16.229487,0.5696153846,2.842308e-01,13.612821,42.33381,42.33381,37.07254,47.59507,37.07254,47.59507
2018-10-24, 59,59.1,68.6,10.600000,16.600000,1.1859322034,78.9,75.7,2.4511864407,15.630508,1.0640677966,3.181356e-01,14.000000,42.53531,42.53531,37.56752,47.50310,37.56752,47.50310
2018-10-25,162,60.0,65.9,10.400000,15.100000,1.3761728395,77.7,75.6,1.9667901235,15.001235,2.1979012346,4.791358e-01,14.400000,44.14454,44.14454,39.36555,48.92353,39.36555,48.92353
2018-10-26,120,61.1,63.9,11.900000,14.300000,1.5225833333,76.1,76.7,1.7666666667,14.941667,1.9977500000,4.624167e-01,14.200000,44.10832,44.10832,39.68561,48.53104,39.68561,48.53104
2018-10-27, 48,61.6,62.3,14.656250,12.170833,1.3381250000,75.0,77.9,2.1131250000,14.331250,1.9393750000,4.975000e-01,14.691667,43.70570,43.70570,39.28699,48.12440,39.28699,48.12440
2018-10-28, 20,61.7,60.3,17.300000,12.100000,1.0935000000,74.7,78.6,2.3785000000,14.790000,2.0375000000,4.570000e-01,14.700000,42.23567,42.23567,37.64188,46.82946,37.64188,46.82946
2018-10-29,161,62.3,57.9,19.197516,12.300000,1.4061490683,75.0,79.0,2.4403105590,14.293789,1.9734161491,5.059006e-01,14.895652,42.58229,42.58229,37.69580,47.46878,37.69580,47.46878
2018-10-30,112,63.6,57.9,20.800000, 9.400000,1.2402678571,72.6,79.1,1.5985714286,13.700893,2.4711607143,8.099107e-01,18.298214,41.47020,41.47020,36.26436,46.67603,36.26436,46.67603
2018-10-31, 97,66.0,59.1,21.207216,10.584536,0.9898969072,68.6,78.9,1.2484536082,13.440206,2.4194845361,1.029072e+00,16.777320,41.06478,41.06478,36.30121,45.82836,36.30121,45.82836
