STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WESD,WESF,DATETIME
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,7/5/2018,,,1.15,,,,,,,,2018-07-05
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,7/6/2018,,,0.55,,,,,,,,2018-07-06
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,7/7/2018,,,0.25,,,,,,,,2018-07-07
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,7/8/2018,,,0.15,,,,,,,,2018-07-08
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,8/1/2018,,,0.31,,,,,,,,2018-08-01
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/4/2018,,,5.66,,,,,,,,2018-09-04
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/5/2018,,,1.35,,,,,,,,2018-09-05
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/7/2018,,,0.35,,,,,,,,2018-09-07
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/8/2018,,,1.5,,,,,,,,2018-09-08
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/9/2018,,,0.07,,,,,,,,2018-09-09
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/10/2018,,,0.03,,,,,,,,2018-09-10
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/11/2018,,,0.72,,,,,,,,2018-09-11
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/12/2018,,,0.03,,,,,,,,2018-09-12
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/13/2018,,,0.05,,,,,,,,2018-09-13
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/14/2018,,,0.36,,,,,,,,2018-09-14
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/15/2018,,,1.09,,,,,,,,2018-09-15
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/16/2018,,,1.16,,,,,,,,2018-09-16
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/17/2018,,,0.76,,,,,,,,2018-09-17
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/21/2018,,,0.09,,,,,,,,2018-09-21
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/22/2018,,,1.71,,,,,,,,2018-09-22
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,9/23/2018,,,0.02,,,,,,,,2018-09-23
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/14/2018,,,0.07,,,,,,,,2018-10-14
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/15/2018,,,0.17,,,,,,,,2018-10-15
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/16/2018,,,2.05,,,,,,,,2018-10-16
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/17/2018,,,0.13,,,,,,,,2018-10-17
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/18/2018,,,0.02,,,,,,,,2018-10-18
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/19/2018,,,0.37,,,,,,,,2018-10-19
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/20/2018,,,0.13,,,,,,,,2018-10-20
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/21/2018,,,0,0,,,,,,,2018-10-21
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/22/2018,,,0,0,,,,,,,2018-10-22
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,10/31/2018,9,1.33,0.15,,,,,,,,2018-10-31
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/1/2018,,,1.44,,,,,,,,2018-11-01
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/2/2018,,,0,0,,,,,,,2018-11-02
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/3/2018,,,0,0,,,,,,,2018-11-03
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/4/2018,,,0.03,,,,,,,,2018-11-04
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/5/2018,,,0,0,,,,,,,2018-11-05
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/6/2018,,,0,0,,,,,,,2018-11-06
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/7/2018,,,0,0,,,,,,,2018-11-07
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/8/2018,,,0,0,,,,,,,2018-11-08
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/9/2018,,,1.37,,,,,,,,2018-11-09
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/10/2018,,,0.13,,,,,,,,2018-11-10
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/11/2018,,,0.01,,,,,,,,2018-11-11
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,11/12/2018,,,0.14,,,,,,,,2018-11-12
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,12/7/2018,,,0.25,,,,,,,,2018-12-07
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,12/8/2018,,,1.27,,,,,,,,2018-12-08
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,12/19/2018,,,0.04,,,,,,,,2018-12-19
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,12/27/2018,,,0.86,,,,,,,,2018-12-27
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,1/2/2019,,,0.29,,,,,,,,2019-01-02
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,1/3/2019,,,0.65,,,,,,,,2019-01-03
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,1/4/2019,,,0.03,,,,,,,,2019-01-04
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,2/9/2019,,,0.17,,,,,,,,2019-02-09
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,5/31/2019,,,0.31,,,,,,,,2019-05-31
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,6/17/2019,,,1.17,,,,,,,,2019-06-17
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,6/18/2019,,,0.06,,,,,,,,2019-06-18
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,6/22/2019,,,0.43,,,,,,,,2019-06-22
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,6/25/2019,,,1.27,,,,,,,,2019-06-25
US1TXBXR218,"CASTLE HILLS 0.7 NW, TX US",29.53013388,-98.52755047,260.9,6/30/2019,,,1.52,,,,,,,,2019-06-30
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/1/2018,,,0,0,,,,,,,2018-07-01
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/2/2018,,,0,0,,,,,,,2018-07-02
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/3/2018,,,0,0,,,,,,,2018-07-03
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/4/2018,,,0,0,,,,,,,2018-07-04
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/5/2018,,,1.81,,,,,,,,2018-07-05
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/6/2018,,,1.46,,,,,,,,2018-07-06
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/7/2018,,,0.09,,,,,,,,2018-07-07
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/8/2018,,,0.8,,,,,,,,2018-07-08
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/9/2018,,,1.55,,,,,,,,2018-07-09
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/10/2018,,,2.34,,,,,,,,2018-07-10
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/11/2018,,,0.01,,,,,,,,2018-07-11
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/12/2018,,,0,0,,,,,,,2018-07-12
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/13/2018,,,0,0,,,,,,,2018-07-13
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/14/2018,,,0,0,,,,,,,2018-07-14
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/15/2018,,,0,0,,,,,,,2018-07-15
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/16/2018,,,0,0,,,,,,,2018-07-16
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/17/2018,,,0,0,,,,,,,2018-07-17
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/18/2018,,,0,0,,,,,,,2018-07-18
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/19/2018,,,0,0,,,,,,,2018-07-19
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/20/2018,,,0,0,,,,,,,2018-07-20
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/21/2018,,,0,0,,,,,,,2018-07-21
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/22/2018,,,0,0,,,,,,,2018-07-22
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/23/2018,,,0,0,,,,,,,2018-07-23
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/24/2018,,,0,0,,,,,,,2018-07-24
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/25/2018,,,0,0,,,,,,,2018-07-25
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/26/2018,,,0,0,,,,,,,2018-07-26
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/27/2018,,,0,0,,,,,,,2018-07-27
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/28/2018,,,0,0,,,,,,,2018-07-28
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/29/2018,,,0,0,,,,,,,2018-07-29
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/30/2018,,,0,0,,,,,,,2018-07-30
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,7/31/2018,,,0,0,,,,,,,2018-07-31
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/1/2018,,,0,0,,,,,,,2018-08-01
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/2/2018,,,0,0,,,,,,,2018-08-02
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/3/2018,,,0,0,,,,,,,2018-08-03
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/11/2018,8,0.21,0.03,,,,,,,,2018-08-11
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/12/2018,,,0,0,,,,,,,2018-08-12
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/13/2018,,,0.47,,,,,,,,2018-08-13
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/14/2018,,,0,0,,,,,,,2018-08-14
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/15/2018,,,0,0,,,,,,,2018-08-15
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/16/2018,,,0,0,,,,,,,2018-08-16
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/17/2018,,,0,0,,,,,,,2018-08-17
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/18/2018,,,0,0,,,,,,,2018-08-18
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/19/2018,,,0,0,,,,,,,2018-08-19
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/20/2018,,,0,0,,,,,,,2018-08-20
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/21/2018,,,0,0,,,,,,,2018-08-21
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/22/2018,,,0,0,,,,,,,2018-08-22
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/23/2018,,,0,0,,,,,,,2018-08-23
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/24/2018,,,0,0,,,,,,,2018-08-24
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/25/2018,,,0,0,,,,,,,2018-08-25
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/26/2018,,,0,0,,,,,,,2018-08-26
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/27/2018,,,0,0,,,,,,,2018-08-27
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/28/2018,,,0,0,,,,,,,2018-08-28
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/29/2018,,,0,0,,,,,,,2018-08-29
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/30/2018,,,0,0,,,,,,,2018-08-30
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,8/31/2018,,,0,0,,,,,,,2018-08-31
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/1/2018,,,0,0,,,,,,,2018-09-01
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/2/2018,,,0,0,,,,,,,2018-09-02
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/3/2018,,,0,0,,,,,,,2018-09-03
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/4/2018,,,8.79,,,,,,,,2018-09-04
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/5/2018,,,0.65,,,,,,,,2018-09-05
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/6/2018,,,0.06,,,,,,,,2018-09-06
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/7/2018,,,0.05,,,,,,,,2018-09-07
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/8/2018,,,0.78,,,,,,,,2018-09-08
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/9/2018,,,3.38,,,,,,,,2018-09-09
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/10/2018,,,0.84,,,,,,,,2018-09-10
US1TXBXR215,"HOLLYWOOD PARK 4.5 NE, TX US",29.647582,-98.433828,318.2,9/11/2018,,,1.24,,,,,,,,2018-09-11
