CASEID,WEEK1PRCP,WEEK1SNOW,WEEK1TFRZ,WEEK1TMAX,WEEK1TMIN,WEEK1TAVG,WEEK1TDIF,WEEK2PRCP,WEEK2SNOW,WEEK2TFRZ,WEEK2TMAX,WEEK2TMIN,WEEK2TAVG,WEEK2TDIF,WEEK3PRCP,WEEK3SNOW,WEEK3TFRZ,WEEK3TMAX,WEEK3TMIN,WEEK3TAVG,WEEK3TDIF,WEEK4PRCP,WEEK4SNOW,WEEK4TFRZ,WEEK4TMAX,WEEK4TMIN,WEEK4TAVG,WEEK4TDIF
1014927554,0.33,0.0,0,86.0,70.1,76.4,16.0,2.05,0.0,0,86.3,72.2,78.0,14.0,4.18,0.0,0,83.5,72.4,76.0,11.1,5.55,0.0,0,91.0,74.8,80.1,16.2
1014927555,0.38,0.0,0,86.0,70.1,76.4,16.0,1.77,0.0,0,86.3,72.2,78.0,14.0,3.9,0.0,0,83.6,72.3,76.0,11.2,8.93,0.0,0,90.2,74.0,80.1,16.1
1014927558,0.45,0.0,0,86.0,70.1,76.4,16.0,2.13,0.0,0,86.3,72.2,78.0,14.0,5.43,0.0,0,83.9,72.4,76.0,11.4,7.24,0.0,0,90.5,74.5,80.1,16.0
1014927560,0.16,0.0,0,86.0,70.1,76.4,16.0,2.25,0.0,0,86.3,72.2,78.0,14.0,3.0,0.0,0,83.6,72.4,76.0,11.2,13.14,0.0,0,90.4,74.2,80.1,16.2
1014927574,0.26,0.0,0,86.0,70.1,76.4,16.0,1.82,0.0,0,86.3,72.2,78.0,14.0,4.72,0.0,0,83.9,72.4,76.0,11.4,8.95,0.0,0,90.5,74.5,80.1,16.0
1014927584,0.34,0.0,0,86.0,70.1,76.4,16.0,2.11,0.0,0,86.3,72.2,78.0,14.0,4.11,0.0,0,83.8,72.5,76.0,11.3,7.89,0.0,0,90.4,74.2,80.1,16.2
1014927585,0.26,0.0,0,86.0,70.1,76.4,16.0,1.78,0.0,0,86.3,72.2,78.0,14.0,5.56,0.0,0,83.9,72.4,76.0,11.4,11.56,0.0,0,90.5,74.5,80.1,16.0
1014927594,0.18,0.0,0,86.0,70.1,76.4,16.0,2.31,0.0,0,86.3,72.2,78.0,14.0,3.48,0.0,0,83.7,72.4,76.0,11.2,12.47,0.0,0,90.4,74.2,80.1,16.2
1014927659,0.27,0.0,0,86.0,70.1,76.4,16.0,1.95,0.0,0,86.3,72.2,78.0,14.0,4.89,0.0,0,83.9,72.4,76.0,11.4,11.82,0.0,0,90.5,74.5,80.1,16.0
1014927777,0.16,0.0,0,86.0,70.1,76.4,16.0,2.04,0.0,0,86.3,72.2,78.0,14.0,3.37,0.0,0,83.4,72.4,76.0,11.1,8.64,0.0,0,90.4,74.2,80.1,16.2
1014927832,0.28,0.0,0,86.0,70.1,76.4,16.0,1.96,0.0,0,86.3,72.2,78.0,14.0,5.03,0.0,0,83.9,72.4,76.0,11.4,8.96,0.0,0,90.5,74.5,80.1,16.0
1014927845,0.16,0.0,0,86.0,70.1,76.4,16.0,2.23,0.0,0,86.3,72.2,78.0,14.0,3.34,0.0,0,83.4,72.3,76.0,11.1,8.62,0.0,0,90.4,74.2,80.1,16.2
1014927866,0.28,0.0,0,86.0,70.1,76.4,16.0,1.95,0.0,0,86.3,72.2,78.0,14.0,4.85,0.0,0,83.9,72.5,76.0,11.4,9.01,0.0,0,90.5,74.5,80.1,16.0
1014927895,0.18,0.0,0,86.0,70.1,76.4,16.0,2.14,0.0,0,86.3,72.2,78.0,14.0,3.64,0.0,0,83.3,72.3,76.0,11.0,9.56,0.0,0,90.4,74.2,80.1,16.2
1014927915,0.28,0.0,0,86.0,70.1,76.4,16.0,2.19,0.0,0,86.3,72.2,78.0,14.0,4.7,0.0,0,83.9,72.5,76.0,11.4,7.63,0.0,0,90.8,74.3,80.1,16.5
1014927940,0.18,0.0,0,86.0,70.1,76.4,16.0,2.14,0.0,0,86.3,72.2,78.0,14.0,3.7,0.0,0,83.3,72.3,76.0,11.0,11.85,0.0,0,90.1,74.0,80.1,16.1
1014927977,0.27,0.0,0,86.0,70.1,76.4,16.0,2.42,0.0,0,86.3,72.2,78.0,14.0,4.46,0.0,0,83.9,72.5,76.0,11.4,7.63,0.0,0,90.8,74.3,80.1,16.5
1014928099,0.18,0.0,0,86.0,70.1,76.4,16.0,2.0,0.0,0,86.3,72.2,78.0,14.0,3.68,0.0,0,83.3,72.3,76.0,11.0,10.19,0.0,0,90.1,74.0,80.1,16.1
1014928346,0.37,0.0,0,86.0,70.1,76.4,16.0,2.21,0.0,0,86.3,72.2,78.0,14.0,4.62,0.0,0,83.9,72.5,76.0,11.4,12.32,0.0,0,90.8,74.3,80.1,16.5
1014928353,0.18,0.0,0,86.0,70.1,76.4,16.0,1.95,0.0,0,86.3,72.2,78.0,14.0,3.77,0.0,0,83.3,72.3,76.0,11.0,12.85,0.0,0,90.1,74.0,80.1,16.1
1014928575,0.37,0.0,0,86.0,70.1,76.4,16.0,2.26,0.0,0,86.3,72.2,78.0,14.0,5.93,0.0,0,83.9,72.5,76.0,11.4,10.63,0.0,0,90.8,74.3,80.1,16.5
1014928633,0.16,0.0,0,86.0,70.1,76.4,16.0,1.97,0.0,0,86.3,72.2,78.0,14.0,3.95,0.0,0,83.3,72.3,76.0,11.0,12.21,0.0,0,90.1,74.0,80.1,16.1
1014928738,0.28,0.0,0,86.0,70.1,76.4,16.0,2.23,0.0,0,86.3,72.2,78.0,14.0,5.06,0.0,0,83.9,72.5,76.0,11.4,8.37,0.0,0,90.5,74.5,80.1,16.0
1014928789,0.16,0.0,0,86.0,70.1,76.4,16.0,1.65,0.0,0,86.3,72.2,78.0,14.0,4.02,0.0,0,83.3,72.3,76.0,11.0,13.67,0.0,0,90.1,74.0,80.1,16.1
1014928823,0.36,0.0,0,86.0,70.1,76.4,16.0,2.17,0.0,0,86.3,72.2,78.0,14.0,5.33,0.0,0,83.9,72.5,76.0,11.4,10.86,0.0,0,90.9,74.7,80.1,16.1
1014928824,0.32,0.0,0,86.0,70.1,76.4,16.0,2.06,0.0,0,86.3,72.2,78.0,14.0,4.17,0.0,0,83.3,72.2,76.0,11.1,10.36,0.0,0,90.1,74.0,80.1,16.1
1014928897,0.28,0.0,0,86.0,70.1,76.4,16.0,2.14,0.0,0,86.3,72.2,78.0,14.0,5.64,0.0,0,83.9,72.5,76.0,11.4,10.8,0.0,0,90.6,74.6,80.1,16.0
