OBJECTID,CASEID,OBJECTID_2,CartID,MSAG_Name
1,1014927554,32549,"521845",HAZEL CV
2,1014927555,9456,"421175",WILDBERRY CT
3,1014927558,57995,"845468",PRUE RD
4,1014927560,4982,"423684",TARASCO
5,1014927574,44161,"846111",STOUT DR
6,1014927584,61366,"428398",MANOR CRK
7,1014927585,65883,"315358",E EVANS RD
8,1014927594,5032,"410975",SHADY GREEN
9,1014927659,47931,"414236",GREENS PT
10,1014927777,50053,"502864",S CHERRY
11,1014927832,65542,"414099",GILL BRIDGE
12,1014927845,25664,"209166",N COLORADO ST
13,1014927866,56271,"502510",WYOMING ST
14,1014927895,90715,"501611",ROLAND AVE
15,1014927915,85829,"418664",ALHAMBRA
16,1014927940,84007,"503676",WHEATLEY AVE
17,1014927977,88433,"507729",3RD ST
18,1014928099,87365,"429568",HAMILTON WOLFE
19,1014928346,73388,"418375",WESTMORELAND
20,1014928353,65029,"412573",BROCKMAN
21,1014928575,66981,"412079",KEPLER DR
22,1014928633,18970,"505431",N GRIMES ST
23,1014928738,78700,"422153",BLACK WALNUT WOODS
24,1014928789,59052,"412513",INGRAM RD
25,1014928823,25744,"504097",E VILLARET BLVD
26,1014928824,69529,"412216",INGRAM RD
27,1014928897,37453,"411500",GRISSOM RD
28,1014928929,49715,"414141",JACLYN PARK
29,1014928948,21869,"510146",NAVARRO ST
30,1014928959,51100,"312853",SPACE CENTER DR
31,1014928979,71461,"846061",RICHLAND HILLS DR
32,1014929415,34928,"207171",NORTHILL DR
33,1014929437,36584,"309285",TREELINE PARK
34,1014929452,83834,"304272",VILLAGE DR
35,1014929776,89633,"416568",MERKENS
36,1014929786,22462,"416595",BRENDA LN
37,1014929808,67300,"509346",BARKMEYER
38,1014930098,61425,"313919",EISENHAUER RD
39,1014930117,30606,"310330",RITTIMAN RD
40,1014930184,8043,"411627",HIDDEN CRK
41,1014930227,74698,"8483110",A-10607
42,1014930305,44517,"510494",S PRESA ST
43,1014930403,26938,"203109",HANOVER
44,1014930501,36100,"824273",STEEN
45,1014930557,88795,"303961",SAN PEDRO AVE
46,1014930651,4494,"304803",CROOKED CRK
47,1014930667,36972,"207974",W LAUREL ST
48,1014930690,13403,"432445",Willow Grove Dr
49,1014930709,78619,"312791",MYSTIC SUNRISE DR
50,1014930710,80198,"308107",E TERRA ALTA
51,1014930734,88795,"303961",SAN PEDRO AVE
52,1014930765,26529,"306007",LEONHARDT RD
53,1014930775,96127,"507309",AVONDALE AVE
54,1014931071,79738,"307823",THOUSAND OAKS
55,1014931182,59490,"202733",N SAN HORACIO
56,1014931269,16070,"501674",AMITY RD
57,1014931348,22849,"504785",PIEDMONT AVE
58,1014931377,15375,"410084",STAR CREEK DR
59,1014931404,73643,"304287",MARYMONT DR
60,1014931440,81301,"418637",BASSE
61,1014931528,5284,"207130",BABCOCK RD
62,1014931530,68553,"414892",AUTUMN PARK
63,1014931663,44028,"416889",BABCOCK RD
64,1014931740,64121,"411787",NORTHWESTERN DR
65,1014931762,68718,"8482749",A-10334
66,1014931913,88556,"409399",PATTON BLVD
67,1014931922,40789,"202307",N SPRING
68,1014931923,15761,"406639",PLEASURE PARK
69,1014931925,59140,"428250",FORTUNA PLACE
70,1014931931,45829,"8480342",SOMERSET RD
71,1014931934,5467,"513210",EMERALD ASH
72,1014931984,53756,"505152",DWYER AVE
73,1014931989,7360,"423037",WHITEWOOD DR
74,1014931999,1435,"308705",HOPES FERRY
75,1014932009,52466,"847503",ROGERS PKWY
