"SwProjectID","ProjectCategory","CouncilDistrict","ProjectStreet","FromStreet","ToStreet","SideOfStreet","EstTotalCost","FiscalYear","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","PercentComplete","ProjectType","ProjectManager","Contact","ProjectLength","SidewalkInstalledFeet","ProjectStatus","ProjectLimits","Shape_Length","ActStart","ActFinish","ActDuration"
"519","IMP","5","S Rosillo","Saunders","W Cesar Chavez Blvd","Both Sides",55972.08,2024,2023-11-06,2023-11-29,2023-12-04,2023-12-08,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",687.28,687.28,"Completed","S Rosillo - Both Sides ( Saunders To W Cesar Chavez Blvd )",668.68508809967,2023-12-04,2023-12-08,4
"762","IMP","9","Stone Oak Pkwy","Oak Centre Dr","E Sonterra Blvd","One Side",124540.79,2024,2024-07-08,2024-08-09,NA,NA,0,"Sidewalks","Justin Gawlik","Erick Wildestorm: 210-461-1540",1146.89,1146.89,"Planning","Stone Oak Pkwy - West Side ( Oak Centre Dr To E Sonterra Blvd )",1146.89471625954,NA,NA,NA
"890","SW Repair","1","W Elsmere Place","Grant Ave","Michigan Ave","One Side",56453.76,2024,NA,NA,NA,NA,NA,NA,NA,NA,588.06,588.06,"Planning","W Elsmere Place - North Side ( Grant Ave To Michigan Ave )",588.056132264677,NA,NA,NA
"1066","IMP","6","Castleridge Dr","Crestfield","Pinn Rd","Both Sides",144838.6,2024,2024-09-10,2024-12-12,NA,NA,0,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",1778.47,1778.47,"Planning","Castleridge Dr - Both Sides ( Crestfield To Pinn Rd )",1778.47288569084,NA,NA,NA
"1077","IMP","6","Culebra Rd","Tom Slick Ave","Alamo Downs Pkwy","One Side",69414.57,2024,2024-08-05,2024-08-30,NA,NA,0,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",852.34,852.34,"Planning","Culebra Rd - North Side ( Tom Slick Ave To Alamo Downs Pkwy )",800.597162816608,NA,NA,NA
"1121","IMP","5","S Sabinas","Buena Vista St","W Cesar Chavez Blvd","Both Sides",92853.4,2024,2023-11-06,2024-01-12,2023-11-28,2023-12-31,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",995,995,"Completed","S Sabinas - Both Sides ( Buena Vista St To W Cesar Chavez Blvd )",996.47007971338,2023-11-28,2023-12-31,33
"1148","IMP","5","N Smith St","W Martin St","W Travis St","Both Sides",99307.41,2024,2024-08-05,2024-08-16,NA,NA,0,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",1064.16,1064.16,"Planning","N Smith St - Both Sides ( W Martin St To W Travis St )",1040.82108412661,NA,NA,NA
"1165","IMP","10","Everest Ave","Lorenz Rd","W Terra Alta","One Side",107480.21,2024,2024-02-19,2024-05-24,2024-02-19,2024-04-06,100,"Sidewalks","Kevin Guerrero","Erick Wildestorm: 210-461-1540",989.78,989.78,"Completed","Everest Ave - East Side ( Lorenz Rd To W Terra Alta )",960.03701406626,2024-02-19,2024-04-06,47
"1434","SW Repair","10","Parmenter Dr","Coleridge","Chesterton","Both Sides",169598.4,2024,NA,NA,NA,NA,NA,NA,NA,NA,1766.65,1766.65,"Planning","Parmenter Dr - Both Sides ( Coleridge To Chesterton )",1766.65053956376,NA,NA,NA
"1450","IMP","3","E Petaluma Blvd","Barranca Ave","Bascum Blvd","One Side",230232.57,2024,2024-02-01,2024-04-30,2024-02-01,2024-04-11,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",2467.13,2467.13,"Punchlists","E Petaluma Blvd - North Side ( Barranca Ave To Bascum Blvd )",2467.12513220225,2024-02-01,2024-04-11,70
"1452","IMP","3","Kopplow","Barranca Ave","Bascum Blvd","One Side",218293.21,2024,2024-01-15,2024-04-15,2023-12-14,2024-03-08,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",2339.19,2339.19,"Complete","Kopplow - North Side ( Barranca Ave To Bascum Blvd )",2339.19383677266,2023-12-14,2024-03-08,85
"1461","IMP","1","Cherry Ridge Dr","Deneice","Greenridge Dr","One Side",221302.08,2024,2024-04-22,2024-06-30,NA,NA,2,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",2037.96,2037.96,"Precon","Cherry Ridge Dr - South Side ( Deneice To Greenridge Dr )",2038.05072816317,NA,NA,NA
"1462","IMP","1","Trudell","Vance Jackson","West Ave","One Side",239796.01,2024,2024-06-10,2024-08-09,NA,NA,0,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",2569.61,2569.61,"Planning","Trudell - North Side ( Vance Jackson To West Ave )",2569.60685058963,NA,NA,NA
"1464","IMP","7","W Craig Place","N Elmendorf","N Zarzamora","Both Sides",143057.55,2024,2024-04-15,2024-07-22,2024-04-15,NA,75,"Sidewalks","Emanuel Saldana","Keith Schoonmaker: 210-303-4800",1317.41,1317.41,"Construction","W Craig Place - Both Sides ( N Elmendorf To N Zarzamora )",1317.41272979637,2024-04-15,NA,NA
"1489","IMP","2","Silver Lake Dr","Manhattan","Longleaf","Both Sides",111899.08,2024,2023-11-01,2024-02-26,2023-11-06,2024-01-16,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",1788,1199.09,"Completed","Silver Lake Dr - Both Sides ( Manhattan To Longleaf )",1197.08098915867,2023-11-06,2024-01-16,71
