"ProjectCategory","SMPProjectID","CouncilDistrict","ProjectStreet","StreetFrom","StreetTo","ProjectLimits","FiscalYear","Application","Type_","Force","WeightedPCI","PBaseFail","FieldBasePave","PFlatWork","EstTotalCost","ProjectStatus","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","ProjectManager","Contact","Shape_Length","Sealant_App","PCI_Factor","ActStart","ActFinish","ActDuration","START","Oday","Odate","Omonth","Ohour","Oyear","Otime"
"Preservation","15092","9","Enfield Park","Enfield Park","Jones Maltsberger Rd","Enfield Park From Enfield Park To Jones Maltsberger Rd",2016,"Fog Seal - City","Sealant","City",77,0,0,0,4455.397033858,"Base Budget",NA,NA,NA,NA,NA,NA,1592.60169535133,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15100","10","Preston Pass Dr","Preston Court Dr","Preston Hall Dr","Preston Pass Dr From Preston Court Dr To Preston Hall Dr",2016,"Fog Seal - City","Sealant","City",88,0,0,0,22490.4705269444,"Base Budget",NA,NA,NA,NA,NA,NA,1956.49487706158,"Fog Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15101","8","Sandpiper Park Dr","Cedar Park","Redlands Park Dr","Sandpiper Park Dr From Cedar Park To Redlands Park Dr",2014,"Fog Seal - City","Sealant","City",81,0,0,0,16045.1214963426,"No Change",NA,NA,NA,NA,NA,NA,1471.52571881755,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15109","8","La Cantera Pkwy","Entrance to Shops at La Cantera","Cantera Vista","La Cantera Pkwy From Entrance to Shops at La Cantera To Cantera Vista",2015,"Crack Seal - City","Sealant","City",80,0,0,0,9529.17253704497,"APCode",NA,NA,NA,NA,NA,NA,2848.00149942307,"Crack Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15110","8","La Cantera Pkwy","N Loop 1604 W Access Rd","Entrance to Shops at La Cantera","La Cantera Pkwy From N Loop 1604 W Access Rd To Entrance to Shops at La Cantera",2015,"Crack Seal - City","Sealant","City",77,0,0,0,4929.09730230862,"No Change",NA,NA,NA,NA,NA,NA,3655.18787556413,"Crack Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15120","8","Cougar Pass Dr","Indian Meadows Dr","Daylight Rdg","Cougar Pass Dr From Indian Meadows Dr To Daylight Rdg",2014,"Fog Seal - City","Sealant","City",82,0,0,0,9169.833243785,"APCode Change",NA,NA,NA,NA,NA,NA,928.425137156628,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15188","2","Versailles Dr","Picardie Dr","Marseilles","Versailles Dr From Picardie Dr To Marseilles",2017,"Fog Seal - City","Sealant","City",73,0,0,0,5630.35,"Defer2014",NA,NA,NA,NA,NA,NA,1165.31801633678,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15196","2","Brenhaven","Pecan Valley Dr","Dead End","Brenhaven From Pecan Valley Dr To Dead End",2014,"Crack Seal - City","Sealant","City",89,0,0,0,755.63,"0",NA,NA,NA,NA,NA,NA,638.004934409453,"Crack Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15245","6","Copperfield","Reed Rd","Rousseau","Copperfield From Reed Rd To Rousseau",2016,"Fog Seal - City","Sealant","City",74,0,0,0,13695.0785435272,"Base Budget",NA,NA,NA,NA,NA,NA,3182.70087831073,"Fog Seal","B (71-85)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
"Preservation","15271","6","Lauren Mist","Alexa Place","Cul-De-Sac","Lauren Mist From Alexa Place To Cul-De-Sac",2016,"Crack Seal - City","Sealant","City",90,0,0,0,2980.80040370906,"Base Budget",NA,NA,NA,NA,NA,NA,2801.78135891436,"Crack Seal","A (86-100)",NA,NA,NA,NA,NA,NA,NA,NA,"20NA",NA
