open_date,street_name,zipcode,council_district,close_date,sla_date,late,late_days,sla_days,latitude,longitude,case_duration,year,month,day_of_month,hour,day_name
2018-10-01,FLOYD CURL and HAMILTON WOLFE,78240,8,2018-10-01,2018-10-03,False,-2,2,29.5210024613524,-98.5839471028562,0,2018,October,1,9,Monday
2018-10-01,VILLARET BV E and YETT AVE,78221,3,2018-10-03,2018-10-03,True,0,2,29.3253555259224,-98.4923516453883,2,2018,October,1,10,Monday
2018-10-01,IH 35 N and SPACE CENTER,78218,2,2018-10-02,2018-10-03,False,-1,2,29.4740039871571,-98.4037542684637,1,2018,October,1,10,Monday
2018-10-01,LA COLONIA and RITTIMAN RD,78218,2,2018-10-02,2018-10-03,False,-1,2,29.4839175231607,-98.381139950813,1,2018,October,1,13,Monday
2018-10-01,BROOKPORT and HIDDEN CREEK,78238,6,2018-10-02,2018-10-03,False,-1,2,29.4782985478219,-98.6311703132536,1,2018,October,1,13,Monday
2018-10-01,CACTUS SUN and MYSTIC SUNRISE,78244,2,2018-10-02,2018-10-03,False,-1,2,29.4658134049165,-98.3689297338368,1,2018,October,1,15,Monday
2018-10-02,EMERALD ASH and MOURSUND BLVD,78221,3,2018-10-03,2018-10-04,False,-1,2,29.3185209782137,-98.5032940406174,1,2018,October,2,7,Tuesday
2018-10-02,HOPES FERRY and THOMAS SUMTER,78233,10,2018-10-03,2018-10-04,False,-1,2,29.5558083564939,-98.3659648204612,1,2018,October,2,7,Tuesday
2018-10-02,BROMLEY PLACE and SHERWOOD WAY,78217,10,2018-10-03,2018-10-04,False,-1,2,29.5725505307338,-98.3997440394676,1,2018,October,2,8,Tuesday
2018-10-02,OLD TEZEL RD and TIMBER RANCH,78250,6,2018-10-03,2018-10-04,False,-1,2,29.496258474711,-98.6650290529197,1,2018,October,2,8,Tuesday
2018-10-02,MACARTHUR VIEW and NACOGDOCHES RD,78217,10,2018-10-03,2018-10-04,False,-1,2,29.5261920933432,-98.4393648292084,1,2018,October,2,9,Tuesday
2018-10-02,COUNTRY SQUARE and HASKIN,78209,10,2018-10-03,2018-10-04,False,-1,2,29.5144521624575,-98.4481199163877,1,2018,October,2,9,Tuesday
2018-10-02,DELAWARE and HACKBERRY ST S,78210,2,2018-10-03,2018-10-04,False,-1,2,29.4080645662354,-98.4732118888386,1,2018,October,2,11,Tuesday
2018-10-02,HERITAGE FARM and OLD WAGON,78245,4,2018-10-04,2018-10-04,False,0,2,29.4263083609037,-98.6711702785208,2,2018,October,2,13,Tuesday
2018-10-02,CABLE RANCH RD and STATE HWY 151,78245,6,2018-10-03,2018-10-04,False,-1,2,29.435994028685,-98.6524515545919,1,2018,October,2,14,Tuesday
2018-10-02,MANNIX DR and MIDDLEX,78217,10,2018-10-03,2018-10-04,False,-1,2,29.5242342416411,-98.4587932405483,1,2018,October,2,14,Tuesday
2018-10-02,RECTOR W and SAN PEDRO AVE,78216,1,2018-10-03,2018-10-04,False,-1,2,29.5169168701745,-98.499258670038,1,2018,October,2,15,Tuesday
2018-10-02,PARKWAY DR and WILDFLOWER,78228,7,2018-10-03,2018-10-04,False,-1,2,29.4744002017683,-98.5892314015254,1,2018,October,2,16,Tuesday
2018-10-02,AUSTIN HWY and IRA LEE RD,78218,10,2018-10-03,2018-10-04,False,-1,2,29.5000751209611,-98.4216887567728,1,2018,October,2,16,Tuesday
2018-10-02,FM 78 and RAILWAY,78244,2,2018-10-03,2018-10-05,False,-2,3,29.4823883098128,-98.3572287743377,1,2018,October,2,17,Tuesday
2018-10-02,ROGERS RD and WESTOVER HILLS,78251,6,2018-10-03,2018-10-05,False,-2,2,29.4651146740018,-98.6886982754026,1,2018,October,2,20,Tuesday
2018-10-03,CICERO AVE and HARLOW DR,78218,2,2018-10-04,2018-10-05,False,-1,2,29.4997746100177,-98.4139409494344,1,2018,October,3,7,Wednesday
2018-10-03,STONEHUE and STONE OAK PKWY,78258,9,2018-10-03,2018-10-05,False,-2,2,29.6287774328376,-98.4949961010969,0,2018,October,3,8,Wednesday
2018-10-03,N 1604 W and SONTERRA PLACE,78232,9,2018-10-04,2018-10-05,False,-1,2,29.6088306111775,-98.4986257826018,1,2018,October,3,8,Wednesday
2018-10-03,FORTUNA PLACE and HORTENCIA ST,78237,5,2018-10-04,2018-10-05,False,-1,2,29.4384571718227,-98.5820046960011,1,2018,October,3,10,Wednesday
2018-10-03,CHIHUAHUA ST and COLORADO ST S,78207,5,2018-10-03,2018-10-05,False,-2,2,29.4150729669179,-98.5125288598568,0,2018,October,3,13,Wednesday
2018-10-03,HIGHLAND BV E and ST ANTHONY AV,78210,3,2018-10-03,2018-10-05,False,-2,2,29.3962896693515,-98.4632789626531,0,2018,October,3,14,Wednesday
2018-10-03,CHICAGO BLVD and STANFIELD,78210,3,2018-10-03,2018-10-05,False,-2,2,29.3857624562363,-98.460065063697,0,2018,October,3,15,Wednesday
2018-10-03,AVANT AVE and ST ANTHONY AV,78210,3,2018-10-03,2018-10-05,False,-2,2,29.3953353993138,-98.4632965260847,0,2018,October,3,15,Wednesday
2018-10-03,CASSIN RD and NEW LAREDO HWY,78211,4,2018-10-03,2018-10-05,False,-2,2,29.3308681449968,-98.5920822184032,0,2018,October,3,16,Wednesday
2018-10-03,COLORADO ST S and COMMERCE ST W,78207,5,2018-10-04,2018-10-05,False,-1,2,29.4267091862524,-98.511006347982,1,2018,October,3,16,Wednesday
2018-10-03,CALLAGHAN RD and GREYROCK DR,78228,7,2018-10-03,2018-10-05,False,-2,2,29.4390559739329,-98.5997227443334,0,2018,October,3,16,Wednesday
2018-10-03,LAKEVIEW DR and FM 78,78244,2,2018-10-03,2018-10-08,False,-4,5,29.4771750706421,-98.3678601521948,0,2018,October,3,17,Wednesday
2018-10-03,CROSSPOINT and HILLPOINT DR,78217,10,2018-10-04,2018-10-08,False,-4,5,29.5425901225668,-98.4292891444972,1,2018,October,3,18,Wednesday
