"Cambic horizon"|14|32|43|56|71|99||39||"24092778"|"14504739"
"Mollic epipedon"|0|0|0|23|35|52||35||"24092778"|"14504740"
"Paralithic contact"|56|80|140|62|118|315||38||"24092778"|"14504738"
"Cambic horizon"|10|15|46|25|203|203|15|188|193|"24092779"|"14504742"
"Calcic horizon"|175|178|203|203|203|203|0|25|28|"24092779"|"14504745"
"Secondary carbonates"|0|0|100|203|203|203|103|203|203|"24092779"|"14504741"
"Mollic epipedon"|0|0|0|25|38|46|25|38|46|"24092779"|"14504746"
"Slickensides"|15|15|50|150|203|203|100|188|188|"24092779"|"14504743"
"Redox concentrations"|0|15|100|150|203|203|150|188|203|"24092779"|"14504744"
"Cambic horizon"|10|15|46|25|203|203||188||"24092537"|"14504502"
"Calcic horizon"|175|178|203|203|203|203||25||"24092537"|"14504505"
"Secondary carbonates"|0|0|100|203|203|203||203||"24092537"|"14504501"
"Mollic epipedon"|0|0|0|25|38|46||38||"24092537"|"14504500"
"Slickensides"|15|15|50|150|203|203||188||"24092537"|"14504503"
"Redox concentrations"|0|15|100|150|203|203||188||"24092537"|"14504504"
"Cambic horizon"|10|41|43|23|56|99||15||"24092538"|"14504508"
"Mollic epipedon"|0|0|0|10|41|43||41||"24092538"|"14504506"
"Paralithic contact"|40|74|102|62|144|203||70||"24092538"|"14504509"
"Free carbonates"|0|0|0|40|74|102||74||"24092538"|"14504507"
"Cambic horizon"|8|13|30|15|41|50|8|28|41|"24093245"|"14505743"
"Ochric epipedon"|0|0|0|8|13|30|8|13|30|"24093245"|"14505742"
"Paralithic contact"|15|41|50|152|152|152||111||"24093245"|"14505744"
"Cambic horizon"|8|10|30|15|30|50|7|20|41|"24093046"|"14505239"
"Ochric epipedon"|0|0|0|8|10|30|8|10|30|"24093046"|"14505237"
"Paralithic contact"|15|30|50|152|152|152||122||"24093046"|"14505238"
"Lithic contact"|25|30|50|64|76|76||46||"24093147"|"14505506"
"Mollic epipedon"|0|0|0|25|30|50|25|30|50|"24093147"|"14505505"
"Cambic horizon"|8|10|30|15|30|50|7|20|41|"24093149"|"14505508"
"Ochric epipedon"|0|0|0|8|10|30|8|10|30|"24093149"|"14505507"
"Paralithic contact"|15|30|50|152|152|152|102|122|137|"24093149"|"14505509"
"Mollic epipedon"|0|0|0|18|30|64|18|30|64|"24092642"|"14504591"
"Slickensides"|10|30|51|51|71|102|33|41|84|"24092642"|"14504592"
"Paralithic contact"|51|71|102|152|152|152||81||"24092642"|"14504590"
"Lithic contact"|53|86|114|127|127|139||41||"24093141"|"14505499"
"Mollic epipedon"|0|0|0|53|86|114|53|86|114|"24093141"|"14505500"
"Slickensides"|15|20|25|53|86|114|28|66|89|"24093141"|"14505501"
"Lithic contact"|51|69|91|105|105|116||36||"24093142"|"14505502"
"Mollic epipedon"|0|0|0|36|46|56|36|46|56|"24093142"|"14505504"
"Argillic horizon"|36|46|56|51|69|91|15|23|41|"24093142"|"14505503"
"Abrupt textural change"|15|28|51|15|28|56|0|0|5|"24093171"|"14505553"
"Secondary carbonates"|71|84|102|203|203|203||119||"24093171"|"14505551"
"Ochric epipedon"|0|0|0|15|28|51|15|28|51|"24093171"|"14505552"
"Argillic horizon"|15|28|51|102|109|180|51|81|165|"24093171"|"14505554"
"Abrupt textural change"|15|28|51|15|28|56|0|0|5|"24093175"|"14505557"
"Secondary carbonates"|71|84|102|203|203|203||119||"24093175"|"14505556"
"Ochric epipedon"|0|0|0|15|28|51|15|28|51|"24093175"|"14505555"
"Argillic horizon"|15|28|51|102|109|180|51|81|165|"24093175"|"14505558"
"Abrupt textural change"|8|15|38|8|15|43|0|0|5|"24093345"|"14505915"
"Secondary carbonates"|71|84|102|203|203|203||119||"24093345"|"14505913"
"Ochric epipedon"|0|0|0|8|15|38|8|15|38|"24093345"|"14505914"
"Argillic horizon"|8|15|38|102|109|180|51|94|165|"24093345"|"14505916"
"Secondary carbonates"|89|112|144|102|132|152|8|20|46|"24093237"|"14505737"
"Ochric epipedon"|0|0|0|20|41|56|20|41|56|"24093237"|"14505734"
"Argillic horizon"|20|41|56|102|132|152|62|91|132|"24093237"|"14505735"
"Paralithic contact"|102|132|152|203|203|203||71||"24093237"|"14505736"
"Secondary carbonates"|89|112|144|102|132|152|8|20|46|"24092636"|"14504587"
"Ochric epipedon"|0|0|0|20|41|56|20|41|56|"24092636"|"14504589"
"Argillic horizon"|20|41|56|102|132|152|62|91|132|"24092636"|"14504586"
"Paralithic contact"|102|132|152|203|203|203||71||"24092636"|"14504588"
