"Gravelly"|"147101336"|"43174245"
"Gravelly"|"147103557"|"43174300"
"Extremely gravelly"|"147101605"|"43174441"
"Very gravelly"|"147101605"|"43174442"
"Gravelly"|"147101605"|"43174443"
"Cobbly"|"147103198"|"43174399"
"Cobbly"|"147103202"|"43174240"
"Very gravelly"|"147103564"|"43174301"
"Extremely gravelly"|"147101606"|"43174282"
"Very gravelly"|"147101606"|"43174283"
"Gravelly"|"147101606"|"43174284"
"Cobbly"|"147101491"|"43174409"
"Gravelly"|"147103534"|"43174455"
"Extremely cobbly"|"147101303"|"43174275"
"Very gravelly"|"147101465"|"43174344"
"Extremely gravelly"|"147101465"|"43174345"
"Very cobbly"|"147101155"|"43174274"
"Gravelly"|"147101339"|"43174246"
"Stony"|"147102951"|"43174400"
"Very cobbly"|"147101192"|"43174173"
"Very gravelly"|"147101604"|"43174204"
"Very gravelly"|"147103358"|"43174225"
"Extremely gravelly"|"147101307"|"43174343"
"Gravelly"|"147103565"|"43174303"
"Gravelly"|"147101127"|"43174447"
"Very cobbly"|"147103384"|"43174163"
"Very gravelly"|"147103359"|"43174456"
"Stony"|"147103395"|"43174308"
"Cemented"|"147101048"|"43174228"
"Extremely cobbly"|"147101305"|"43174279"
"Very cobbly"|"147101464"|"43174438"
"Very cobbly"|"147103385"|"43174236"
"Extremely cobbly"|"147101158"|"43174277"
"Gravelly"|"147101475"|"43174197"
"Very cobbly"|"147101191"|"43174459"
"Gravelly"|"147102318"|"43174342"
"Very cobbly"|"147101306"|"43174439"
"Gravelly"|"147102682"|"43174366"
"Very cobbly"|"147103355"|"43174234"
"Extremely paracobbly"|"147102307"|"43174209"
"Cobbly"|"147101051"|"43174320"
"Very stony"|"147101603"|"43174280"
"Very stony"|"147101463"|"43174202"
"Cemented"|"147101047"|"43174390"
"Cobbly"|"147101156"|"43174203"
"Extremely cobbly"|"147103383"|"43174235"
"Gravelly"|"147101948"|"43174174"
"Extremely cobbly"|"147101304"|"43174437"
"Very gravelly"|"147103485"|"43174457"
"Gravelly"|"147101470"|"43174295"
"Cobbly"|"147103200"|"43174238"
"Gravelly"|"147101161"|"43174376"
"Very gravelly"|"147101161"|"43174377"
"Extremely gravelly"|"147101161"|"43174378"
"Extremely gravelly"|"147101466"|"43174346"
"Very gravelly"|"147101466"|"43174347"
"Gravelly"|"147103258"|"43174385"
"Very gravelly"|"147103330"|"43174302"
"Gravelly"|"147103571"|"43174386"
"Extremely cobbly"|"147101492"|"43174317"
"Very cobbly"|"147101049"|"43174318"
"Very gravelly"|"147103486"|"43174226"
"Gravelly"|"147103201"|"43174239"
"Very cobbly"|"147103199"|"43174237"
"Gravelly"|"147102462"|"43174194"
"Very cobbly"|"147101602"|"43174278"
"Gravelly"|"147102595"|"43174429"
"Very cobbly"|"147101050"|"43174319"
"Extremely gravelly"|"147101309"|"43174281"
"Gravelly"|"147102680"|"43174445"
"Gravelly"|"147101174"|"43174432"
"Very gravelly"|"147101468"|"43174205"
"Extremely gravelly"|"147101467"|"43174348"
"Very cobbly"|"147101601"|"43174201"
"Very gravelly"|"147101469"|"43174440"
"Gravelly"|"147102080"|"43174247"
"Gravelly"|"147101947"|"43174410"
"Gravelly"|"147101489"|"43174408"
"Extremely paracobbly"|"147101774"|"43174338"
"Cemented"|"147101046"|"43174389"
