"CL"|No |"71622064"|"133019465"
"CH"|Yes|"71622064"|"133019466"
"CL"|No |"71622063"|"133019463"
"CH"|Yes|"71622063"|"133019464"
"CL"|No |"71622065"|"133019467"
"CH"|Yes|"71622065"|"133019468"
"CH"|Yes|"71621712"|"133018856"
"MH"|No |"71621712"|"133018857"
"CH"|Yes|"71621714"|"133018860"
"CL"|No |"71621714"|"133018861"
"CH"|Yes|"71621713"|"133018858"
"CL"|No |"71621713"|"133018859"
"CH"|No |"71621560"|"133018614"
"CL"|Yes|"71621560"|"133018615"
"CH"|No |"71621559"|"133018612"
"CL"|Yes|"71621559"|"133018613"
"CL"|Yes|"71622642"|"133020409"
"GC"|No |"71622642"|"133020410"
"SC"|No |"71622642"|"133020411"
"CL"|Yes|"71622643"|"133020412"
"GC"|No |"71622643"|"133020413"
"CL"|Yes|"71622399"|"133020049"
"GC-GM"|No |"71622399"|"133020050"
"CL"|Yes|"71622400"|"133020051"
"CH"|No |"71622400"|"133020052"
"GC"|No |"71622400"|"133020053"
"CH"|Yes|"71621921"|"133019223"
"CL"|No |"71621921"|"133019224"
"CH"|Yes|"71621922"|"133019225"
"CL"|No |"71621922"|"133019226"
"CH"|No |"71621924"|"133019227"
"CL"|Yes|"71621924"|"133019228"
"CH"|No |"71621925"|"133019229"
"CL"|Yes|"71621925"|"133019230"
"GC"|Yes|"71622525"|"133020241"
"CH"|No |"71622525"|"133020242"
"CL"|No |"71622526"|"133020243"
"CH"|No |"71622526"|"133020244"
"GC"|Yes|"71622526"|"133020245"
"CL"|Yes|"71622529"|"133020248"
"CH"|No |"71622529"|"133020249"
"GC"|No |"71622529"|"133020250"
"GC-GM"|No |"71622528"|"133020246"
"CL"|Yes|"71622528"|"133020247"
"CH"|Yes|"71621863"|"133019132"
"CH"|Yes|"71621865"|"133019133"
"CH"|Yes|"71622518"|"133020230"
"SC"|No |"71622518"|"133020231"
"CH"|Yes|"71622517"|"133020228"
"SC"|No |"71622517"|"133020229"
"CH"|Yes|"71622521"|"133020236"
"CH"|No |"71622520"|"133020232"
"SC"|No |"71622520"|"133020233"
"GC"|Yes|"71622520"|"133020234"
"CL"|No |"71622520"|"133020235"
"GC"|No |"71622522"|"133020237"
"SC"|No |"71622522"|"133020238"
"CH"|No |"71622522"|"133020239"
"CL"|Yes|"71622522"|"133020240"
"CH"|No |"71622548"|"133020278"
"CL"|Yes|"71622548"|"133020279"
"SC"|No |"71622548"|"133020280"
"CL"|Yes|"71622550"|"133020282"
"SC"|No |"71622550"|"133020283"
"CL"|Yes|"71622549"|"133020281"
"SC"|No |"71622547"|"133020275"
"SC-SM"|Yes|"71622547"|"133020276"
"SM"|No |"71622547"|"133020277"
"SC"|No |"71622551"|"133020284"
"SC-SM"|Yes|"71622551"|"133020285"
"SM"|No |"71622551"|"133020286"
"CH"|No |"71622552"|"133020287"
"CL"|Yes|"71622552"|"133020288"
"SC"|No |"71622552"|"133020289"
"CL"|Yes|"71622553"|"133020290"
"CL"|Yes|"71622554"|"133020291"
"SC"|No |"71622554"|"133020292"
"SC"|No |"71622742"|"133020582"
"SC-SM"|Yes|"71622742"|"133020583"
"SM"|No |"71622742"|"133020584"
"CH"|No |"71622743"|"133020585"
"CL"|Yes|"71622743"|"133020586"
"SC"|No |"71622743"|"133020587"
"CL"|Yes|"71622740"|"133020579"
"CL"|Yes|"71622741"|"133020580"
"SC"|No |"71622741"|"133020581"
"CL"|Yes|"71622635"|"133020400"
"SC-SM"|No |"71622635"|"133020401"
"SC"|No |"71622635"|"133020402"
"SC-SM"|No |"71622636"|"133020403"
"SM"|Yes|"71622636"|"133020404"
"CL"|Yes|"71622634"|"133020398"
"SC"|No |"71622634"|"133020399"
"CL"|Yes|"71621860"|"133019127"
"SC"|No |"71621860"|"133019128"
"CL"|Yes|"71621861"|"133019129"
"SC-SM"|No |"71621861"|"133019130"
"SC"|No |"71621861"|"133019131"
"SM"|No |"71621859"|"133019124"
"CL-ML"|Yes|"71621859"|"133019125"
"SC-SM"|No |"71621859"|"133019126"
"SC"|Yes|"71621927"|"133019231"
"SC-SM"|No |"71621927"|"133019232"
"SC"|Yes|"71621928"|"133019233"
"SC-SM"|Yes|"71621929"|"133019234"
"CL"|No |"71621929"|"133019235"
"SM"|No |"71621929"|"133019236"
"SC"|Yes|"71621753"|"133018932"
"SC-SM"|No |"71621753"|"133018933"
"SC-SM"|No |"71621755"|"133018935"
"SM"|Yes|"71621755"|"133018936"
"SC"|Yes|"71621754"|"133018934"
"SC-SM"|No |"71621561"|"133018616"
"SM"|Yes|"71621561"|"133018617"
"SP-SM"|No |"71621561"|"133018618"
"SM"|Yes|"71621562"|"133018619"
"SC-SM"|No |"71621562"|"133018620"
"SW-SM"|No |"71621562"|"133018621"
"CL"|Yes|"71621563"|"133018622"
"CL-ML"|No |"71621563"|"133018623"
"SC"|No |"71621563"|"133018624"
"SC-SM"|No |"71621563"|"133018625"
"CL"|Yes|"71621566"|"133018628"
"CL-ML"|No |"71621566"|"133018629"
"SC"|No |"71621566"|"133018630"
"SC-SM"|No |"71621566"|"133018631"
"CL"|Yes|"71621564"|"133018626"
"CL"|Yes|"71621565"|"133018627"
"CL"|Yes|"71621567"|"133018632"
"CL"|Yes|"71621568"|"133018633"
"CH"|No |"71621571"|"133018636"
"CL"|Yes|"71621571"|"133018637"
"CL"|Yes|"71621569"|"133018634"
"CL"|Yes|"71621570"|"133018635"
"GC"|No |"71621908"|"133019203"
"CL"|No |"71621908"|"133019204"
"SC"|Yes|"71621908"|"133019205"
"SC-SM"|No |"71621933"|"133019244"
"SM"|Yes|"71621933"|"133019245"
"CH"|No |"71621930"|"133019237"
"CL"|Yes|"71621930"|"133019238"
"SC"|No |"71621930"|"133019239"
"CL"|No |"71621931"|"133019240"
"SC"|Yes|"71621931"|"133019241"
"CL"|No |"71621932"|"133019242"
"SC"|Yes|"71621932"|"133019243"
"CH"|No |"71621756"|"133018937"
"CL"|Yes|"71621756"|"133018938"
"SC"|No |"71621756"|"133018939"
"CL"|No |"71621757"|"133018940"
"SC"|Yes|"71621757"|"133018941"
"CL"|No |"71621758"|"133018942"
"SC"|Yes|"71621758"|"133018943"
"SC-SM"|No |"71621759"|"133018944"
"SM"|Yes|"71621759"|"133018945"
"CH"|No |"71621934"|"133019246"
"CL"|Yes|"71621934"|"133019247"
"SC"|No |"71621934"|"133019248"
"CL"|No |"71621935"|"133019249"
"SC"|Yes|"71621935"|"133019250"
"CL"|No |"71621936"|"133019251"
"SC"|Yes|"71621936"|"133019252"
"SM"|Yes|"71621937"|"133019253"
"SC-SM"|No |"71621937"|"133019254"
"CH"|Yes|"71622615"|"133020379"
"CH"|Yes|"71622616"|"133020380"
"CH"|Yes|"71622617"|"133020381"
"CH"|Yes|"71622614"|"133020378"
"CH"|Yes|"71622626"|"133020390"
"CH"|Yes|"71622629"|"133020393"
"CH"|Yes|"71622627"|"133020391"
"CH"|Yes|"71622628"|"133020392"
"CH"|Yes|"71622092"|"133019522"
"CH"|Yes|"71622093"|"133019523"
"CH"|Yes|"71622094"|"133019524"
"CL"|No |"71622094"|"133019525"
"CH"|Yes|"71622095"|"133019526"
"CL"|No |"71622095"|"133019527"
"CH"|Yes|"71622096"|"133019528"
"CH"|Yes|"71622097"|"133019529"
"CH"|Yes|"71622098"|"133019530"
"CH"|Yes|"71622099"|"133019531"
"CH"|Yes|"71622100"|"133019532"
"CH"|Yes|"71622101"|"133019533"
"CL"|No |"71622101"|"133019534"
"CH"|Yes|"71622102"|"133019535"
"CL"|No |"71622102"|"133019536"
"CH"|Yes|"71622103"|"133019537"
"CH"|Yes|"71622104"|"133019538"
"CH"|Yes|"71622105"|"133019539"
"CH"|Yes|"71622510"|"133020221"
"CH"|Yes|"71622509"|"133020220"
"CH"|Yes|"71622508"|"133020219"
"CH"|Yes|"71622293"|"133019883"
"CH"|Yes|"71622295"|"133019885"
"CH"|Yes|"71622294"|"133019884"
"CH"|Yes|"71622429"|"133020110"
"CH"|Yes|"71622430"|"133020111"
"CH"|Yes|"71622431"|"133020112"
"CH"|Yes|"71622250"|"133019797"
"CH"|Yes|"71622251"|"133019798"
"CL"|No |"71622251"|"133019799"
"CH"|Yes|"71622249"|"133019796"
"CH"|Yes|"71622255"|"133019804"
"CH"|Yes|"71622257"|"133019806"
"CL"|No |"71622257"|"133019807"
"CH"|Yes|"71622256"|"133019805"
