||"Tread"||"38143852"|"14881932"
||"Tread"||"38143633"|"14881275"
||"Tread"||"38143758"|"14881922"
|"Side Slope"|||"38143925"|"14881889"
||"Tread"||"38143719"|"14881483"
|"Side Slope"|||"38143800"|"14881744"
|"Interfluve"|||"38143874"|"14881521"
|"Interfluve"|||"38143771"|"14882080"
||"Tread"||"38143571"|"14881260"
|"Base Slope"|||"38143782"|"14882089"
|"Interfluve"|||"38143769"|"14881759"
|||"Dip"|"38143898"|"14881392"
||"Tread"||"38143498"|"14881678"
||"Tread"||"38143791"|"14882064"
|"Interfluve"|||"38143549"|"14881660"
|"Interfluve"|||"38143665"|"14881266"
||"Riser"||"38143708"|"14881477"
||||"38143561"|"14881661"
|"Interfluve"|||"38143793"|"14882061"
|"Side Slope"|||"38143793"|"14882060"
|"Base Slope"|||"38143780"|"14882088"
|"Side Slope"|||"38143539"|"14881354"
|"Crest"|||"38143824"|"14882111"
||"Tread"||"38143760"|"14881919"
||"Riser"||"38143921"|"14881945"
|"Interfluve"|||"38143551"|"14881542"
||"Tread"||"38143822"|"14882109"
|"Side Slope"|||"38143834"|"14881600"
|"Side Slope"|||"38143612"|"14882132"
|"Interfluve"|||"38143832"|"14881598"
|"Interfluve"|||"38143695"|"14881416"
|"Side Slope"|||"38143695"|"14881415"
|"Interfluve"|||"38143906"|"14881403"
|"Side Slope"|||"38143906"|"14881404"
||"Tread"||"38143562"|"14881664"
|"Side Slope"|||"38143844"|"14881653"
|"Base Slope"|||"38143844"|"14881654"
||"Tread"||"38143559"|"14881670"
|"Side Slope"|||"38143518"|"14881262"
|"Base Slope"|||"38143601"|"14881405"
||"Tread"||"38143907"|"14882072"
||"Tread"||"38143854"|"14881934"
|"Interfluve"|||"38143865"|"14881940"
|"Side Slope"|||"38143865"|"14881941"
|"Interfluve"|||"38143677"|"14881541"
|"Side Slope"|||"38143656"|"14881258"
||"Tread"||"38143738"|"14881379"
||"Tread"||"38143496"|"14881676"
|"Interfluve"|||"38143896"|"14881389"
|"Side Slope"|||"38143896"|"14881388"
||"Tread"||"38143749"|"14881926"
|"Interfluve"|||"38143812"|"14881494"
||"Tread"||"38143910"|"14882071"
||"Riser"||"38143667"|"14881285"
||"Tread"||"38143748"|"14881925"
|"Side Slope"|||"38143814"|"14882083"
||"Tread"||"38143740"|"14881371"
|"Interfluve"|||"38143917"|"14881913"
|"Side Slope"|||"38143917"|"14881912"
||"Riser"||"38143516"|"14881284"
||"Riser"||"38143542"|"14881359"
|"Base Slope"|||"38143729"|"14881489"
|"Interfluve"|||"38143840"|"14881911"
|"Interfluve"|||"38143766"|"14881755"
|"Side Slope"|||"38143803"|"14881747"
|"Side Slope"|||"38143877"|"14881526"
|"Side Slope"|||"38143699"|"14881473"
|"Interfluve"|||"38143689"|"14881410"
|"Side Slope"|||"38143689"|"14881409"
||"Tread"||"38143744"|"14881576"
||"Tread"||"38143574"|"14881276"
||"Tread"||"38143755"|"14881924"
||||"38143501"|"14881679"
||"Tread"||"38143788"|"14882063"
|"Interfluve"|||"38143615"|"14882133"
||"Tread"||"38143710"|"14881475"
|"Side Slope"|||"38143926"|"14881944"
||"Tread"||"38143747"|"14881376"
