CartID,DATETIME,geometry,WEEK1PRCP,WEEK1SNOW,WEEK1TFRZ,WEEK1TMAX,WEEK1TMIN,WEEK1TAVG,WEEK1TDIF,WEEK2PRCP,WEEK2SNOW,WEEK2TFRZ,WEEK2TMAX,WEEK2TMIN,WEEK2TAVG,WEEK2TDIF,WEEK3PRCP,WEEK3SNOW,WEEK3TFRZ,WEEK3TMAX,WEEK3TMIN,WEEK3TAVG,WEEK3TDIF,WEEK4PRCP,WEEK4SNOW,WEEK4TFRZ,WEEK4TMAX,WEEK4TMIN,WEEK4TAVG,WEEK4TDIF
307451,2024-04-15,POINT (29.5825158391165 -98.4290532815485),0.88,0.0,0,83.1,58.2,70.9,24.9,0.26,0.0,0,84.2,55.2,69.9,29.0,0.26,0.0,0,78.2,55.0,65.3,23.2,0.21,0.0,0,70.2,53.1,61.6,17.1
308522,2023-11-10,POINT (29.5752825182204 -98.4734686928912),0.0,0.0,0,81.6,59.0,69.9,22.6,1.27,0.0,0,72.0,51.0,61.3,21.0,0.81,0.0,0,88.5,67.5,77.0,21.0,0.0,0.0,0,83.4,55.0,69.6,28.5
504320,2022-05-09,POINT (29.3789647199076 -98.47079314043),0.2,0.0,0,93.1,72.3,80.1,20.8,1.36,0.0,0,85.0,66.9,73.0,18.1,0.18,0.0,0,85.2,68.9,74.4,16.4,0.14,0.0,0,89.9,68.3,75.9,21.6
508177,2023-05-24,POINT (29.428539436644 -98.4579847318708),2.1,0.0,0,84.8,66.4,74.9,18.3,2.59,0.0,0,84.0,67.7,74.6,16.3,0.47,0.0,0,85.4,68.6,76.6,16.8,0.63,0.0,0,84.0,59.3,71.0,24.7
505302,2023-04-16,POINT (29.4237666412412 -98.4619060041797),0.22,0.0,0,79.7,56.2,67.1,23.5,1.52,0.0,0,76.8,60.0,68.4,16.8,0.14,0.0,0,79.4,57.5,69.0,21.9,0.42,0.0,0,75.2,55.0,64.0,20.2
317713,2022-10-26,POINT (29.6212602302517 -98.4232311796551),0.08,0.0,0,83.8,55.7,70.3,28.1,0.71,0.0,0,87.2,66.9,76.7,20.3,0.0,0.0,0,88.9,62.4,75.7,26.5,0.0,0.0,0,88.8,59.5,74.9,29.3
407963,2022-09-27,POINT (29.4195317135019 -98.5182810225007),0.0,0.0,0,95.9,70.5,83.7,25.4,0.0,0.0,0,94.9,72.3,82.6,22.5,0.82,0.0,0,94.4,72.2,82.3,22.2,1.34,0.0,0,91.9,74.2,81.4,17.7
849210,2022-07-06,POINT (29.5939791500506 -98.6193005496014),0.63,0.0,0,99.2,74.7,85.7,24.6,0.14,0.0,0,99.3,73.1,86.6,26.2,0.0,0.0,0,99.6,74.0,86.4,25.6,0.0,0.0,0,101.6,74.7,87.9,26.8
513089,2022-11-03,POINT (29.3579977653351 -98.6112943437463),0.26,0.0,0,76.9,54.3,65.1,22.5,0.08,0.0,0,84.3,55.7,70.9,28.7,0.72,0.0,0,84.4,63.2,73.6,21.2,0.0,0.0,0,89.4,64.2,76.7,25.2
414322,2023-08-20,POINT (29.521867037595 -98.6601316422406),0.0,0.0,0,104.6,77.5,90.7,27.1,0.0,0.0,0,105.9,77.5,90.3,28.3,0.0,0.0,0,103.0,76.8,89.6,26.2,0.1,0.0,0,100.6,74.7,87.9,25.9
309569,2022-10-04,POINT (29.4961156346432 -98.4073331376638),0.0,0.0,0,89.6,59.0,75.3,30.6,0.0,0.0,0,95.9,70.5,83.7,25.4,0.03,0.0,0,94.9,72.3,82.6,22.5,0.54,0.0,0,94.2,72.3,82.3,21.9
313570,2024-05-23,POINT (29.4533009712099 -98.4807134192394),0.03,0.0,0,94.7,71.4,80.9,23.3,0.26,0.0,0,89.8,68.1,77.6,21.7,0.17,0.0,0,86.2,73.0,77.0,13.1,0.8,0.0,0,86.6,71.6,76.9,15.0
428193,2023-05-09,POINT (29.386820466263 -98.6531020230456),0.06,0.0,0,86.2,69.0,76.6,17.2,0.55,0.0,0,84.0,58.6,70.3,25.4,1.59,0.0,0,79.2,60.9,69.0,18.3,0.53,0.0,0,81.9,54.6,68.4,27.3
519905,2022-11-26,POINT (29.3130800999036 -98.5395895154204),1.37,0.0,0,56.8,47.5,51.3,9.2,0.43,0.0,0,60.0,43.0,49.7,17.0,0.43,0.0,0,83.5,60.7,72.7,22.8,0.15,0.0,0,79.6,58.8,67.9,20.8
503930,2024-02-14,POINT (29.3626758202914 -98.4825940767019),0.05,0.0,0,71.7,51.1,60.3,20.6,0.63,0.0,0,71.5,47.6,58.1,23.9,2.3,0.0,0,67.1,45.9,55.7,21.2,3.03,0.0,3,55.4,35.5,43.9,19.9
423039,2024-04-20,POINT (29.3678820644109 -98.602253221951),0.03,0.0,0,84.8,68.9,74.6,16.0,0.76,0.0,0,82.3,58.2,70.4,24.1,0.25,0.0,0,83.5,55.7,69.6,27.8,0.29,0.0,0,77.0,51.7,63.9,25.3
8483360,2023-08-14,POINT (29.3989880841803 -98.4528540703581),0.0,0.0,0,105.7,77.9,90.3,27.8,0.0,0.0,0,103.6,76.9,89.9,26.7,0.18,0.0,0,101.2,74.8,87.7,26.4,0.09,0.0,0,103.3,75.9,89.4,27.4
412845,2023-12-26,POINT (29.4995348197756 -98.5634439793269),0.68,0.0,0,70.5,54.3,61.1,16.2,0.39,0.0,0,68.0,45.5,55.3,22.6,0.02,0.0,1,72.0,43.9,57.6,28.0,0.45,0.0,0,70.5,49.2,58.3,21.3
507271,2022-02-06,POINT (29.3685543762504 -98.4133705838708),1.93,0.0,3,58.6,35.8,46.6,22.8,0.04,0.0,1,60.1,40.2,50.6,19.9,0.02,0.0,3,64.8,35.2,48.7,29.5,0.03,0.0,0,67.5,40.8,52.9,26.7
506870,2022-04-15,POINT (29.3969263656398 -98.4483383281176),0.08,0.0,0,89.4,60.3,73.1,29.1,0.03,0.0,0,86.6,59.2,72.3,27.4,0.1,0.0,0,87.2,52.6,69.6,34.7,0.13,0.0,0,78.8,46.9,62.7,31.9
311798,2023-12-30,POINT (29.6321749175123 -98.4456633938025),0.73,0.0,0,66.4,43.7,54.4,22.8,0.29,0.0,0,71.8,48.0,57.9,23.7,0.2,0.0,1,67.2,46.0,55.9,21.3,0.05,0.0,0,73.5,46.0,59.0,27.5
421731,2024-05-27,POINT (29.6398063902278 -98.6209600845329),0.05,0.0,0,99.1,77.5,85.1,21.6,0.28,0.0,0,90.7,66.2,77.7,24.5,0.11,0.0,0,90.5,72.8,78.6,17.7,0.23,0.0,0,84.6,71.1,76.3,13.5
416304,2023-04-30,POINT (29.5543796469717 -98.6051831350779),1.2,0.0,0,79.1,59.2,67.7,19.9,0.58,0.0,0,82.0,60.2,70.9,21.8,0.15,0.0,0,79.7,56.2,67.1,23.5,1.63,0.0,0,76.5,59.9,68.4,16.7
407399,2023-11-08,POINT (29.4289154035259 -98.5712936425342),0.0,0.0,0,77.2,52.6,63.4,24.6,1.87,0.0,0,77.7,60.9,69.0,16.8,0.45,0.0,0,89.0,61.2,74.7,27.8,0.16,0.0,0,81.6,59.0,69.6,22.6
8479217,2024-03-12,POINT (29.2972356568618 -98.4848371725347),0.07,0.0,0,77.1,52.4,65.6,24.7,0.0,0.0,0,74.2,53.9,63.0,20.3,0.0,0.0,0,81.9,51.9,65.9,30.0,0.01,0.0,0,65.7,43.2,53.7,22.5
412686,2024-05-23,POINT (29.4616002077951 -98.5726707668681),0.02,0.0,0,94.7,71.4,80.9,23.3,1.06,0.0,0,89.8,68.1,77.6,21.7,0.17,0.0,0,86.2,73.0,77.0,13.1,1.28,0.0,0,86.2,71.4,76.9,14.8
406165,2023-01-17,POINT (29.3843884876893 -98.5155889241128),0.0,0.0,1,73.1,44.1,59.0,29.0,0.01,0.0,0,76.0,48.8,62.9,27.2,0.01,0.0,1,75.2,45.3,59.4,29.9,0.09,0.0,5,51.3,26.1,38.1,25.2
202628,2023-08-24,POINT (29.4357555958774 -98.5430020163288),0.72,0.0,0,102.3,76.7,89.6,25.6,0.0,0.0,0,104.9,78.9,90.6,26.0,0.0,0.0,0,105.0,76.5,89.9,28.5,0.03,0.0,0,101.6,76.1,88.7,25.5
850072,2024-03-11,POINT (29.3639057192776 -98.6048872520717),0.04,0.0,0,78.4,55.1,67.3,23.3,0.0,0.0,0,74.2,52.6,62.6,21.6,0.0,0.0,0,80.0,48.8,63.0,31.1,0.01,0.0,0,65.4,44.3,54.0,21.1
410205,2024-05-01,POINT (29.4642213945877 -98.6578481896583),1.29,0.0,0,87.3,71.3,76.4,16.0,0.65,0.0,0,79.5,62.7,69.6,16.8,0.87,0.0,0,83.1,60.5,71.0,22.6,0.11,0.0,0,84.1,55.8,70.4,28.3
302050,2022-11-22,POINT (29.4870354411941 -98.4592516863655),0.76,0.0,0,54.2,42.1,47.3,12.1,0.27,0.0,0,74.3,54.0,63.4,20.3,0.33,0.0,0,82.0,61.7,71.3,20.2,0.56,0.0,0,79.1,51.9,65.4,27.2
306453,2022-11-26,POINT (29.564881603266 -98.3915847628849),1.29,0.0,0,56.8,47.5,51.3,9.2,0.44,0.0,0,60.0,43.0,49.7,17.0,0.52,0.0,0,83.5,60.7,72.7,22.8,0.42,0.0,0,79.4,58.6,67.9,20.8
847381,2023-07-08,POINT (29.3504438857691 -98.6316628180452),0.08,0.0,0,95.8,77.2,85.3,18.6,0.0,0.0,0,99.6,76.0,88.6,23.6,0.1,0.0,0,100.3,77.7,87.9,22.6,0.01,0.0,0,96.2,77.9,86.1,18.4
521847,2023-02-26,POINT (29.3592685586856 -98.6274344684673),0.01,0.0,0,78.2,56.4,65.6,21.8,0.04,0.0,1,68.9,39.3,54.3,29.6,0.41,0.0,1,68.8,42.0,55.7,26.8,0.96,0.0,3,51.7,35.3,43.3,16.3
504735,2022-04-21,POINT (29.3908235458745 -98.4734748630959),0.14,0.0,0,84.6,66.0,73.1,18.6,0.1,0.0,0,88.5,58.7,72.1,29.8,0.03,0.0,0,86.9,58.8,72.0,28.1,0.08,0.0,0,87.3,51.7,68.7,35.6
420842,2023-02-08,POINT (29.4327205448644 -98.6684892594123),0.57,0.0,2,61.1,39.9,49.3,21.2,0.82,0.0,2,56.7,37.6,47.6,19.1,0.35,0.0,0,66.6,45.2,56.7,21.4,0.03,0.0,1,72.8,43.0,58.6,29.8
509181,2023-06-16,POINT (29.3710924314484 -98.4405311543517),0.08,0.0,0,95.5,76.4,85.3,19.1,0.82,0.0,0,87.4,67.5,77.3,20.0,0.91,0.0,0,86.5,67.4,76.9,19.1,1.15,0.0,0,84.7,67.4,75.4,17.3
407567,2023-05-21,POINT (29.4314704661149 -98.6854169768562),1.88,0.0,0,85.2,66.1,74.7,19.1,2.69,0.0,0,83.5,68.8,75.4,14.7,0.09,0.0,0,86.3,63.8,74.7,22.6,0.76,0.0,0,79.1,59.2,67.7,19.9
309144,2023-07-10,POINT (29.5028837777256 -98.4871762728471),0.06,0.0,0,96.7,76.9,85.4,19.8,0.06,0.0,0,100.4,76.3,88.0,24.0,0.1,0.0,0,99.1,77.0,88.0,22.1,0.01,0.0,0,97.4,78.6,86.6,18.9
411196,2022-12-09,POINT (29.5041802908945 -98.6527526859425),0.21,0.0,0,72.7,59.3,64.4,13.4,1.06,0.0,0,67.9,46.4,57.7,21.5,1.4,0.0,0,56.0,46.7,50.0,9.3,0.43,0.0,0,63.7,43.8,52.4,19.9
400980,2023-08-05,POINT (29.3549911939718 -98.5508380728577),0.0,0.0,0,102.3,76.4,89.1,26.0,0.22,0.0,0,101.5,75.4,88.3,26.0,0.05,0.0,0,104.0,76.0,89.4,28.0,0.04,0.0,0,103.5,78.1,88.9,25.5
414525,2022-05-01,POINT (29.5450678114318 -98.6700019125487),1.05,0.0,0,84.7,66.6,72.7,18.1,0.17,0.0,0,84.7,69.0,74.4,15.7,0.27,0.0,0,90.2,67.0,75.4,23.2,0.06,0.0,0,85.3,54.7,70.9,30.6
309179,2022-02-09,POINT (29.5082709939018 -98.4917159281686),1.65,0.0,5,56.7,29.1,42.0,27.6,0.3,0.0,1,65.3,42.4,53.0,22.9,0.06,0.0,1,58.5,39.2,48.6,19.3,0.03,0.0,2,71.6,36.0,52.4,35.6
419190,2023-11-15,POINT (29.4710723604967 -98.5003818661663),0.89,0.0,0,69.0,57.4,63.1,11.6,0.0,0.0,0,77.2,52.6,63.4,24.6,1.89,0.0,0,77.7,60.9,69.0,16.8,0.27,0.0,0,88.2,60.7,74.7,27.6
202839,2023-06-21,POINT (29.443391843598 -98.5308709561744),0.01,0.0,0,99.5,78.7,87.7,20.9,0.26,0.0,0,93.8,73.7,83.3,20.0,0.87,0.0,0,87.1,67.0,77.3,20.0,0.95,0.0,0,86.1,67.1,76.4,19.0
314402,2023-01-10,POINT (29.4909862444793 -98.4477173918377),0.0,0.0,0,76.0,48.8,62.9,27.2,0.0,0.0,1,75.2,45.3,59.4,29.9,0.3,0.0,5,51.3,26.1,38.1,25.2,0.23,0.0,0,64.4,42.6,54.4,21.8
306734,2022-09-05,POINT (29.5827431111562 -98.3793837662304),0.4,0.0,0,93.0,74.8,82.3,18.2,0.5,0.0,0,94.3,74.9,82.7,19.4,0.25,0.0,0,96.6,75.5,84.6,21.1,0.21,0.0,0,98.2,75.1,85.7,23.1
8486926,2022-07-17,POINT (29.5373901359731 -98.3664961227233),0.4,0.0,0,102.6,76.2,89.4,26.4,0.0,0.0,0,101.0,76.1,88.0,25.0,1.0,0.0,0,98.2,73.0,84.9,25.1,0.0,0.0,0,100.6,73.7,87.6,26.9
514029,2023-01-13,POINT (29.6377731063294 -98.4343098437226),0.0,0.0,0,75.4,50.6,63.0,24.8,0.0,0.0,0,78.0,48.1,63.1,29.8,0.0,0.0,5,57.7,28.5,41.6,29.2,0.67,0.0,1,56.9,36.5,47.7,20.4
408517,2022-02-08,POINT (29.4087695488808 -98.5210317405893),1.8,0.0,4,57.7,32.6,43.9,25.1,0.17,0.0,1,63.1,40.2,51.4,23.0,0.04,0.0,1,61.0,39.2,49.7,21.8,0.05,0.0,2,68.1,35.7,50.9,32.5
429543,2023-03-11,POINT (29.4428276458474 -98.5042238905021),0.03,0.0,0,82.9,58.6,69.9,24.3,0.21,0.0,0,81.9,56.3,68.3,25.6,0.01,0.0,0,76.3,53.8,63.9,22.5,0.06,0.0,2,69.8,39.2,54.4,30.5
431377,2024-03-20,POINT (29.4381618729564 -98.666955955944),0.46,0.0,0,74.4,60.0,67.0,14.5,0.06,0.0,0,75.0,52.4,64.4,22.5,0.0,0.0,0,75.1,52.6,63.1,22.6,0.0,0.0,0,82.3,54.8,67.9,27.4
306228,2023-01-25,POINT (29.5637854554359 -98.3988399657252),0.41,0.0,0,66.6,45.2,56.7,21.4,0.0,0.0,1,73.0,43.0,58.6,30.0,0.0,0.0,0,76.0,49.0,62.3,27.0,0.04,0.0,0,77.6,48.9,62.7,28.7
207059,2022-10-07,POINT (29.4717269740401 -98.5296693209597),0.0,0.0,0,88.6,59.9,74.6,28.7,0.0,0.0,0,93.7,65.2,80.6,28.5,0.0,0.0,0,96.3,72.9,83.9,23.4,-0.0,0.0,0,93.6,70.9,81.9,22.8
8481359,2023-11-03,POINT (29.2859818821179 -98.4819455845016),1.2,0.0,0,72.0,51.0,61.3,21.0,1.0,0.0,0,88.5,67.5,77.0,21.0,0.06,0.0,0,83.3,55.0,69.6,28.3,0.14,0.0,0,81.0,63.8,71.1,17.2
305077,2023-06-10,POINT (29.5905237605826 -98.4606669280348),0.85,0.0,0,88.5,68.0,77.7,20.6,0.35,0.0,0,86.7,67.0,77.1,19.7,0.79,0.0,0,84.2,67.4,75.4,16.8,2.31,0.0,0,84.7,65.5,74.3,19.2
403755,2023-10-04,POINT (29.4209147931732 -98.5877171316853),0.31,0.0,0,95.4,72.7,83.0,22.7,0.01,0.0,0,99.4,75.0,86.6,24.3,0.34,0.0,0,96.3,72.7,83.0,23.6,0.17,0.0,0,101.2,76.3,88.0,24.9
430385,2022-02-14,POINT (29.3622423951024 -98.6375980050341),0.0,0.0,2,69.2,34.9,51.7,34.3,1.71,0.0,4,57.3,34.9,45.1,22.4,0.04,0.0,1,62.0,38.0,50.6,24.0,0.03,0.0,2,63.4,37.9,49.4,25.5
