SUBCATEGORY,CATEGORY,DESCRIPTION,LESS-BROAD,BROAD,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
AuB,Au,"Austin silty clay, 1 to 3 percent slopes",silty clay,clay,broad types count,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
AuC,Au,"Austin silty clay, 2 to 5 percent slopes, moderately eroded",silty clay,clay,clay,loam,soils,sand,complex,other,(total),Unknown,Unknown,Unknown,Unknown,Unknown
BpC,Bp,"Whitewright clay loam, 1 to 5 percent slopes",clay loam,loam,23,33,7,6,5,4,78,Unknown,Unknown,Unknown,Unknown,Unknown
BrD,Br,"Brackett gravelly clay loam, 3 to 12 percent slopes",clay loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BrE,Br,"Brackett gravelly clay loam, 12 to 20 percent slopes",clay loam,loam,less-broad types count,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
BsC,Bs,"Whitewright-Austin complex, 1 to 5 percent slopes",complex,complex,silty clay,clay loam,complex,association,clay,soils,sandy loam,sand,gravelly clay,loam,other,(total)
BtE,Bt,"Brackett-Eckrant association, 20 to 60 percent slopes",association,other,7,16,5,2,13,7,11,6,3,6,2,78
Ca,Ca,"Anhalt clay, 0 to 2 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Cb,Cb,"Crawford, stony and Bexar soils, 0 to 5 percent slopes",soils,soils,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
CfA,Cf,"Miguel fine sandy loam, 0 to 1 percent slopes",sandy loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
CfB,Cf,"Miguel fine sandy loam, 1 to 3 percent slopes",sandy loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
CkC2,Ck,"Miguel fine sandy loam, 2 to 5 percent slopes, eroded",sandy loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DmC,Dm,"Duval loamy fine sand, 0 to 5 percent slopes",sand,sand,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DnB,Dn,"Duval very fine sandy loam, 1 to 3 percent slopes",sandy loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DnC,Dn,"Duval fine sandy loam, 3 to 5 percent slopes",sandy loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
DsC2,Ds,"Duval fine sandy loam, 3 to 5 percent slopes, eroded",sandy loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
EuC,Eu,"Aluf sand, 0 to 5 percent slopes",sand,sand,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Fr,Fr,"Loire clay loam, 0 to 2 percent slopes, occasionally flooded",clay loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Go,Go,"Gowen clay loam, 0 to 2 percent slopes, occasionally flooded",clay loam,loam,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Gu,Gu,"Gullied land-Sunev complex, 3 to 20 percent slopes",complex,complex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HgD,Hg,"Rock outcrop-Olmos complex, 5 to 25 percent slopes",complex,complex,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HkB,Hk,"Wilco loamy fine sand, 0 to 3 percent slopes",sand,sand,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HkC,Hk,"Wilco loamy fine sand, 3 to 5 percent slopes",sand,sand,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HkC2,Hk,"Wilco loamy fine sand, 3 to 5 percent slopes, eroded",sand,sand,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HnB,Hn,"Heiden clay, 1 to 3 percent slopes",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
HnC2,Hn,"Heiden clay, 3 to 5 percent slopes, eroded",clay,clay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
