OBJECTID,CASEID,mode_aspect,avg_elevation,avg_roughness,avg_slope,sidewalk_ratio
1,1014927554,45,224.647,0.728,1.395,2.582
2,1014927555,275,353.247,1.568,3.422,2.096
3,1014927558,125,277.67,1.054,2.163,1.406
4,1014927560,60,238.131,0.605,1.18,2.057
5,1014927574,175,204.47,0.314,0.658,1.044
6,1014927584,230,255.012,1.004,2.083,2.023
7,1014927585,160,308.554,1.463,2.93,0.973
8,1014927594,270,263.595,0.679,1.262,1.915
9,1014927659,220,283.513,0.695,1.056,2.029
10,1014927777,110,193.985,0.404,0.638,2.111
11,1014927832,160,288.157,0.562,0.718,1.012
12,1014927845,75,209.526,0.83,1.796,2.19
13,1014927866,270,209.778,0.722,1.518,2.033
14,1014927895,105,188.809,0.39,0.731,2.074
15,1014927915,165,227.437,0.341,0.714,2.564
16,1014927940,150,186.563,0.621,1.101,2.198
17,1014927977,315,199.984,0.214,0.339,1.837
18,1014928099,280,289.457,0.726,1.588,1.95
19,1014928346,275,232.276,0.404,0.769,2.09
20,1014928353,200,261.512,0.846,1.816,1.903
21,1014928575,65,239.313,0.954,1.858,2.054
22,1014928633,140,208.789,1.022,2.066,2.216
23,1014928738,190,302.953,0.881,1.968,2.064
24,1014928789,255,267.301,2.316,4.969,1.974
25,1014928823,150,188.711,0.331,0.592,2.035
26,1014928824,275,245.545,1.247,2.684,1.978
27,1014928897,160,240.941,0.403,0.61,1.002
28,1014928929,220,286.382,1.064,2.092,2.108
29,1014928948,190,196.968,0.699,1.154,2.177
30,1014928959,185,215.755,0.594,1.17,1.976
31,1014928979,90,236.647,0.555,0.922,1.186
32,1014929415,285,243.529,0.973,1.794,1.988
33,1014929437,15,232.597,0.731,1.318,1.956
34,1014929452,185,220.865,0.767,1.431,2.213
35,1014929776,125,267.139,1.467,2.802,2.042
36,1014929786,160,266.431,1.325,2.715,1.972
37,1014929808,55,173.614,0.525,1.035,2.011
38,1014930098,125,220.02,0.724,1.555,1.705
39,1014930117,250,218.53,0.519,1.079,1.999
40,1014930184,75,239.644,0.627,0.903,2.085
41,1014930227,130,204.581,0.264,0.487,0.534
42,1014930305,265,186.911,0.343,0.583,2.039
43,1014930403,125,217.249,0.629,1.273,2.278
44,1014930501,140,199.831,0.947,1.434,1.972
45,1014930557,275,204.199,0.273,0.477,1.737
46,1014930651,190,248.279,1.04,2.016,2.251
47,1014930667,240,204.442,0.645,1.107,2.074
48,1014930690,275,247.272,0.892,1.726,1.84
49,1014930709,160,223.149,0.407,0.858,1.995
50,1014930710,340,252.732,0.572,1.122,2.05
51,1014930734,275,204.199,0.273,0.477,1.737
52,1014930765,100,258.703,0.681,1.41,1.158
53,1014930775,185,184.078,0.63,1.206,2.001
54,1014931071,155,245.02,0.816,1.63,0.952
55,1014931182,60,210.853,0.529,0.978,2.047
56,1014931269,110,183.023,0.483,1.002,2.001
57,1014931348,285,196.142,0.42,0.582,2.138
58,1014931377,15,263.254,1.161,2.358,2.017
59,1014931404,230,224.039,0.576,0.99,2.018
60,1014931440,140,224.496,0.352,0.613,1.978
61,1014931528,100,228.391,0.693,1.333,1.887
62,1014931530,105,277.398,0.564,0.997,1.989
63,1014931663,310,283.824,0.82,1.568,0.796
64,1014931740,130,241.913,0.803,1.455,1.958
65,1014931762,80,251.056,0.546,1.14,0.316
66,1014931913,160,209.21,0.311,0.45,2.05
67,1014931922,195,211.678,0.272,0.489,2.229
68,1014931923,110,222.512,0.341,0.407,2.099
69,1014931925,135,220.815,0.634,1.016,1.993
70,1014931931,15,183.396,0.763,1.532,2.015
71,1014931934,210,180.265,0.562,1.051,1.903
72,1014931984,165,196.619,0.309,0.562,1.973
73,1014931989,75,224.762,0.544,1.005,1.993
74,1014931999,225,259.249,0.859,1.444,2.011
75,1014932009,240,293.202,0.687,1.089,1.854
76,1014932144,125,267.462,2.314,4.439,1.327
77,1014932219,260,262.012,0.78,1.615,1.65
78,1014932234,105,259.592,0.867,1.804,1.902
79,1014932316,125,294.139,0.465,1.002,1.894
80,1014932349,65,211.124,0.657,1.378,2.039
81,1014932387,155,314.217,1.213,2.453,0.962
82,1014932521,215,195.818,0.681,0.871,2.038
83,1014932542,140,193.377,0.783,1.599,1.609
84,1014932553,240,283.179,0.974,1.832,2.095
85,1014932567,230,216.667,0.82,1.751,2.12
86,1014932582,150,227.968,0.399,0.693,1.263
87,1014932610,60,222.987,0.782,1.501,2.024
88,1014932829,150,207.675,0.704,1.361,2.041
89,1014932854,190,356.37,2.64,5.646,1.006
90,1014933105,135,201.138,0.473,0.923,2.006
91,1014933115,185,264.485,0.672,1.024,2.025
92,1014933133,70,195.479,1.015,2.083,2.122
93,1014933151,250,290.745,0.785,1.488,2.592
94,1014933218,25,218.763,0.876,1.566,2.055
95,1014933263,200,197.108,0.455,0.835,2.129
96,1014933265,165,227.437,0.341,0.714,2.564
97,1014933296,220,194.117,0.46,0.671,0.256
98,1014933310,80,197.569,0.702,1.416,2.048
99,1014933344,220,194.117,0.46,0.671,0.256
100,1014933395,120,202.084,0.376,0.706,1.962
101,1014933525,140,211.271,0.587,1.176,2.097
102,1014933613,265,174.141,0.842,1.281,1.316
103,1014933698,170,197.702,0.46,0.884,2.016
104,1014933836,75,209.188,0.376,0.632,2.185
105,1014933883,50,189.935,0.666,1.035,1.981
106,1014933906,130,210.356,0.338,0.651,0.389
107,1014934088,210,180.265,0.562,1.051,1.903
108,1014934116,170,241.465,1.506,3.299,2.045
109,1014934151,10,359.058,0.714,1.47,1.796
110,1014934162,135,167.723,0.599,1.146,1.911
111,1014934174,130,249.401,0.545,0.924,2.211
112,1014934190,155,200.15,0.214,0.379,1.996
113,1014934237,140,235.239,0.808,1.634,1.166
114,1014934354,175,296.192,0.773,1.46,1.982
115,1014934376,160,250.832,0.345,0.729,2.013
116,1014934405,40,233.795,0.347,0.589,1.092
117,1014934412,100,219.232,1.018,2.1,1.808
118,1014934419,195,231.405,0.454,0.571,1.948
119,1014934444,170,203.023,0.236,0.326,1.817
120,1014934515,15,204.866,0.44,0.883,2.237
121,1014934576,85,201.467,0.352,0.699,2.073
122,1014934629,190,190.296,0.264,0.445,2.003
123,1014934639,195,224.292,0.969,2.14,1.252
124,1014934643,15,249.18,0.621,1.31,0.421
125,1014934804,285,243.529,0.973,1.794,1.988
126,1014934903,155,215.926,0.283,0.565,1.805
127,1014934928,85,221.065,0.872,1.806,2.191
128,1014934936,120,250.757,0.853,1.717,1.975
129,1014934984,135,209.974,0.248,0.494,1.941
130,1014935007,295,246.214,0.848,1.713,1.985
131,1014935029,70,211.64,0.382,0.672,2.159
132,1014935110,165,192.022,0.473,0.707,1.975
133,1014935174,125,206.088,2.271,4.457,0.264
134,1014935279,205,197.177,0.227,0.417,1.98
135,1014935289,85,282.949,1.263,2.507,1.965
136,1014935290,310,225.891,0.478,0.877,1.893
137,1014935297,170,217.08,0.278,0.429,2.094
138,1014935337,110,226.683,0.714,1.243,1.987
139,1014935385,15,217.54,0.566,1.193,2.108
140,1014935624,345,273.225,1.042,2.102,1.199
141,1014935668,135,364.727,0.793,1.75,2.033
142,1014935671,150,199.979,0.53,0.935,1.916
143,1014935673,325,253.426,0.729,1.514,1.898
144,1014935680,190,205.494,0.408,0.63,1.946
145,1014935718,135,310.459,0.924,1.718,1.923
146,1014935755,310,163.498,0.937,1.604,0
147,1014935759,160,210.163,0.461,0.756,2.041
148,1014935824,310,283.824,0.82,1.568,0.796
149,1014935836,105,225.227,0.62,1.028,2.058
150,1014935950,290,243.797,0.773,1.492,1.971
151,1014935996,90,228.926,1.529,3.353,1.914
152,1014936011,105,313.556,1.073,1.976,1.679
153,1014936056,95,231.486,1.587,3.601,1.202
154,1014936072,200,301.759,0.625,1.197,1.969
155,1014936090,340,348.47,1.639,3.225,0.945
156,1014936115,65,232.728,0.575,0.922,1.879
157,1014936149,235,349.686,1.748,2.946,0
158,1014936191,135,200.524,0.912,1.788,1.748
159,1014936215,20,307.764,0.922,1.938,1.324
160,1014936256,175,270.215,0.68,1.029,2.03
161,1014936262,140,273.111,0.622,0.958,2.027
162,1014936264,140,273.111,0.622,0.958,2.027
163,1014936267,140,273.111,0.622,0.958,2.027
164,1014936269,140,273.111,0.622,0.958,2.027
165,1014936273,140,273.111,0.622,0.958,2.027
166,1014936278,140,273.111,0.622,0.958,2.027
167,1014936284,140,273.111,0.622,0.958,2.027
168,1014936470,330,301.419,0.465,0.671,1.984
169,1014936487,135,220.815,0.634,1.016,1.993
170,1014936511,245,254.984,0.697,1.477,2.016
171,1014936675,105,242.034,0.586,1.247,1.969
172,1014936744,150,278.809,1.103,2.259,1.973
173,1014936835,105,219.837,0.331,0.714,1.655
174,1014936870,145,228.379,0.392,0.752,1.395
175,1014936893,185,215.755,0.594,1.17,1.976
176,1014936901,160,208.175,0.409,0.597,2.115
177,1014937058,170,207.208,0.516,0.742,2.024
178,1014937076,120,211.976,0.242,0.441,1.913
179,1014937090,315,209.356,0.169,0.198,1.145
180,1014937182,65,193.978,0.357,0.645,2.188
181,1014937198,90,201.382,0.351,0.649,2.176
182,1014937209,160,195.702,0.497,1.06,1.911
183,1014937221,110,224.127,0.471,0.807,2.056
184,1014937252,35,259.012,1.458,2.487,1.935
185,1014937339,85,191.435,0.498,0.697,2.106
186,1014937376,80,201.017,0.294,0.589,2.266
187,1014937506,110,196.456,0.771,1.467,2.033
188,1014937630,165,261.025,1.004,2.061,1.651
189,1014937726,140,203.285,1.219,2.61,2.026
190,1014937791,200,239.704,0.588,1.236,1.954
191,1014937852,170,207.208,0.516,0.742,2.024
192,1014937885,210,200.515,0.677,1.445,1.836
193,1014938045,285,179.395,0.655,1.093,2.111
194,1014938095,140,243.841,0.677,1.344,0.227
195,1014938160,175,208.251,0.961,1.966,2.15
196,1014938169,120,220.535,0.628,1.055,2.007
197,1014938172,175,208.251,0.961,1.966,2.15
198,1014938183,170,188.086,0.468,0.651,1.868
199,1014938253,25,187.619,0.621,1.244,2.135
200,1014938343,345,201.571,0.584,0.975,2.083
201,1014938382,225,250.762,0.648,1.299,2.134
202,1014938426,90,204.206,0.417,0.78,2.116
203,1014938478,195,211.678,0.272,0.489,2.229
204,1014938508,245,180.654,0.298,0.485,1.069
205,1014938513,325,229.458,0.445,0.725,2.021
206,1014938530,160,286.196,0.566,1.037,0.989
207,1014938642,95,208.389,0.52,1.014,1.979
208,1014938671,105,226.495,0.929,1.761,1.954
209,1014938705,25,242.409,0.629,1.234,1.909
210,1014938709,20,191.842,0.804,1.687,1.969
211,1014938743,160,200.463,0.29,0.539,2.113
212,1014938768,140,224.811,0.347,0.471,1.989
213,1014938778,105,219.837,0.331,0.714,1.655
214,1014938804,180,189.405,0.465,0.916,2.025
215,1014938831,35,252.349,0.852,1.396,1.929
216,1014938844,190,208.024,0.549,0.861,2.066
217,1014938857,5,261.28,1.216,2.805,0.31
218,1014938943,10,220.757,0.531,0.857,1.856
219,1014938964,270,255.713,0.764,1.731,1.877
220,1014938987,65,174.508,0.587,0.937,2.046
221,1014939008,105,186.146,0.492,1.027,1.978
222,1014939018,195,284.822,0.895,1.841,0.838
223,1014939045,5,210.092,0.626,1.099,2.16
224,1014939046,310,229.057,0.627,1.131,1.66
225,1014939183,345,303.474,0.662,1.203,1.399
226,1014939212,105,186.146,0.492,1.027,1.978
227,1014939216,275,235.993,0.426,0.855,1.693
228,1014939311,185,241.935,0.521,0.782,2.063
229,1014939333,25,210.276,0.224,0.336,2.076
230,1014939423,45,308.327,0.891,1.805,0.967
231,1014939440,260,247.792,0.759,1.534,1.88
232,1014939447,185,233.297,0.496,0.639,1.96
233,1014939466,185,310.523,1.024,1.762,1.2
234,1014939521,70,199.555,0.286,0.561,1.96
235,1014939596,100,215.578,0.58,0.925,1.262
236,1014939706,280,289.457,0.726,1.588,1.95
237,1014939807,115,284.717,0.678,1.447,2.028
238,1014939809,220,243.71,0.818,1.464,1.646
239,1014939822,310,295.161,1.055,1.91,2.373
240,1014939845,90,201.068,0.608,1.335,1.978
241,1014940029,95,242.681,0.667,1.115,0.136
242,1014940063,105,211.101,0.353,0.647,2.073
243,1014940097,100,219.613,0.455,0.843,2.096
244,1014940268,285,287.251,0.846,1.698,1.043
245,1014940285,160,210.163,0.461,0.756,2.041
246,1014940298,125,277.67,1.054,2.163,1.406
247,1014940319,150,199.979,0.53,0.935,1.916
248,1014940765,175,198.579,0.61,1.134,2.072
249,1014940791,150,199.979,0.53,0.935,1.916
250,1014940855,70,341.313,0.732,1.525,0.97
251,1014940858,180,277.702,1.002,2.203,2.017
252,1014940922,170,216.171,0.737,1.744,1.488
253,1014940924,250,208.313,0.297,0.292,0
254,1014940933,235,201.032,0.52,0.839,1.976
255,1014941151,145,211.302,0.282,0.453,2.214
256,1014941237,305,358.658,1.288,2.411,0.991
257,1014941479,250,287.944,0.51,1.004,1.09
258,1014941485,260,295.793,0.41,0.789,1.194
259,1014941489,125,257.51,0.399,0.644,1.83
260,1014941562,65,238.107,0.749,1.387,2.097
261,1014941618,205,251.416,0.504,0.971,0.924
262,1014941775,170,201.986,0.476,0.7,2.129
263,1014941790,230,236.273,0.741,1.45,2.163
264,1014941944,95,239.795,0.699,1.514,1.786
265,1014941946,310,279.196,1.255,2.222,1.907
266,1014941960,290,269.94,1.043,2.109,0.994
267,1014941967,130,231.216,0.856,1.767,1.993
268,1014942010,355,202.497,1.034,2.204,2.135
269,1014942041,35,192.646,0.491,0.942,1.698
270,1014942080,210,188.749,0.404,0.777,1.98
271,1014942119,175,174.995,0.869,1.535,1.958
272,1014942196,175,198.545,0.456,1.099,2.064
273,1014942205,165,197.69,0.435,0.689,1.989
274,1014942219,95,210.909,1.356,3.235,0.436
275,1014942269,170,209.408,0.39,0.614,2.162
276,1014942287,155,213.342,0.638,1.248,2.012
277,1014942327,175,213.785,0.486,0.797,2.035
278,1014942397,160,259.405,0.574,1.213,1.79
279,1014942488,60,218.072,0.755,1.509,2.235
