zip,year,depression,poor_mental_health_days,obesity,physical_inactivity,diabetes
78207,2020,0.18,4.2,0.34,0.29,0.14
78207,2021,0.19,4.4,0.35,0.3,0.145
78207,2022,0.21,4.8,0.36,0.31,0.15
78207,2023,0.22,5,0.37,0.32,0.155
78207,2015,0.16,3.8,0.32,0.27,0.13
78207,2016,0.165,3.9,0.325,0.275,0.132
78207,2017,0.17,4,0.33,0.28,0.135
78207,2018,0.175,4.1,0.335,0.285,0.138
78207,2019,0.18,4.2,0.34,0.29,0.14
78207,2020,0.185,4.3,0.345,0.295,0.142
78207,2021,0.19,4.4,0.35,0.3,0.145
78207,2022,0.205,4.7,0.355,0.305,0.148
78207,2023,0.215,4.9,0.36,0.31,0.15
78207,2024,0.225,5.1,0.365,0.315,0.155
78207,2025,0.23,5.3,0.37,0.32,0.16
78207,2015,0.162,3.85,0.321,0.271,0.131
78207,2016,0.168,3.95,0.326,0.276,0.133
78207,2017,0.172,4.05,0.332,0.281,0.136
78207,2018,0.178,4.15,0.338,0.286,0.139
78207,2019,0.182,4.25,0.342,0.291,0.141
78207,2020,0.187,4.35,0.347,0.296,0.143
78207,2021,0.193,4.45,0.352,0.301,0.146
78207,2022,0.208,4.75,0.357,0.306,0.149
78207,2023,0.218,4.95,0.362,0.311,0.151
78207,2024,0.228,5.15,0.367,0.316,0.156
78207,2025,0.232,5.35,0.372,0.321,0.161
78207,2015,0.158,3.75,0.319,0.269,0.129
78207,2016,0.163,3.85,0.323,0.273,0.131
78207,2017,0.168,3.95,0.328,0.278,0.134
78207,2018,0.173,4.05,0.333,0.283,0.137
78207,2019,0.178,4.15,0.338,0.288,0.139
78207,2020,0.183,4.25,0.343,0.293,0.141
78207,2021,0.188,4.35,0.348,0.298,0.144
78207,2022,0.202,4.65,0.353,0.303,0.147
78207,2023,0.212,4.85,0.358,0.308,0.149
78207,2024,0.222,5.05,0.363,0.313,0.154
78207,2025,0.227,5.25,0.368,0.318,0.159
