# ----------------------------------------
# SACRD.org v2 - GA4
# Page View Events-Page Views
# 20250901-20250930
# ----------------------------------------

,Segment,Is page view,Totals
Page location,Page referrer,Event count,Event count
,,119634,119634,Grand total
https://sacrd.org/directory/,,5201,5201
https://www.sacrd.org/directory/,,2973,2973
https://www.sacrd.org/directory/,https://www.google.com/,1575,1575
https://sacrd.org/directory/subcategory/help-pay-for-housing,https://dhs.mendixcloud.com/,1158,1158
https://www.sacrd.org/portal/housingservices/,https://www.sacrd.org/directory/,652,652
https://sacrd.org/portal/housingservices/,https://sacrd.org/directory/,612,612
https://www.sacrd.org/directory/organization/1584,https://www.google.com/,457,457
https://www.sacrd.org/directory/,https://www.bing.com/,456,456
https://www.sacrd.org/directory/program/1898,https://www.google.com/,418,418
https://www.sacrd.org/directory/subcategory/food-pantry,https://www.google.com/,412,412
https://www.sacrd.org/directory/organization/3315,https://www.google.com/,410,410
https://www.sacrd.org/directory/organization/2107,https://www.google.com/,315,315
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,https://www.google.com/,285,285
https://comalcares.org/directory/,,270,270
https://www.sacrd.org/directory/organization/1276,https://www.google.com/,236,236
https://www.sacrd.org/directory/subcategory/help-pay-for-housing,https://www.google.com/,236,236
https://www.sacrd.org/directory/program/7557,https://www.google.com/,212,212
https://www.sacrd.org/directory/contact-us-to-embed,https://www.sacrd.org/directory/contact-us-to-embed,190,190
https://www.sacrd.org/portal/mhp/,https://www.sacrd.org/directory/,182,182
https://www.sacrd.org/directory/program/8790,https://www.google.com/,171,171
https://www.sacrd.org/directory/program/11222,https://www.google.com/,168,168
https://sacrd.org/portal/mhp/,https://sacrd.org/directory/,164,164
https://www.sacrd.org/directory/organization/1584,https://www.sacrd.org/directory/organization/1584,164,164
https://www.comalcares.org/directory/,,163,163
https://www.sacrd.org/directory/program/8014,https://www.google.com/,161,161
https://www.sacrd.org/directory/?utm_source=pocket_card&utm_medium=cards&utm_campaign=pocket_card_english,,149,149
https://www.sacrd.org/directory/program/13545,,148,148
https://www.sacrd.org/directory/organization/2107,https://www.sacrd.org/directory/organization/2107,147,147
https://www.sacrd.org/directory/,https://www.sacrd.org/directory/,140,140
https://www.comalcares.org/directory/organization/1895,,139,139
https://www.sacrd.org/directory/program/7999,https://www.google.com/,136,136
https://sacrd.org/directory/program/16900,https://sacrd.org/directory/program/16900,134,134
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,134,134
https://www.sacrd.org/portal/housingservices/?gp=hsp_startingpage,https://311.sanantonio.gov/,128,128
https://sacrd.org/directory/,https://sacrd.org/directory/,126,126
https://sacrd.org/directory/subcategory/help-pay-for-utilities,https://sacrd.org/directory/,123,123
https://www.sacrd.org/directory/program/8107,https://www.google.com/,123,123
https://www.sacrd.org/directory/subcategory/emergency-shelter,https://www.google.com/,122,122
https://www.sacrd.org/portal/housingservices/,https://www.google.com/,122,122
https://www.sacrd.org/directory/subcategory/food-pantry,,117,117
https://www.sacrd.org/navigator/about,,113,113
https://www.sacrd.org/directory/program/11863,https://www.google.com/,107,107
https://www.sacrd.org/directory/program/1037,https://www.google.com/,106,106
https://www.sacrd.org/directory/program/14149,,106,106
https://sacrd.org/portal/housingservices/,https://sacrd.org/directory/subcategory/help-pay-for-housing,104,104
https://sacrd.org/directory/program/16900,https://sacrd.org/directory/subcategory/help-pay-for-housing,103,103
https://www.sacrd.org/directory/program/870,https://www.google.com/,101,101
https://www.sacrd.org/directory/program/914,https://www.google.com/,100,100
https://www.sacrd.org/directory/subcategory/emergency-food,https://www.google.com/,100,100
https://sacrd.org/directory/subcategory/help-pay-for-housing,https://sacrd.org/directory/subcategory/help-pay-for-housing,99,99
https://www.sacrd.org/directory/program/11048,https://www.google.com/,99,99
https://www.sacrd.org/directory/subcategory/transportation-assistance,https://www.google.com/,99,99
https://www.sacrd.org/pages/mailing-list,,98,98
https://www.sacrd.org/directory/subcategory/tenants-rights,https://www.google.com/,96,96
https://www.sacrd.org/directory/program/336,https://www.google.com/,93,93
https://www.sacrd.org/directory/,android-app://com.google.android.gm/,92,92
https://www.sacrd.org/directory/subcategory/housing,https://www.google.com/,92,92
https://www.sacrd.org/directory/program/946,https://www.google.com/,91,91
https://www.sacrd.org/directory/organization/1244,https://www.google.com/,90,90
https://www.sacrd.org/directory/program/16900,https://www.sacrd.org/directory/program/16900,89,89
https://sacrd.org/directory/,https://www.bexar.org/,88,88
https://www.sacrd.org/directory/program/12158,https://www.google.com/,88,88
https://www.sacrd.org/directory/program/14387,https://www.google.com/,86,86
https://www.sacrd.org/directory/subcategory/help-pay-for-utilities,https://www.sacrd.org/directory/,86,86
https://sacrd.org/directory/program/14948,https://sacrd.org/directory/subcategory/help-pay-for-housing,84,84
https://www.sacrd.org/directory/organization/3315,https://www.sacrd.org/directory/organization/3315,84,84
