# ----------------------------------------
# SACRD.org v2 - GA4
# Portal Events-Portals
# 20260101-20260131
# ----------------------------------------

,,,Segment,Is US Portal,Totals
URL,Search,Entity type,Entity ID,Event count,Event count
,,,,11377,11377,Grand total
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_starti,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,215,215
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpa,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,189,189
https://www.sacrd.org/portal/mhp/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,guideme,-,62,62
https://sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,attribute,302,42,42
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=302,attribute,302,33,33
https://www.sacrd.org/portal/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mainPage&a=303,attribute,303,32,32
https://sacrd.org/portal/mhp/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=mhp_start,guideme,-,30,30
https://sacrd.org/housingservices/?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,?zipcode=78205&lat=29.42364&lng=-98.48647&gp=hsp_startingpage,guideme,-,28,28
