id,name,portal
1,"ADHD",Mental Healthcare Portal
95,"Adoption",Mental Healthcare Portal
73,"Alzheimer’s/Dementia",Mental Healthcare Portal
80,"Anger Management",Mental Healthcare Portal
13,"Anxiety Disorders",Mental Healthcare Portal
14,"Autism",Mental Healthcare Portal
86,"Behavioral Therapy",Mental Healthcare Portal
29,"Bereavement",Mental Healthcare Portal
15,"Bipolar Disorders",Mental Healthcare Portal
47,"Board Approved Clinical Consultant",Mental Healthcare Portal
35,"Bullying",Mental Healthcare Portal
58,"Case Management",Mental Healthcare Portal
48,"Case Manager Certification",Mental Healthcare Portal
49,"Certified Addiction Specialist",Mental Healthcare Portal
50,"Certified Clinical Mental Health Counselor",Mental Healthcare Portal
94,"Certified Counselors",Mental Healthcare Portal
98,"Combat Trauma",Mental Healthcare Portal
75,"Counseling Interns",Mental Healthcare Portal
102,"Counselor",Mental Healthcare Portal
60,"Couples Therapy/Counseling",Mental Healthcare Portal
12,"Culture Matching",Mental Healthcare Portal
16,"Depression",Mental Healthcare Portal
51,"Diplomate in Clinical Social Work",Mental Healthcare Portal
17,"Disruptive Disorders",Mental Healthcare Portal
18,"Dissociative Disorders",Mental Healthcare Portal
27,"Divorce",Mental Healthcare Portal
28,"Domestic Violence",Mental Healthcare Portal
97,"Donation Encouraged",Mental Healthcare Portal
19,"Eating Disorders",Mental Healthcare Portal
63,"Educational Service",Mental Healthcare Portal
286,"Emergency Shelter",Big Bend Regional Resource Directory
644,"Equine Therapy",Mental Healthcare Portal
74,"Family Therapist",Mental Healthcare Portal
57,"Family Therapy/Counseling",Mental Healthcare Portal
69,"Free",Mental Healthcare Portal
56,"Group Therapy/Counseling",Mental Healthcare Portal
248,"Help Pay for Housing",Big Bend Regional Resource Directory
233,"Help Pay for Transportation",Big Bend Regional Resource Directory
247,"Help Pay for Utilities",Big Bend Regional Resource Directory
92,"Homelessness",Mental Healthcare Portal
76,"Hotline",Mental Healthcare Portal
184,"Income-Restricted",Housing Finder
55,"Individual Therapy/Counseling",Mental Healthcare Portal
54,"Inpatient Hospitalization",Mental Healthcare Portal
82,"Intellectual or Developmental Disability (IDD)",Mental Healthcare Portal
36,"LCDC",Mental Healthcare Portal
37,"LCSW",Mental Healthcare Portal
38,"LMFT",Mental Healthcare Portal
39,"LMSW",Mental Healthcare Portal
96,"Loneliness",Mental Healthcare Portal
40,"LPC",Mental Healthcare Portal
41,"LPC-A",Mental Healthcare Portal
42,"LVN",Mental Healthcare Portal
52,"Master Addiction Counselor",Mental Healthcare Portal
65,"Medicaid",Mental Healthcare Portal
64,"Medicare",Mental Healthcare Portal
59,"Medication Management",Mental Healthcare Portal
77,"Meditation",Mental Healthcare Portal
90,"Military Sexual Trauma (MST)",Mental Healthcare Portal
89,"Mobile Assessment Team",Mental Healthcare Portal
87,"Occupational Therapy",Mental Healthcare Portal
20,"OCD",Mental Healthcare Portal
44,"PA/NP",Mental Healthcare Portal
61,"Pastoral Counseling",Mental Healthcare Portal
93,"PCP",Mental Healthcare Portal
62,"Peer Support",Mental Healthcare Portal
21,"Personality Disorders",Mental Healthcare Portal
101,"Play Therapy",Mental Healthcare Portal
71,"PMHNP",Mental Healthcare Portal
72,"PMHNP-BC",Mental Healthcare Portal
91,"Pregnancy or Abortion",Mental Healthcare Portal
66,"Private Insurance",Mental Healthcare Portal
67,"Private Pay",Mental Healthcare Portal
45,"Psychiatry",Mental Healthcare Portal
100,"Psychological Testing",Mental Healthcare Portal
46,"Psychology",Mental Healthcare Portal
22,"Psychosis",Mental Healthcare Portal
23,"PTSD/Trauma",Mental Healthcare Portal
79,"QMHP",Mental Healthcare Portal
34,"Race or Ethnicity Related Trauma",Mental Healthcare Portal
78,"Recreation/Art/Music Therapy",Mental Healthcare Portal
70,"Referral Required",Mental Healthcare Portal
83,"Residential Care Services",Mental Healthcare Portal
43,"RN",Mental Healthcare Portal
99,"Sex Addiction",Mental Healthcare Portal
31,"Sexual Abuse",Mental Healthcare Portal
33,"Sexuality-related Trauma",Mental Healthcare Portal
185,"Short-Term Lease Options",Housing Finder
24,"Sleep Disorders",Mental Healthcare Portal
68,"Sliding Scale",Mental Healthcare Portal
25,"Somatic Symptom Disorders",Mental Healthcare Portal
88,"Speech Therapy",Mental Healthcare Portal
81,"Stress Management",Mental Healthcare Portal
26,"Substance Use Disorders",Mental Healthcare Portal
30,"Suicidal Ideation",Mental Healthcare Portal
103,"Telehealth",Mental Healthcare Portal
287,"Temporary Shelter",Big Bend Regional Resource Directory
32,"Trafficking",Mental Healthcare Portal
