id,name,org,zipcode
"6026","Collegiate 100","100 Black Men of San Antonio, Inc","78210"
"9943","IT Apprenticeships","100 Black Men of San Antonio, Inc","78210"
"8076","Volunteer Opportunities","100 Black Men of San Antonio, Inc","78210"
"6024","YouthBuild San Antonio","100 Black Men of San Antonio, Inc","78210"
"2763","Educational Advocacy","101 Advocacy","78259"
"19850","Mobility Solutions","101 Mobility","78249"
"14404","The Inn at Los Patios","12 Oaks Senior Living","78217"
"13225","Donate to Defend","1HOPE for Kids",
"13224","Engage","1HOPE for Kids","78230"
"13223","Foster Care","1HOPE for Kids","78230"
"17103","Foster Care - New Braunfels","1HOPE for Kids","78130"
"19814","New Braunfels Foster Closet","1HOPE for Kids","78130"
"7082","Spiritual Services","1st Church of San Antonio - IAFCJ","78228"
"16619","Mantee Fathers","21st Century Dads",
"16620","MasterMind Group","21st Century Dads",
"16618","Mentor Fathers","21st Century Dads",
"19571","CPR Classes","24 Hr CPR Certification San Antonio","78240"
"19723","Food Pantry","247 Church","78247"
"7797","Spiritual Services","247 Church","78247"
"19736","Trinity Preschool and Daycare","247 Church","78247"
"9647","311 City Call Center","311 City Info and Help",
"9648","City Services FAQs & Info","311 City Info and Help",
"9649","City Services Online Request","311 City Info and Help",
"14591","Report Hoarding","311 City Info and Help",
"4469","Spiritual Services","360' Outreach Center","78210"
"14774","Eye Care at 4i's Optical","4i's Optical","79830"
"13559","Pre- and Post-operative Vision Care","4i's Optical","79830"
"18541","Join a Community - Free Chat","7 Cups",
"18542","Online Therapy and Coaching","7 Cups",
"19050","Customized Therapy for Children","A Balanced Child","78247"
"19051","Our Services - Valley","A Balanced Child","78501"
"7015","Baby Supplies & Resources","A Brighter Day","78201"
"18866","Our Program & Goals","A Child's Place Learning Center","78028"
"12208","How to Adopt","A Doggie 4 You","78063"
"12209","Volunteer Opportunities","A Doggie 4 You","78063"
"8211","Counseling Services","A New Day Pediatric Psychology, PLLC","78232"
"66","Any Generation","A New Life for a New Generation","78237"
"69","Counseling Services","A New Life for a New Generation","78237"
"67","Generation Success","A New Life for a New Generation","78237"
"8077","Volunteer and Support Opportunities","A New Life for a New Generation","78237"
"16368","We Care","A New Life for a New Generation","78237"
"68","Wisdom Generation","A New Life for a New Generation","78237"
"16154","Couples and Family Counseling","A New Start Counseling Services","78216"
"16156","DBQ Veteran Re-Evaluations","A New Start Counseling Services","78216"
"16153","Individual Counseling","A New Start Counseling Services","78216"
"6649","A Place for Kids","A Place for Kids Christian Learning Center","78238"
"17223","Occupational Therapy Services","A Plus Rehab","78229"
"17224","Physical Therapy Services","A Plus Rehab","78229"
"17220","Speech Therapy","A Plus Rehab","78229"
"12922","Addiction and Recovery Support","A Recovery Place","78217"
"12923","Community Service Hours","A Recovery Place","78217"
"12924","Host your Next Meeting at ARP","A Recovery Place","78217"
"12927","We Need Your Support","A Recovery Place","78217"
"20308","Alcohol or Drug Evaluation","A Second Chance","78207"
"20306","DWI Education (1st Offense) – DWIE","A Second Chance","78207"
