Timestamp,What ZIP code do you live in?,Age?,Which best describes your employment status? ,What is your current housing situation? (select all that apply),What type of dwelling do you currently live in? (select all that apply),How would you rate the affordability of housing in your area?,What is your largest housing-related concern?,Please rate your awareness of public & city issues in the San Antonio area.,"In your current district, what concerns do you have related to job prospects, workforce opportunities, and other areas of economic development? (select all that apply)","Are there opportunities for investment, career growth, and job opportunities in your district? (If possible, please expand on your answer choice in ""Other"")",Which of the following do you believe is the biggest barrier to stable employment in San Antonio? (select all that apply),What types of job training or workforce programs would you most like to see expanded? (select all that apply),"Do you think partnerships between local government and private companies (such as developers or tech firms) help create more jobs and boost the economy in San Antonio? (If possible, please expand on your answer choice in ""Other"")",What is your primary mode of transportation?,How satisfied are you with public transportation in San Antonio?,Which transportation improvements would most benefit your daily life?  (select all that apply),What's a public service or resource your neighborhood is currently lacking? (select all that apply),Do you frequent downtown San Antonio? ,What aspects of San Antonio make you optimistic?,What perspective do you have about development regarding the San Antonio sports and entertainment district?,What should be a top priority for San Antonio's growth? ,How connected do you feel to decision-making in your neighborhood or city?,"How accessible are public community spaces in your district? (ex. Parks, Libraries, Community Centers, etc.)",What types of local businesses or services do you wish existed in your neighborhood but don’t?,Feel free to share any other experiences or opinions as a citizen of your district and San Antonio: (Free Response)
6/12/2025 12:37:42,78216,65 or older,Retired,Owning a home or condo,Single-family house,1,Lack of homeownership opportunities,1,"Not enough job opportunities, High cost of living",Yes,"Lack of job opportunities, Low wages","Trade or vocational training, Tech and digital skills",Yes,Personal Vehicle,I don't use public transportation,"Safer streets, Lower transportation costs","Safe parks or green spaces, Affordable child or elder care, Mental health or healthcare services",No,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence, Low cost of living",Negative,Job creation,Not very connected,10,"Financial services, Coworking spaces","As president of an NA I have been calling 311 lately and have had quick responses to issues, so I have a renewed confidence in several of our city services. Code Compliance, Tagging and Graffiti clean up and Homeless Encampments broken up.  I hope more of these citizen services are the order of the new administration.  We need to continue to take care of our city and citizens first. Public Safety is a priority as well. "
6/12/2025 14:55:35,78228,65 or older,Retired,Owning a home or condo,Single-family house,3,"Rising rent and/or high housing costs, Displacement/gentrification",1,"Not enough job opportunities, Low wages",Yes,"Lack of job opportunities, Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Yes,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, More sidewalks","Affordable child or elder care, Mental health or healthcare services",Yes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence, Low cost of living",Negative,Affordable housing,Very connected,8,"Restaurants/cafes, Child care/senior care, Coworking spaces",
6/19/2025 8:56:28,78201,35–44,Employed full-time,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,2,"Not enough job opportunities, Low wages",Yes,"Low wages, Inadequate training or education programs","Healthcare or caregiving roles, Apprenticeships, English language or GED programs","I believe in partnerships between the city and companies, but I think instead of bringing in external companies to create jobs, the city needs to focus on the small businesses of SATX to help them create more job opportunities. ",Personal Vehicle,Somewhat satisfied,More sidewalks,"Access to fresh food/grocery stores, Safe parks or green spaces, Public transit options, Affordable child or elder care, Job centers or business support",Yes,,Neutral,Job creation,Very connected,6,Grocery stores,
6/21/2025 19:27:17,78204,65 or older,Retired,Owning a home or condo,Single-family house,4,"Rising rent and/or high housing costs, Poor housing quality, Lack of homeownership opportunities",1,"Not enough job opportunities, Low wages, High cost of living",Unsure,"Lack of job opportunities, Low wages, Inadequate training or education programs, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Apprenticeships, Soft skills, English language or GED programs",Unsure,Personal Vehicle,I don't use public transportation,"More sidewalks, Safer streets","Affordable child or elder care, Mental health or healthcare services, Youth programming, Job centers or business support",Yes,Growing Tech Hub scene,Negative,Education and youth programs,Neutral,5,"Restaurants/cafes, Healthcare services, Child care/senior care, Financial services",
6/25/2025 14:20:33,78212,18–24,Employed part-time,Living with family or friends (not as a renter or owner),Single-family house,4,Rising rent and/or high housing costs,4,"Low wages, High cost of living",Unsure,"Lack of job opportunities, Low wages, Transportation challenges","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Yes,Personal Vehicle,I don't use public transportation,"Reduced traffic congestion, No improvements",Safe parks or green spaces,No,"Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence",Neutral,,,,,
6/25/2025 14:20:40,78201,18–24,Employed part-time,Living with family or friends (not as a renter or owner),Single-family house,2,No housing concerns,4,Older or small workforce base,Unsure,"Low wages, Inadequate training or education programs","Tech and digital skills, Healthcare or caregiving roles, English language or GED programs",Maybe,Ride-share,Neutral,"More sidewalks, Safer streets","Safe parks or green spaces, Mental health or healthcare services, Job centers or business support",Yes,"San Antonio International Airport Expansion, Larger military presence, Low cost of living",Neutral,Public transit and walkability,Neutral,7,"Restaurants/cafes, Healthcare services, Financial services",I was murdered and thrown into Woodlawn Lake but I crawled out Jason-style.
6/25/2025 14:23:30,78208,25–34,"Unemployed, not seeking work",Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),3,Rising rent and/or high housing costs,3,High cost of living,No,Transportation challenges,Apprenticeships,Yes,Walking,Very dissatisfied,"More frequent bus service, More sidewalks",Affordable child or elder care,Sometimes,Access to top-tier universities and research institutions,Positive,Small business development,Somewhat connected,3,Child care/senior care,
6/25/2025 14:25:03,78253,25–34,Student,Owning a home or condo,Single-family house,3,No housing concerns,5,Not enough job opportunities,Yes,"Lack of job opportunities, Transportation challenges","Trade or vocational training, Apprenticeships",Yes,Personal Vehicle,Somewhat dissatisfied,"More sidewalks, Safer streets",Youth programming,Yes,Growing Tech Hub scene,Positive,Small business development,Neutral,5,Child care/senior care,
6/25/2025 14:30:58,78253,18–24,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,3,"Rising rent and/or high housing costs, Poor housing quality, Displacement/gentrification",1,"Not enough job opportunities, Low wages, High cost of living",Yes,"Lack of job opportunities, Low wages, Childcare or eldercare responsibilities","Tech and digital skills, Healthcare or caregiving roles, Apprenticeships, Soft skills",Yes,Personal Vehicle,Somewhat dissatisfied,"Expanded routes or better coverage, Reduced traffic congestion","Access to fresh food/grocery stores, Public transit options",No,"Arts, entertainment, music, Growing Tech Hub scene",Neutral,Affordable housing,Neutral,5,Grocery stores,
6/25/2025 14:33:54,78201,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,4,"Rising rent and/or high housing costs, Displacement/gentrification, Lack of homeownership opportunities",5,"Not enough job opportunities, Lack of diversity in retail & consumerism, High cost of living",Unsure,"Lack of job opportunities, Inadequate training or education programs",Green jobs/sustainability sectors,Unsure,Personal Vehicle,Somewhat satisfied,"More sidewalks, Reduced traffic congestion","Access to fresh food/grocery stores, Affordable child or elder care, Mental health or healthcare services",Yes,"Arts, entertainment, music",Positive,Affordable housing,Very connected,10,Grocery stores,
