SwProjectID,ProjectCategory,CouncilDistrict,ProjectStreet,FromStreet,ToStreet,SideOfStreet,EstTotalCost,FiscalYear,ScheduleStart,ScheduleFinish,ActualStart,ActualFinish,PercentComplete,ProjectType,ProjectManager,Contact,ProjectLength,SidewalkInstalledFeet,ProjectStatus,ProjectLimits,Shape_Length
519,IMP,5,S Rosillo,Saunders,W Cesar Chavez Blvd,Both Sides,55972.08,2024,2023-11-06,2023-11-29,2023-12-04,2023-12-08,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,687.28,687.28,Completed,S Rosillo - Both Sides ( Saunders To W Cesar Chavez Blvd ) ,668.6850880996697
762,IMP,9,Stone Oak Pkwy,Oak Centre Dr,E Sonterra Blvd,West Side,124540.79,2024,2024-07-08,2024-08-09,Not Available,Not Available,0.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,1146.89,1146.89,Planning,Stone Oak Pkwy - West Side ( Oak Centre Dr To E Sonterra Blvd ) ,1146.894716259536
890,SW Repair,1,W Elsmere Place,Grant Ave,Michigan Ave,North Side,56453.76,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,588.06,588.06,Planning,W Elsmere Place - North Side ( Grant Ave To Michigan Ave ) ,588.056132264677
1066,IMP,6,Castleridge Dr,Crestfield,Pinn Rd,Both Sides,144838.6,2024,2024-09-10,2024-12-12,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1778.47,1778.47,Planning,Castleridge Dr - Both Sides ( Crestfield To Pinn Rd ) ,1778.472885690844
1077,IMP,6,Culebra Rd,Tom Slick Ave,Alamo Downs Pkwy,North Side,69414.57,2024,2024-08-05,2024-08-30,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,852.34,852.34,Planning,Culebra Rd - North Side ( Tom Slick Ave To Alamo Downs Pkwy ) ,800.5971628166076
1121,IMP,5,S Sabinas,Buena Vista St,W Cesar Chavez Blvd,Both Sides,92853.4,2024,2023-11-06,2024-01-12,2023-11-28,2023-12-31,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,995.0,995.0,Completed,S Sabinas - Both Sides ( Buena Vista St To W Cesar Chavez Blvd ) ,996.47007971338
1148,IMP,5,N Smith St,W Martin St,W Travis St,Both Sides,99307.41,2024,2024-08-05,2024-08-16,Not Available,Not Available,0.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1064.16,1064.16,Planning,N Smith St - Both Sides ( W Martin St To W Travis St ) ,1040.8210841266057
1165,IMP,10,Everest Ave,Lorenz Rd,W Terra Alta,East Side,107480.21,2024,2024-02-19,2024-05-24,2024-02-19,2024-04-06,100.0,Sidewalks,Kevin Guerrero,Erick Wildestorm: 210-461-1540,989.78,989.78,Completed,Everest Ave - East Side ( Lorenz Rd To W Terra Alta ) ,960.0370140662604
1434,SW Repair,10,Parmenter Dr,Coleridge,Chesterton,Both Sides,169598.4,2024,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1766.65,1766.65,Planning,Parmenter Dr - Both Sides ( Coleridge To Chesterton ) ,1766.6505395637598
1450,IMP,3,E Petaluma Blvd,Barranca Ave,Bascum Blvd,North Side,230232.57,2024,2024-02-01,2024-04-30,2024-02-01,2024-04-11,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,2467.13,2467.13,Punchlists,E Petaluma Blvd - North Side ( Barranca Ave To Bascum Blvd ) ,2467.125132202251
1452,IMP,3,Kopplow,Barranca Ave,Bascum Blvd,North Side,218293.21,2024,2024-01-15,2024-04-15,2023-12-14,2024-03-08,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,2339.19,2339.19,Complete,Kopplow - North Side ( Barranca Ave To Bascum Blvd ) ,2339.1938367726607
1461,IMP,1,Cherry Ridge Dr,Deneice,Greenridge Dr,South Side,221302.08,2024,2024-04-22,2024-06-30,Not Available,Not Available,2.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2037.96,2037.96,Precon,Cherry Ridge Dr - South Side ( Deneice To Greenridge Dr ) ,2038.0507281631667
