ProjectCategory,SMPProjectID,CouncilDistrict,ProjectStreet,StreetFrom,StreetTo,ProjectLimits,FiscalYear,Application,Type_,Force,WeightedPCI,PBaseFail,FieldBasePave,PFlatWork,EstTotalCost,ProjectStatus,ScheduleStart,ScheduleFinish,ActualStart,ActualFinish,ProjectManager,Contact,Shape_Length
Preservation,15092,9,Enfield Park,Enfield Park,Jones Maltsberger Rd,Enfield Park From Enfield Park To Jones Maltsberger Rd,2016,Fog Seal - City,Sealant,City,77.0,0.0,0.0,0.0,4455.397033857999,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1592.601695351331
Preservation,15100,10,Preston Pass Dr,Preston Court Dr,Preston Hall Dr,Preston Pass Dr From Preston Court Dr To Preston Hall Dr,2016,Fog Seal - City,Sealant,City,88.0,0.0,0.0,0.0,22490.47052694445,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1956.4948770615808
Preservation,15101,8,Sandpiper Park Dr,Cedar Park,Redlands Park Dr,Sandpiper Park Dr From Cedar Park To Redlands Park Dr,2014,Fog Seal - City,Sealant,City,81.0,0.0,0.0,0.0,16045.1214963426,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1471.5257188175538
Preservation,15109,8,La Cantera Pkwy,Entrance to Shops at La Cantera,Cantera Vista,La Cantera Pkwy From Entrance to Shops at La Cantera To Cantera Vista,2015,Crack Seal - City,Sealant,City,80.0,0.0,0.0,0.0,9529.172537044968,APCode,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2848.00149942307
Preservation,15110,8,La Cantera Pkwy,N Loop 1604 W Access Rd,Entrance to Shops at La Cantera,La Cantera Pkwy From N Loop 1604 W Access Rd To Entrance to Shops at La Cantera,2015,Crack Seal - City,Sealant,City,77.0,0.0,0.0,0.0,4929.097302308618,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3655.187875564131
Preservation,15120,8,Cougar Pass Dr,Indian Meadows Dr,Daylight Rdg,Cougar Pass Dr From Indian Meadows Dr To Daylight Rdg,2014,Fog Seal - City,Sealant,City,82.0,0.0,0.0,0.0,9169.833243785,APCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,928.425137156628
Preservation,15188,2,Versailles Dr,Picardie Dr,Marseilles,Versailles Dr From Picardie Dr To Marseilles,2017,Fog Seal - City,Sealant,City,73.0,0.0,0.0,0.0,5630.35,Defer2014,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1165.318016336783
Preservation,15196,2,Brenhaven,Pecan Valley Dr,Dead End,Brenhaven From Pecan Valley Dr To Dead End,2014,Crack Seal - City,Sealant,City,89.0,0.0,0.0,0.0,755.63,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,638.0049344094534
Preservation,15245,6,Copperfield,Reed Rd,Rousseau,Copperfield From Reed Rd To Rousseau,2016,Fog Seal - City,Sealant,City,74.0,0.0,0.0,0.0,13695.078543527185,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3182.7008783107262
Preservation,15271,6,Lauren Mist,Alexa Place,Cul-De-Sac,Lauren Mist From Alexa Place To Cul-De-Sac,2016,Crack Seal - City,Sealant,City,90.0,0.0,0.0,0.0,2980.800403709062,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2801.781358914357
Preservation,15278,6,Field Wood,Reed Rd & Meadow Swan,Herder Circle Dr,Field Wood From Reed Rd & Meadow Swan To Herder Circle Dr,2015,Crack Seal - City,Sealant,City,85.0,0.0,0.0,0.0,2712.0809009984814,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1937.204570312545
Preservation,15280,6,Astin Place,Claudia Cir,Cul-De-Sac,Astin Place From Claudia Cir To Cul-De-Sac,2017,Crack Seal - City,Sealant,City,83.0,0.0,0.0,0.0,377.91,ApCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,712.1041624920236
Preservation,15607,6,Oak Timber,Rim Rock Trl,Woodline,Oak Timber From Rim Rock Trl To Woodline,2016,Slurry Seal - City,Sealant,City,71.0,15.0,0.0,0.0,18896.06317618545,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,3091.7763621908466
Preservation,15843,8,Camino Bandera,Bandera Rd,Tranquil Park Dr,Camino Bandera From Bandera Rd To Tranquil Park Dr,2015,Crack Seal - City,Sealant,City,70.0,0.0,0.0,0.0,1497.558127156131,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1708.763286078535
Preservation,16097,4,Fishers Bend,Old Sky Harbor,Port Call Dr,Fishers Bend From Old Sky Harbor To Port Call,2017,Fog Seal - City,Sealant,City,63.0,0.0,0.0,0.0,2830.0911634039694,Base Budget,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1720.7794918054876
Preservation,16106,4,Lytle Ave,Gillette Blvd,W Villaret Blvd & Jennifer Dr,Lytle Ave From Gillette Blvd To W Villaret Blvd & Jennifer Dr,2014,Crack Seal - City,Sealant,City,99.0,0.0,0.0,0.0,2355.1173900601616,2018New,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,2681.868176356104
Preservation,16347,5,Whitman Ave,Somerset Rd,Dead End,Whitman Ave From Somerset Rd To Dead End,2015,Slurry Seal - City,Sealant,City,56.0,0.0,0.0,0.0,29345.012139035276,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1856.8305099991617
Preservation,16514,9,Arrow Rdg,Lost Arrow,Lost Arrow,Arrow Rdg From Lost Arrow To Lost Arrow,2014,Slurry Seal - City,Sealant,City,77.0,0.0,0.0,0.0,24202.38646232231,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,4886.267120290036
Preservation,17212,5,McAskill,W Mitchell St,McKay,McAskill From W Mitchell St To McKay,2015,Fog Seal - City,Sealant,City,76.0,0.0,0.0,0.0,1281.0933364648658,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,172.9463210821365
Preservation,17251,1,N St Mary's,E Ashby Place & Terry Ct,W Josephine,N St Mary's From E Ashby Place & Terry Ct To W Josephine,2014,Crack Seal - City,Sealant,City,83.0,0.0,0.0,0.0,1413.2249890404369,No Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,738.5131052857964
Preservation,17387,10,Darmstad,Shingle Oak,Dead End,Darmstad From Shingle Oak To Dead End,2016,Slurry Seal - City,Sealant,City,82.0,0.0,0.0,0.0,4078.643588002114,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,465.2821621590394
Preservation,17389,9,Mt Serolod,Blanco Rd,Mt Boracho,Mt Serolod From Blanco Rd To Mt Boracho,2014,Fog Seal - City,Sealant,City,84.0,0.0,0.0,0.0,17800.06298313509,0,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1397.741600548334
Preservation,17392,10,Ashington ,Bridgeview,Dead End,Ashington  From Bridgeview To Dead End,2015,Fog Seal - City,Sealant,City,75.0,0.0,0.0,0.0,0.0,APCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,357.6158592923399
Preservation,17407,9,Chittim Meadow Dr,Chittim Hollow Dr,Chittim Trail Dr,Chittim Meadow Dr From Chittim Hollow Dr To Chittim Trail Dr,2014,Fog Seal - City,Sealant,City,83.0,0.0,0.0,0.0,10440.06,APCode Change,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,877.4345299610854
Preservation,17444,10,Drexel Run,Arcadia Park,Argyle Way,Drexel Run From Arcadia Park To Argyle Way,2014,Fog Seal - City,Sealant,City,97.0,0.0,0.0,0.0,10119.02370374614,Change AP from 9 to 25,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1064.0118710624529
