stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
25316,25316,BLANCO & DRESDEN,,29.499014,-98.507783
72479,72479,FRESNO & IH-10 W ACCESS RD.,,29.474488,-98.516238
56239,56239,Five Points Transfer Area - Northbound,,29.441883,-98.503773
76759,76759,MARTIN & N. FRIO,,29.430081,-98.503058
72487,72487,Nacogdoches & Cheevers (Loop 410),,29.517577,-98.450649
79977,79977,ST. MARY'S & PECAN,,29.428658,-98.491352
76647,76647,FRIO & MARTIN,,29.430631,-98.503501
41556,41556,NEER & BASSE,Neer Ave & Venice St,29.488447,-98.520718
25317,25317,BLANCO & DRESDEN,,29.499095,-98.507835
72857,72857,BLANCO & WURZBACH PKWY,,29.559864,-98.51809
55229,55229,San Antonio International Airport,,29.52787,-98.4735
78539,78539,RECTOR OPPOSITE AHERN - N.STAR MALL,AHERN DR & W RECTOR DR,29.516916,-98.495928
45517,45517,BLANCO & BASSE,,29.488728,-98.507862
35973,35973,DENVER & S. HACKBERRY,,29.404863,-98.473301
63973,63973,STEVES & CLARK,Steves Ave & Clark Ave,29.390668,-98.44839
26687,26687,DOLLARHIDE & PECAN VALLEY,,29.36727,-98.438429
51536,51536,PICKWELL AT TEX. DEPT. OF HUMAN SER,Pickwell Dr & Dumbarton Dr,29.35469,-98.425305
26686,26686,DOLLARHIDE & PECAN VALLEY,,29.367306,-98.438367
63979,63979,STEVES & CLARK,Steves Ave & Clark Ave,29.390722,-98.448493
35979,35979,DENVER & S HACKBERRY,Denver Blvd & Aransas Ave,29.404918,-98.473285
95226,95226,Blanco btwn Lullwood & Hildebrand,,29.466353,-98.507812
77557,77557,SAN PEDRO & RECTOR,,29.51669,-98.499311
47647,47647,SAN PEDRO & MYRTLE,,29.445079,-98.499353
84439,84439,W. COMMERCE & COLORADO,,29.426695,-98.51098
71639,71639,W. COMMERCE & GEN. MCMULLEN,,29.430698,-98.553208
99899,99899,Historic Old Highway 90 & Acme,,29.420408,-98.587713
88483,88483,BUENA VISTA & S.ZARZAMORA,,29.427049,-98.527157
84636,84636,COLORADO & BUENA VISTA,,29.425603,-98.511135
77556,77556,SAN PEDRO & RECTOR,,29.516744,-98.499208
91766,91766,SAN PEDRO & E. NAKOMA,N Us-281 & E Nakoma St,29.549483,-98.487556
95783,95783,E. COMMERCE & S. HACKBERRY,,29.42051,-98.473362
89953,89953,E. HOUSTON & ESTATE,,29.42399,-98.394821
99327,99327,LYNHAVEN & MELVIN,,29.421898,-98.396059
95547,95547,ROYAL VIEW & WAY VIEW,,29.420763,-98.377525
95789,95789,E. COMMERCE & S. HACKBERRY,,29.42051,-98.473249
47746,47746,SAN PEDRO & LA MANDA,,29.48714,-98.499146
19257,19257,MCCULLOUGH & OBLATE,,29.503934,-98.491748
99457,99457,MCCULLOUGH & ROSEWOOD,,29.46521,-98.491823
