"Label (Grouping)","ZCTA5 78207!!Estimate","ZCTA5 78207!!Margin of Error","ZCTA5 78207!!Percent","ZCTA5 78207!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","41,256","±2,255","41,256","(X)"
"        In labor force","21,256","±1,723","51.5%","±2.4"
"            Civilian labor force","21,206","±1,725","51.4%","±2.4"
"                Employed","18,341","±1,616","44.5%","±2.5"
"                Unemployed","2,865","±575","6.9%","±1.3"
"            Armed Forces","50","±39","0.1%","±0.1"
"        Not in labor force","20,000","±1,263","48.5%","±2.4"
"    Civilian labor force","21,206","±1,725","21,206","(X)"
"        Unemployment Rate","(X)","(X)","13.5%","±2.6"
"    Females 16 years and over","18,685","±1,270","18,685","(X)"
"        In labor force","9,232","±952","49.4%","±3.0"
"            Civilian labor force","9,232","±952","49.4%","±3.0"
"                Employed","8,137","±907","43.5%","±3.1"
"    Own children of the householder under 6 years","4,692","±769","4,692","(X)"
"        All parents in family in labor force","2,452","±632","52.3%","±8.5"
"    Own children of the householder 6 to 17 years","9,371","±1,186","9,371","(X)"
"        All parents in family in labor force","5,578","±805","59.5%","±5.5"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","17,677","±1,536","17,677","(X)"
"        Car, truck, or van -- drove alone","10,991","±1,132","62.2%","±4.2"
"        Car, truck, or van -- carpooled","3,386","±592","19.2%","±2.7"
"        Public transportation","1,596","±584","9.0%","±3.1"
"        Walked","648","±246","3.7%","±1.3"
"        Other means","391","±144","2.2%","±0.8"
"        Worked from home","665","±189","3.8%","±1.1"
"        Mean travel time to work (minutes)","26.0","±1.5","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","18,341","±1,616","18,341","(X)"
"        Management, business, science, and arts occupations","2,773","±552","15.1%","±2.7"
"        Service occupations","5,676","±750","30.9%","±3.2"
"        Sales and office occupations","3,153","±549","17.2%","±2.4"
"        Natural resources, construction, and maintenance occupations","3,423","±506","18.7%","±2.6"
"        Production, transportation, and material moving occupations","3,316","±658","18.1%","±3.0"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","18,341","±1,616","18,341","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","24","±23","0.1%","±0.1"
"        Construction","2,936","±463","16.0%","±2.5"
"        Manufacturing","1,156","±324","6.3%","±1.6"
"        Wholesale trade","497","±179","2.7%","±0.9"
"        Retail trade","1,829","±492","10.0%","±2.4"
"        Transportation and warehousing, and utilities","1,011","±247","5.5%","±1.2"
"        Information","158","±114","0.9%","±0.6"
"        Finance and insurance, and real estate and rental and leasing","926","±252","5.0%","±1.4"
"        Professional, scientific, and management, and administrative and waste management services","1,840","±373","10.0%","±1.9"
"        Educational services, and health care and social assistance","3,354","±523","18.3%","±2.5"
"        Arts, entertainment, and recreation, and accommodation and food services","3,044","±768","16.6%","±3.6"
"        Other services, except public administration","999","±268","5.4%","±1.4"
"        Public administration","567","±254","3.1%","±1.4"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","18,341","±1,616","18,341","(X)"
"        Private wage and salary workers","15,104","±1,402","82.4%","±2.9"
"        Government workers","1,888","±473","10.3%","±2.4"
"        Self-employed in own not incorporated business workers","1,331","±384","7.3%","±1.9"
"        Unpaid family workers","18","±20","0.1%","±0.1"
"INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","16,574","±698","16,574","(X)"
"        Less than $10,000","1,796","±344","10.8%","±2.1"
"        $10,000 to $14,999","2,012","±414","12.1%","±2.4"
"        $15,000 to $24,999","2,950","±409","17.8%","±2.4"
"        $25,000 to $34,999","2,221","±423","13.4%","±2.4"
"        $35,000 to $49,999","2,349","±382","14.2%","±2.3"
"        $50,000 to $74,999","2,328","±288","14.0%","±1.8"
"        $75,000 to $99,999","1,511","±331","9.1%","±1.9"
"        $100,000 to $149,999","1,123","±241","6.8%","±1.4"
"        $150,000 to $199,999","119","±60","0.7%","±0.4"
"        $200,000 or more","165","±93","1.0%","±0.6"
"        Median household income (dollars)","32,472","±2,194","(X)","(X)"
"        Mean household income (dollars)","45,608","±3,430","(X)","(X)"
"        With earnings","12,214","±722","73.7%","±3.1"
"            Mean earnings (dollars)","47,762","±3,789","(X)","(X)"
"        With Social Security","5,201","±437","31.4%","±2.6"
"            Mean Social Security income (dollars)","15,164","±952","(X)","(X)"
"        With retirement income","1,998","±305","12.1%","±1.9"
"            Mean retirement income (dollars)","18,180","±3,883","(X)","(X)"
"        With Supplemental Security Income","2,325","±377","14.0%","±2.2"
"            Mean Supplemental Security Income (dollars)","10,431","±1,059","(X)","(X)"
"        With cash public assistance income","427","±129","2.6%","±0.8"
"            Mean cash public assistance income (dollars)","2,224","±626","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","7,485","±644","45.2%","±3.2"
"    Families","10,448","±749","10,448","(X)"
"        Less than $10,000","1,190","±289","11.4%","±2.6"
"        $10,000 to $14,999","821","±251","7.9%","±2.5"
"        $15,000 to $24,999","1,569","±284","15.0%","±2.7"
"        $25,000 to $34,999","1,450","±335","13.9%","±2.9"
"        $35,000 to $49,999","1,625","±343","15.6%","±3.0"
"        $50,000 to $74,999","1,634","±251","15.6%","±2.2"
"        $75,000 to $99,999","1,191","±324","11.4%","±2.9"
