metric,value
Population,55474
Median_Age,32.8
Hispanic or Latino,"~48,817"
White (non Hispanic),20063
Black or African American,2113
American Indian,768
Asian,302
Two or More Races / Other,13330
Foreign Born (total),10628
Not a U.S. Citizen,7934
Male,26660
Median age,33.3
Female,25045
Median age,34.6
Total Households,"16,574 2.9 persons/HH avg"
Average Family Size,4.09 vs 3.28 national
Moved in prior year,13013
Veterans,1516
Median_Household_Income,32472
Per_Capita_Income,15875
Poverty_Rate,42.2
Unemployment_Rate,13.5
Employment Rate,18341
Total Businesses,631
Est. Total Employees,14917
Annual Payroll (est.),$686M
Median Male Income,36925
Median Female Income,32443
Median Family Income,36394
Median NonFamily Income,22263
Uninsured_Rate,25.48
Public_Coverage,52
Private_Coverage,28.4
SAPD family violence calls (citywide),"71,000+ calls"
SAPD family violence incident reports filed,"20,000+"
SAPD mental health 911 calls (citywide),28800
SA CORE answers ~14% of MH 911 calls,"~4,480â€“4,700/yr"
Bexar County suicide rate_ male,"19.4 per 100,000"
Bexar County suicide rate â€” female,"4.9 per 100,000"
Texas statewide suicide rate,"13.4 per 100,000"
Bexar Co. IPV murder rate (women),"2.8 per 100,000"
Texas statewide IPV murder rate (women),"1.6 per 100,000"
Bexar County DV homicides,32  / 33
Renter_Occupied,57.1
Median_Home_Value,106700
Median_Rent,857
Vacancy_Rate,10.91
Total Housing Units,18637
Total Households,15979
Median Home Value (ACS 2024),106700
Median Home Value (ACS 2023),93200
Median Gross Rent,$857/month
Typical 2BR Rent Range,$750 to $999/month incl. utilities
Persons Per Household,2.9
Public Schools with Address in 78207,21
Walk_Score,81
Distressed_Index,98
Life_Expectancy,72
Life Expectancy Gap,20 years
