Product/Consumer Behavior,"Expected Number of
Adults/HHs",Percent,MPI(Market Potential Index)
Typically Spend 1-3 Hrs Exercising/Wk,9835,0.261,103
Typically Spend 4-6 Hrs Exercising/Wk,7700,0.204,92
Typically Spend 7+ Hrs Exercising/Wk,7006,0.186,80
Exercise at Home 2+ Times/Wk,15663,0.416,91
Exercise at Club 2+ Times/Wk,3452,0.092,69
Exercise at Oth Facility (Not Club) 2+ Times/Wk,2799,0.074,76
Member of LA Fitness Club/Gym,645,0.017,101
Member of Planet Fitness Club/Gym,2109,0.056,110
Member of YMCA Fitness Club/Gym,578,0.015,56
Own Elliptical,1523,0.04,67
Own Stationary Bicycle,3266,0.087,72
Own Treadmill,3409,0.091,71
Own Weight Lifting Equipment,4774,0.127,63
Own Blood Glucose Monitor,5390,0.143,121
Own BMI/Body-Fat Monitor,502,0.013,87
Own Electronic Ear Thermometer,1886,0.05,86
Own Finger Pulse Oximeter,4673,0.124,84
Own Forehead Thermometer,4953,0.132,74
Own Hand-Held Massagers,2032,0.054,50
Own Hearing Aids,1028,0.027,65
Own Heart Rate Monitor,2326,0.062,94
Own Home Blood Pressure Monitor,8460,0.225,75
Own Oral Irrigation Device,662,0.018,36
Own Pedometer,1188,0.032,58
Own Wheelchair,547,0.014,77
Control Diet for Blood Sugar Level,7676,0.204,151
Control Diet for Cholesterol Level,7248,0.193,138
Control Diet for Food Allergies,859,0.023,93
Control Diet to Maintain Weight,3548,0.094,83
Control Diet for Physical Fitness,5461,0.145,95
Control Diet for Salt Restriction,2111,0.056,131
Control Diet for Weight Loss,7294,0.194,93
Use Doctor`s Care/Diet for Diet Method,2410,0.064,129
Use Exercise Program for Diet Method,3436,0.091,88
Buy Foods Specifically Labeled: Fat-Free,4410,0.117,128
Buy Foods Specifically Labeled: Gluten-Free,2291,0.061,101
Buy Foods Specifically Labeled: High Fiber,2928,0.078,97
Buy Foods Specifically Labeled: High Protein,3292,0.087,78
Buy Foods Specifically Labeled: Hormone-Free,1027,0.027,91
Buy Foods Specifically Labeled: Lactose-Free,2963,0.079,131
Buy Foods Specifically Labeled: Low-Calorie,3350,0.089,123
Buy Foods Specifically Labeled: Low-Carb,3562,0.095,96
Buy Foods Specifically Labeled: Low-Cholesterol,3609,0.096,174
Buy Foods Specifically Labeled: Low-Fat,4939,0.131,153
Buy Foods Specifically Labeled: Low-Sodium,5990,0.159,127
Buy Foods Specifically Labeled: Natural/Organic,6032,0.16,98
Buy Foods Specifically Labeled: Probiotic,2834,0.075,137
Buy Foods Specifically Labeled: Sugar-Free,6517,0.173,126
Consider Self to Be Vegan,259,0.007,83
Consider Self to Be Vegetarian,463,0.012,74
Consider Self to Be Semi-Vegetarian,3665,0.097,118
Used Meal/Dietary/Weight Loss Supplement/6 Mo,4862,0.129,124
Used Vitamins or Dietary Supplements/6 Mo,24036,0.638,98
Provide Services as Primary Caregiver/Caretaker,2888,0.077,118
Assist w/Chores as Caregiver/Caretaker,1646,0.044,103
Assist w/Personal Care as Caregiver/Caretaker,1791,0.048,143
Cook/Prepare Food as Caregiver/Caretaker,2148,0.057,132
Make Doctor Appointments as Caregiver/Caretaker,1965,0.052,139
Attend Doc Appointments as Caregiver/Caretaker,2120,0.056,126
Shop/Pick Up Meds as Caregiver/Caretaker,1625,0.043,97
Give Medication as Caregiver/Caretaker,1132,0.03,108
Provide Transportation as Caregiver/Caretaker,1719,0.046,103
Visited Doctor/12 Mo,26370,0.7,88
Visited Doctor 1-2 Times/12 Mo,7908,0.21,104
Visited Doctor 3-5 Times/12 Mo,7147,0.19,85
Visited Doctor 6+ Times/12 Mo,11312,0.3,81
Visited Acupuncturist Doctor/12 Mo,364,0.01,53
Visited Allergist Doctor/12 Mo,764,0.02,89
Visited Cardiologist Doctor/12 Mo,3557,0.094,92
Visited Chiropractor/12 Mo,2084,0.055,67
Visited Dentist/12 Mo,12414,0.33,76
Visited Dermatologist Doctor/12 Mo,2782,0.074,59
Visited Ear or Nose or Throat Doctor/12 Mo,1731,0.046,85
Visited Eye Doctor/12 Mo,6348,0.169,78
Visited Gastroenterologist Doctor/12 Mo,1875,0.05,79
Visited General or Family Doctor/12 Mo,13463,0.358,83
