2025 Consumer Spending,
Apparel & Services:  Total $,16675158
Average Spent,1030.03
Spending Potential Index,42
Education:  Total $,8824067
Average Spent,545.07
Average Spent,1576.95
Spending Potential Index,38
Food at Home:  Total $,52397427
Average Spent,3236.61
Spending Potential Index,43
Food Away from Home:  Total $,30140513
Average Spent,1861.79
Spending Potential Index,45
Health Care:  Total $,52709516
Average Spent,3255.88
Spending Potential Index,42
HH Furnishings & Equipment:  Total $,19064992
Average Spent,1177.65
Spending Potential Index,40
Personal Care Products & Services: Total $,7305402
Shelter:  Total $,173714507
Average Spent,10730.4
Spending Potential Index,40
Support Payments/Cash Contributions/Gifts in Kind: Total $,24189999
Average Spent,1494.22
Spending Potential Index,45
Travel:  Total $,19026561
Average Spent,1175.28
Spending Potential Index,33
Vehicle Maintenance & Repairs: Total $,9729125
Average Spent,600.97
Spending Potential Index,45
