2025 Households by Income,
Household Income Base,16189
"<$15,000",0.237
"$15,000 - $24,999",0.152
"$25,000 - $34,999",0.127
"$35,000 - $49,999",0.155
"$50,000 - $74,999",0.134
"$75,000 - $99,999",0.1
"$100,000 - $149,999",0.075
"$150,000 - $199,999",0.011
2030 Households by Income,
Household Income Base,16188
"<$15,000",0.22
"$15,000 - $24,999",0.137
"$25,000 - $34,999",0.121
"$35,000 - $49,999",0.151
"$50,000 - $74,999",0.141
"$75,000 - $99,999",0.112
"$100,000 - $149,999",0.089
"$150,000 - $199,999",0.014
"$200,000+",0.014
Average Household Income,50068
"<$50,000",0.166
"$50,000 - $99,999",0.317
"$200,000 - $249,999",0.041
"$250,000 - $299,999",0.026
"$300,000 - $399,999",0.021
"$400,000 - $499,999",0.032
"$500,000 - $749,999",0.02
"$750,000 - $999,999",0.014
"$1,000,000 - $1,499,999",0.007
"$1,500,000 - $1,999,999",0.004
"$2,000,000 +",0.026
Average Home Value,211193
"<$50,000",0.148
"$50,000 - $99,999",0.204
"$100,000 - $149,999",0.155
"$150,000 - $199,999",0.159
"$200,000 - $249,999",0.061
"$250,000 - $299,999",0.041
"$300,000 - $399,999",0.046
"$400,000 - $499,999",0.059
"$500,000 - $749,999",0.043
"$1,000,000 - $1,499,999",0.013
"$1,500,000 - $1,999,999",0.009
"$2,000,000 +",0.035
Average Home Value,293224
