2025 Employed Population 16+ by Industry,,
Total,16998,
Agriculture/Mining,0.004,
Construction,0.172,
Manufacturing,0.07,
Wholesale Trade,0.031,
Retail Trade,0.089,
Transportation/Utilities,0.04,
Information,0.007,
Finance/Insurance/Real Estate,0.044,
2025 Employed Population 16+ by Occupation,,
Total,16998,
White Collar,0.329,
Management/Business/Financial,0.069,
Professional,0.09,
Sales,0.083,
Administrative Support,0.088,
Services,0.295,
Blue Collar,0.376,
Farming/Forestry/Fishing,0.009,
Construction/Extraction,0.157,
Installation/Maintenance/Repair,0.045,
Production,0.066,
Transportation/Material Moving,0.099,
2020 Households by Type,,
With Own Children <18,0.114,
Without Own Children <18,0.183,
Cohabitating Couple Households,0.079,
With Own Children <18,0.035,
Without Own Children <18,0.044,
"Male Householder, No Spouse/Partner",0.235,
Living Alone,0.143,
65 Years and over,0.047,
With Own Children <18,0.02,
"Without Own Children <18, With Relatives",0.056,
No Relatives Present,0.016,
"Female Householder, No Spouse/Partner",0.389,
Living Alone,0.125,
65 Years and over,0.068,
With Own Children <18,0.126,
"Without Own Children <18, With Relatives",0.127,
No Relatives Present,0.01,
Total,16105,
1 Person Household,0.268,
3 Person Household,0.172,
4 Person Household,0.127,
5 Person Household,0.09,
6 Person Household,0.047,
7 + Person Household,0.039,
2020 Households by Tenure and Mortgage Status,,
Total,,16105
Owner Occupied,,0.446
Owned with a Mortgage/Loan,,0.164
Owned Free and Clear,,0.283
Renter Occupied,,0.554
"2025 Affordability, Mortgage and Wealth",,
Housing Affordability Index,,103
Percent of Income for Mortgage,,0.193
Wealth Index,,27
2020 Housing Units By Urban/ Rural Status,,
Total,,18032
Urban Housing Units,,1
Rural Housing Units,,0
2020 Population By Urban/ Rural Status,,
Total,,52018
Urban Population,,1
Rural Population,,0
