Population Summary,
2010 Total Population,55741
2020 Total Population,52018
2020 Group Quarters,4957
2025 Total Population,50135
2025 Group Quarters,5260
2030 Total Population,48803
2025-2030 Annual Rate,-0.0054
2025 Total Daytime Population,67440
Workers,37184
2010 Households,16000
2010 Average Household Size,3.12
2020 Total Households,16105
2020 Average Household Size,2.92
2025 Households,16189
2025 Average Household Size,2.77
2030 Households,16188
2030 Average Household Size,2.69
2025-2030 Annual Rate,0
2010 Families,11288
2010 Average Family Size,3.76
2025 Families,10425
2025 Average Family Size,3.56
2030 Families,10181
2030 Average Family Size,3.5
2000 Housing Units,16736
Owner Occupied Housing Units,0.49
Renter Occupied Housing Units,0.438
Vacant Housing Units,0.071
2010 Housing Units,17751
Owner Occupied Housing Units,0.428
Renter Occupied Housing Units,0.473
Vacant Housing Units,0.099
2020 Housing Units,18032
Owner Occupied Housing Units,0.399
Renter Occupied Housing Units,0.495
Vacant Housing Units,0.107
2025 Housing Units,18076
Owner Occupied Housing Units,0.408
Renter Occupied Housing Units,0.487
Vacant Housing Units,0.104
2030 Housing Units,18441
Owner Occupied Housing Units,0.41
Renter Occupied Housing Units,0.468
Vacant Housing Units,0.122
