,Spending Potential  Index,Average Amount Spent,Total
Health Insurance,44,2171.85,35160013
Blue Cross/Blue Shield,45,602.15,9748199
Fee for Service Health Plan,44,424.68,6875186
HMO,37,267.97,4338120
Medicare Payments,48,548.7,8882901
Long Term Care Insurance,30,19.72,319167
Dental Care Insurance,38,65.97,1067960
Vision Care Insurance,45,19.81,320673
Prescription Drug Insurance,61,4.89,79120
Other Single Service Insurance (3),52,8.22,133019
Medicaid Premiums,48,5.24,84901
Tricare/Military Premiums,65,7.18,116210
Children's Health Ins Program Premiums,20,0.19,3092
Medical Care,39,1084.04,17549503
Physician Services,40,124.02,2007793
Dental Services,35,189.79,3072473
Eyecare Services,41,38.78,627888
"Lab Tests, X-rays",41,35.95,581937
Hospital Room and Hospital Services,46,125.72,2035203
Convalescent or Nursing Home Care,22,11.93,193101
Other Medical Services (1),37,80.04,1295723
Nonprescription Drugs,43,86.39,1398535
Prescription Drugs,39,165.85,2684874
Vitamins and Supplements,38,59.19,958193
Medicare Prescription Drug Premium,51,70.33,1138634
Eyeglasses and Contact Lenses,35,46.83,758193
Hearing Aids,25,8.76,141737
Medical Equipment for General Use,35,4.34,70184
Other Medical Supplies/Equipment (2),37,36.14,585035
Health Care,42,3255.88,52709516
