age,total,white,black,aian_1,asian,nhopi_2,other_race,two_or,hispanic
,,alone,alone,alone,alone,alone,alone,more races,any race
Total population,55514,39285,2162,765,135,31,11571,1565,50435
Age 0,987,668,28,12,2,0,250,27,933
Age 1,1068,733,40,15,1,0,246,33,1013
Age 2,1117,732,40,26,1,1,279,38,1055
Age 3,1054,708,42,19,3,0,244,38,991
Age 4,1007,724,37,16,0,0,211,19,956
Age 5,935,647,34,11,3,0,217,23,885
Age 6,898,644,20,15,2,1,188,28,855
Age 7,909,616,25,15,2,1,219,31,863
Age 8,843,574,24,10,0,1,206,28,805
Age 9,873,608,25,10,1,0,197,32,833
Age 10,838,585,16,14,0,0,200,23,802
Age 11,779,537,17,11,1,2,183,28,752
Age 12,792,559,10,15,1,0,189,18,761
Age 13,801,556,14,13,2,1,187,28,773
Age 14,772,528,14,11,1,1,197,20,745
Age 15,786,510,18,17,2,1,214,24,754
Age 16,854,594,10,11,3,1,201,34,821
Age 17,853,615,20,8,2,0,189,19,809
Age 18,999,690,51,15,3,2,206,32,892
Age 19,1090,729,54,23,1,0,238,45,958
Age 20,1084,732,73,18,4,0,224,33,946
Age 21,1053,712,65,8,10,1,224,33,898
Age 22,992,691,72,7,3,0,196,23,855
Age 23,971,688,48,13,4,0,197,21,862
Age 24,966,662,51,15,1,1,216,20,856
Age 25,937,662,43,12,1,1,194,24,834
Age 26,918,632,51,11,5,1,191,27,789
Age 27,842,611,46,3,0,0,165,17,713
Age 28,840,608,43,12,5,0,152,20,744
Age 29,803,563,50,7,4,0,163,16,695
Age 30,837,569,51,9,2,1,192,13,742
Age 31,737,523,39,18,2,0,139,16,645
Age 32,703,499,39,8,3,0,132,22,615
Age 33,702,505,26,5,3,1,143,19,617
Age 34,755,532,39,7,5,2,155,15,657
Age 35,646,450,30,12,0,0,138,16,574
Age 36,647,485,21,7,0,0,115,19,575
Age 37,682,476,23,7,1,0,155,20,610
Age 38,637,428,37,8,1,0,137,26,563
Age 39,679,493,33,9,2,0,124,18,603
Age 40,656,459,31,8,4,0,140,14,573
Age 41,663,484,32,3,3,0,121,20,589
Age 42,624,406,30,13,3,0,151,21,550
Age 43,650,459,37,14,1,1,120,18,575
Age 44,681,477,32,11,2,1,147,11,606
Age 45,703,474,31,9,1,1,168,19,625
Age 46,642,437,20,15,1,1,150,18,585
Age 47,734,513,30,14,1,0,152,24,661
Age 48,719,495,43,9,3,0,148,21,625
Age 49,677,472,30,13,0,1,149,12,599
Age 50,751,518,43,8,1,0,172,9,668
Age 51,637,455,25,10,1,0,122,24,572
Age 52,604,437,23,6,1,0,121,16,535
Age 53,661,454,27,9,3,0,147,21,593
Age 54,620,415,21,12,2,0,151,19,561
Age 55,576,413,12,8,1,0,122,20,520
Age 56,543,378,21,12,2,0,114,16,489
Age 57,501,339,18,7,0,2,117,18,450
Age 58,507,376,19,8,0,0,93,11,456
Age 59,510,381,17,8,0,0,88,16,462
Age 60,517,376,19,8,1,1,98,14,476
Age 61,472,356,11,5,1,0,76,23,428
Age 62,414,316,8,5,3,0,68,14,377
Age 63,423,313,12,3,1,0,83,11,378
Age 64,393,304,9,5,3,0,65,7,360
Age 65,383,287,7,7,1,1,67,13,355
Age 66,314,223,5,5,0,0,69,12,299
Age 67,336,260,7,4,0,0,53,12,311
Age 68,292,212,8,1,0,1,59,11,269
Age 69,285,213,9,2,1,1,53,6,262
Age 70,275,211,5,1,1,0,47,10,265
Age 71,247,197,3,1,0,0,38,8,228
Age 72,262,205,4,1,0,0,43,9,246
Age 73,246,192,10,2,0,0,37,5,228
Age 74,242,197,2,3,0,0,35,5,233
Age 75,242,190,9,4,0,0,32,7,217
Age 76,229,185,5,1,1,0,33,4,208
Age 77,222,178,9,1,0,0,32,2,207
Age 78,271,225,3,1,0,0,31,11,256
Age 79,219,181,3,0,1,0,28,6,198
Age 80,245,194,4,6,0,0,38,3,228
Age 81,175,144,4,0,1,0,23,3,158
Age 82,195,162,2,4,1,0,21,5,181
Age 83,179,151,4,0,1,0,19,4,162
Age 84,171,143,6,4,0,0,10,8,153
Age 85,182,147,6,3,0,0,24,2,166
Age 86,151,132,3,2,0,0,14,0,134
Age 87,115,99,5,0,0,0,8,3,104
Age 88,104,87,4,1,1,0,10,1,89
Age 89,76,58,4,0,0,0,11,3,66
Age 90,73,59,2,2,0,0,8,2,67
Age 91,58,43,3,1,0,0,10,1,50
Age 92,26,18,2,0,0,0,5,1,22
Age 93,29,24,1,2,0,0,2,0,18
Age 94,25,18,1,0,0,0,6,0,21
Age 95,21,14,0,0,0,0,7,0,19
Age 96,15,14,0,0,0,0,0,1,15
Age 97,17,14,0,0,0,0,1,2,14
Age 98,7,6,1,0,0,0,0,0,5
Age 99,7,6,0,0,0,0,0,1,7
Age 100-104,11,8,1,0,0,0,1,1,9
Age 105-110,3,3,0,0,0,0,0,0,3
Age 110 up,0,0,0,0,0,0,0,0,0
