age,total,white,black,aian_1,asian,nhopi_2,other_race,two_or,hispanic
,,alone,alone,alone,alone,alone,alone,more races,any race
Total population,55514,39285,2162,765,135,31,11571,1565,50435
Age 0-4,3172,2133,108,53,4,1,775,98,3001
Age 5-9,4803,3339,158,76,10,2,1079,139,4550
Age 10-14,4125,2863,92,60,3,3,975,129,3953
Age 15-19,4066,2803,76,60,10,4,988,125,3902
Age 20-24,5218,3554,315,71,21,3,1088,166,4549
Age 25-29,4634,3255,239,54,11,3,963,109,4054
Age 30-34,3920,2762,222,54,16,1,778,87,3441
Age 35-39,3432,2448,139,38,9,3,706,89,3033
Age 40-44,3259,2270,163,41,13,0,673,99,2878
Age 45-49,3410,2360,150,63,6,4,737,90,3052
Age 50-54,3388,2377,164,46,6,1,712,82,2999
Age 55-59,2901,1999,99,48,8,2,651,94,2613
Age 60-64,2420,1805,74,34,5,1,423,78,2199
Age 65-69,1849,1387,40,24,5,1,337,55,1703
Age 70-74,1361,1038,29,6,2,2,240,44,1270
Age 75-79,1181,942,35,11,1,0,169,23,1093
Age 80-84,1105,906,16,11,3,0,141,28,1021
Age 85 up,1270,1044,43,15,2,0,136,30,1124
