metric_code,metric_label,category,estimate,margin_of_error
S0501_C01_001E,Estimate!!Total!!Total population,Total population,55474,3535
S0501_C01_002E,Estimate!!Total!!Total population!!SEX AND AGE!!Male,SEX AND AGE,53.7,1.9
S0501_C01_003E,Estimate!!Total!!Total population!!SEX AND AGE!!Female,SEX AND AGE,46.3,1.9
S0501_C01_004E,Estimate!!Total!!Total population!!SEX AND AGE!!Under 5 years,SEX AND AGE,8.0,1.1
S0501_C01_005E,Estimate!!Total!!Total population!!SEX AND AGE!!5 to 17 years,SEX AND AGE,20.1,1.6
S0501_C01_006E,Estimate!!Total!!Total population!!SEX AND AGE!!18 to 24 years,SEX AND AGE,9.6,1.1
S0501_C01_007E,Estimate!!Total!!Total population!!SEX AND AGE!!25 to 44 years,SEX AND AGE,28.8,1.3
S0501_C01_008E,Estimate!!Total!!Total population!!SEX AND AGE!!45 to 54 years,SEX AND AGE,10.9,1.4
S0501_C01_009E,Estimate!!Total!!Total population!!SEX AND AGE!!55 to 64 years,SEX AND AGE,11.4,1.4
S0501_C01_010E,Estimate!!Total!!Total population!!SEX AND AGE!!65 to 74 years,SEX AND AGE,6.3,0.9
S0501_C01_011E,Estimate!!Total!!Total population!!SEX AND AGE!!75 to 84 years,SEX AND AGE,3.3,0.5
S0501_C01_012E,Estimate!!Total!!Total population!!SEX AND AGE!!85 years and over,SEX AND AGE,1.6,0.7
S0501_C01_013E,Estimate!!Total!!Total population!!SEX AND AGE!!Median age (years),SEX AND AGE,32.8,1.1
S0501_C01_014E,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race,RACE AND HISPANIC OR LATINO ORIGIN,48.7,3.4
S0501_C01_015E,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White,RACE AND HISPANIC OR LATINO ORIGIN,28.1,2.5
S0501_C01_016E,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American,RACE AND HISPANIC OR LATINO ORIGIN,5.6,1.5
S0501_C01_017E,Estimate!!Total!!Total population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native,RACE AND HISPANIC OR LATINO ORIGIN,3.3,1.1
