category,metric_label,estimate,margin_of_error,percent,percent_moe
EMPLOYMENT STATUS,Population 16 years and over,41256.0,2255.0,41256.0,
EMPLOYMENT STATUS,In labor force,21256.0,1723.0,51.5,2.4
EMPLOYMENT STATUS,Civilian labor force,21206.0,1725.0,51.4,2.4
EMPLOYMENT STATUS,Employed,18341.0,1616.0,44.5,2.5
EMPLOYMENT STATUS,Unemployed,2865.0,575.0,6.9,1.3
EMPLOYMENT STATUS,Armed Forces,50.0,39.0,0.1,0.1
EMPLOYMENT STATUS,Not in labor force,20000.0,1263.0,48.5,2.4
EMPLOYMENT STATUS,Civilian labor force,21206.0,1725.0,21206.0,
EMPLOYMENT STATUS,Unemployment Rate,,,13.5,2.6
EMPLOYMENT STATUS,Females 16 years and over,18685.0,1270.0,18685.0,
EMPLOYMENT STATUS,In labor force,9232.0,952.0,49.4,3.0
EMPLOYMENT STATUS,Civilian labor force,9232.0,952.0,49.4,3.0
EMPLOYMENT STATUS,Employed,8137.0,907.0,43.5,3.1
EMPLOYMENT STATUS,Own children of the householder under 6 years,4692.0,769.0,4692.0,
EMPLOYMENT STATUS,All parents in family in labor force,2452.0,632.0,52.3,8.5
EMPLOYMENT STATUS,Own children of the householder 6 to 17 years,9371.0,1186.0,9371.0,
EMPLOYMENT STATUS,All parents in family in labor force,5578.0,805.0,59.5,5.5
COMMUTING TO WORK,Workers 16 years and over,17677.0,1536.0,17677.0,
COMMUTING TO WORK,"Car, truck, or van -- drove alone",10991.0,1132.0,62.2,4.2
COMMUTING TO WORK,"Car, truck, or van -- carpooled",3386.0,592.0,19.2,2.7
COMMUTING TO WORK,Public transportation,1596.0,584.0,9.0,3.1
COMMUTING TO WORK,Walked,648.0,246.0,3.7,1.3
COMMUTING TO WORK,Other means,391.0,144.0,2.2,0.8
COMMUTING TO WORK,Worked from home,665.0,189.0,3.8,1.1
COMMUTING TO WORK,Mean travel time to work (minutes),26.0,1.5,,
OCCUPATION,Civilian employed population 16 years and over,18341.0,1616.0,18341.0,
