category,metric_label,estimate
EMPLOYMENT STATUS,Population 16 years and over,41256.0
EMPLOYMENT STATUS,In labor force,21256.0
EMPLOYMENT STATUS,Civilian labor force,21206.0
EMPLOYMENT STATUS,Employed,18341.0
EMPLOYMENT STATUS,Unemployed,2865.0
EMPLOYMENT STATUS,Armed Forces,50.0
EMPLOYMENT STATUS,Not in labor force,20000.0
EMPLOYMENT STATUS,Civilian labor force,21206.0
EMPLOYMENT STATUS,Females 16 years and over,18685.0
EMPLOYMENT STATUS,In labor force,9232.0
EMPLOYMENT STATUS,Civilian labor force,9232.0
EMPLOYMENT STATUS,Employed,8137.0
EMPLOYMENT STATUS,Own children of the householder under 6 years,4692.0
EMPLOYMENT STATUS,All parents in family in labor force,2452.0
EMPLOYMENT STATUS,Own children of the householder 6 to 17 years,9371.0
EMPLOYMENT STATUS,All parents in family in labor force,5578.0
COMMUTING TO WORK,Workers 16 years and over,17677.0
COMMUTING TO WORK,"Car, truck, or van -- drove alone",10991.0
COMMUTING TO WORK,"Car, truck, or van -- carpooled",3386.0
COMMUTING TO WORK,Public transportation,1596.0
COMMUTING TO WORK,Walked,648.0
COMMUTING TO WORK,Other means,391.0
COMMUTING TO WORK,Worked from home,665.0
COMMUTING TO WORK,Mean travel time to work (minutes),26.0
OCCUPATION,Civilian employed population 16 years and over,18341.0
OCCUPATION,"Management, business, science, and arts occupations",2773.0
OCCUPATION,Service occupations,5676.0
OCCUPATION,Sales and office occupations,3153.0
OCCUPATION,"Natural resources, construction, and maintenance occupations",3423.0
OCCUPATION,"Production, transportation, and material moving occupations",3316.0
INDUSTRY,Civilian employed population 16 years and over,18341.0
INDUSTRY,"Agriculture, forestry, fishing and hunting, and mining",24.0
INDUSTRY,Construction,2936.0
INDUSTRY,Manufacturing,1156.0
INDUSTRY,Wholesale trade,497.0
INDUSTRY,Retail trade,1829.0
INDUSTRY,"Transportation and warehousing, and utilities",1011.0
INDUSTRY,Information,158.0
INDUSTRY,"Finance and insurance, and real estate and rental and leasing",926.0
INDUSTRY,"Professional, scientific, and management, and administrative and waste management services",1840.0
INDUSTRY,"Educational services, and health care and social assistance",3354.0
INDUSTRY,"Arts, entertainment, and recreation, and accommodation and food services",3044.0
INDUSTRY,"Other services, except public administration",999.0
INDUSTRY,Public administration,567.0
CLASS OF WORKER,Civilian employed population 16 years and over,18341.0
CLASS OF WORKER,Private wage and salary workers,15104.0
CLASS OF WORKER,Government workers,1888.0
CLASS OF WORKER,Self-employed in own not incorporated business workers,1331.0
CLASS OF WORKER,Unpaid family workers,18.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Total households,16574.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"Less than $10,000",1796.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$10,000 to $14,999",2012.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$15,000 to $24,999",2950.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$25,000 to $34,999",2221.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$35,000 to $49,999",2349.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$50,000 to $74,999",2328.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$75,000 to $99,999",1511.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$100,000 to $149,999",1123.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$150,000 to $199,999",119.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$200,000 or more",165.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Median household income (dollars),32472.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean household income (dollars),45608.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With earnings,12214.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean earnings (dollars),47762.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With Social Security,5201.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean Social Security income (dollars),15164.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With retirement income,1998.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean retirement income (dollars),18180.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With Supplemental Security Income,2325.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean Supplemental Security Income (dollars),10431.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With cash public assistance income,427.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean cash public assistance income (dollars),2224.0
