category,metric_label,margin_of_error
EMPLOYMENT STATUS,Population 16 years and over,2255.0
EMPLOYMENT STATUS,In labor force,1723.0
EMPLOYMENT STATUS,Civilian labor force,1725.0
EMPLOYMENT STATUS,Employed,1616.0
EMPLOYMENT STATUS,Unemployed,575.0
EMPLOYMENT STATUS,Armed Forces,39.0
EMPLOYMENT STATUS,Not in labor force,1263.0
EMPLOYMENT STATUS,Civilian labor force,1725.0
EMPLOYMENT STATUS,Females 16 years and over,1270.0
EMPLOYMENT STATUS,In labor force,952.0
EMPLOYMENT STATUS,Civilian labor force,952.0
EMPLOYMENT STATUS,Employed,907.0
EMPLOYMENT STATUS,Own children of the householder under 6 years,769.0
EMPLOYMENT STATUS,All parents in family in labor force,632.0
EMPLOYMENT STATUS,Own children of the householder 6 to 17 years,1186.0
EMPLOYMENT STATUS,All parents in family in labor force,805.0
COMMUTING TO WORK,Workers 16 years and over,1536.0
COMMUTING TO WORK,"Car, truck, or van -- drove alone",1132.0
COMMUTING TO WORK,"Car, truck, or van -- carpooled",592.0
COMMUTING TO WORK,Public transportation,584.0
COMMUTING TO WORK,Walked,246.0
COMMUTING TO WORK,Other means,144.0
COMMUTING TO WORK,Worked from home,189.0
COMMUTING TO WORK,Mean travel time to work (minutes),1.5
OCCUPATION,Civilian employed population 16 years and over,1616.0
OCCUPATION,"Management, business, science, and arts occupations",552.0
OCCUPATION,Service occupations,750.0
OCCUPATION,Sales and office occupations,549.0
OCCUPATION,"Natural resources, construction, and maintenance occupations",506.0
OCCUPATION,"Production, transportation, and material moving occupations",658.0
INDUSTRY,Civilian employed population 16 years and over,1616.0
INDUSTRY,"Agriculture, forestry, fishing and hunting, and mining",23.0
INDUSTRY,Construction,463.0
INDUSTRY,Manufacturing,324.0
INDUSTRY,Wholesale trade,179.0
INDUSTRY,Retail trade,492.0
INDUSTRY,"Transportation and warehousing, and utilities",247.0
INDUSTRY,Information,114.0
INDUSTRY,"Finance and insurance, and real estate and rental and leasing",252.0
INDUSTRY,"Professional, scientific, and management, and administrative and waste management services",373.0
INDUSTRY,"Educational services, and health care and social assistance",523.0
INDUSTRY,"Arts, entertainment, and recreation, and accommodation and food services",768.0
INDUSTRY,"Other services, except public administration",268.0
INDUSTRY,Public administration,254.0
CLASS OF WORKER,Civilian employed population 16 years and over,1616.0
CLASS OF WORKER,Private wage and salary workers,1402.0
CLASS OF WORKER,Government workers,473.0
CLASS OF WORKER,Self-employed in own not incorporated business workers,384.0
CLASS OF WORKER,Unpaid family workers,20.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Total households,698.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"Less than $10,000",344.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$10,000 to $14,999",414.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$15,000 to $24,999",409.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$25,000 to $34,999",423.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$35,000 to $49,999",382.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$50,000 to $74,999",288.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$75,000 to $99,999",331.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$100,000 to $149,999",241.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$150,000 to $199,999",60.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$200,000 or more",93.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Median household income (dollars),2194.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean household income (dollars),3430.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With earnings,722.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean earnings (dollars),3789.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With Social Security,437.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean Social Security income (dollars),952.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With retirement income,305.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean retirement income (dollars),3883.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With Supplemental Security Income,377.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),Mean Supplemental Security Income (dollars),1059.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With cash public assistance income,129.0
