category,metric_label,percent_moe
EMPLOYMENT STATUS,In labor force,2.4
EMPLOYMENT STATUS,Civilian labor force,2.4
EMPLOYMENT STATUS,Employed,2.5
EMPLOYMENT STATUS,Unemployed,1.3
EMPLOYMENT STATUS,Armed Forces,0.1
EMPLOYMENT STATUS,Not in labor force,2.4
EMPLOYMENT STATUS,Unemployment Rate,2.6
EMPLOYMENT STATUS,In labor force,3.0
EMPLOYMENT STATUS,Civilian labor force,3.0
EMPLOYMENT STATUS,Employed,3.1
EMPLOYMENT STATUS,All parents in family in labor force,8.5
EMPLOYMENT STATUS,All parents in family in labor force,5.5
COMMUTING TO WORK,"Car, truck, or van -- drove alone",4.2
COMMUTING TO WORK,"Car, truck, or van -- carpooled",2.7
COMMUTING TO WORK,Public transportation,3.1
COMMUTING TO WORK,Walked,1.3
COMMUTING TO WORK,Other means,0.8
COMMUTING TO WORK,Worked from home,1.1
OCCUPATION,"Management, business, science, and arts occupations",2.7
OCCUPATION,Service occupations,3.2
OCCUPATION,Sales and office occupations,2.4
OCCUPATION,"Natural resources, construction, and maintenance occupations",2.6
OCCUPATION,"Production, transportation, and material moving occupations",3.0
INDUSTRY,"Agriculture, forestry, fishing and hunting, and mining",0.1
INDUSTRY,Construction,2.5
INDUSTRY,Manufacturing,1.6
INDUSTRY,Wholesale trade,0.9
INDUSTRY,Retail trade,2.4
INDUSTRY,"Transportation and warehousing, and utilities",1.2
INDUSTRY,Information,0.6
INDUSTRY,"Finance and insurance, and real estate and rental and leasing",1.4
INDUSTRY,"Professional, scientific, and management, and administrative and waste management services",1.9
INDUSTRY,"Educational services, and health care and social assistance",2.5
INDUSTRY,"Arts, entertainment, and recreation, and accommodation and food services",3.6
INDUSTRY,"Other services, except public administration",1.4
INDUSTRY,Public administration,1.4
CLASS OF WORKER,Private wage and salary workers,2.9
CLASS OF WORKER,Government workers,2.4
CLASS OF WORKER,Self-employed in own not incorporated business workers,1.9
CLASS OF WORKER,Unpaid family workers,0.1
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"Less than $10,000",2.1
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$10,000 to $14,999",2.4
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$15,000 to $24,999",2.4
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$25,000 to $34,999",2.4
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$35,000 to $49,999",2.3
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$50,000 to $74,999",1.8
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$75,000 to $99,999",1.9
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$100,000 to $149,999",1.4
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$150,000 to $199,999",0.4
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$200,000 or more",0.6
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With earnings,3.1
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With Social Security,2.6
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With retirement income,1.9
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With Supplemental Security Income,2.2
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With cash public assistance income,0.8
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),With Food Stamp/SNAP benefits in the past 12 months,3.2
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"Less than $10,000",2.6
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$10,000 to $14,999",2.5
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$15,000 to $24,999",2.7
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$25,000 to $34,999",2.9
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$35,000 to $49,999",3.0
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$50,000 to $74,999",2.2
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$75,000 to $99,999",2.9
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$100,000 to $149,999",1.8
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$150,000 to $199,999",0.5
INCOME AND BENEFITS (IN 2024 INFLATION-ADJUSTED DOLLARS),"$200,000 or more",0.7
HEALTH INSURANCE COVERAGE,With health insurance coverage,2.3
HEALTH INSURANCE COVERAGE,With private health insurance,2.2
HEALTH INSURANCE COVERAGE,With public coverage,2.5
HEALTH INSURANCE COVERAGE,No health insurance coverage,2.3
HEALTH INSURANCE COVERAGE,No health insurance coverage,2.5
HEALTH INSURANCE COVERAGE,With health insurance coverage,3.8
HEALTH INSURANCE COVERAGE,With private health insurance,3.7
HEALTH INSURANCE COVERAGE,With public coverage,2.2
HEALTH INSURANCE COVERAGE,No health insurance coverage,3.8
HEALTH INSURANCE COVERAGE,With health insurance coverage,8.9
HEALTH INSURANCE COVERAGE,With private health insurance,6.2
HEALTH INSURANCE COVERAGE,With public coverage,7.8
HEALTH INSURANCE COVERAGE,No health insurance coverage,8.9
HEALTH INSURANCE COVERAGE,With health insurance coverage,5.5
HEALTH INSURANCE COVERAGE,With private health insurance,3.3
HEALTH INSURANCE COVERAGE,With public coverage,5.9
HEALTH INSURANCE COVERAGE,No health insurance coverage,5.5
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,All families,3.2
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,With related children of the householder under 18 years,6.0
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,With related children of the householder under 5 years only,14.2
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Married couple families,4.7
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,With related children of the householder under 18 years,8.0
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,With related children of the householder under 5 years only,33.4
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,"Families with female householder, no spouse present",5.8
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,With related children of the householder under 18 years,7.8
