category,metric_label,percent
EMPLOYMENT STATUS,Population 16 years and over,41256.0
EMPLOYMENT STATUS,In labor force,51.5
EMPLOYMENT STATUS,Civilian labor force,51.4
EMPLOYMENT STATUS,Employed,44.5
EMPLOYMENT STATUS,Unemployed,6.9
EMPLOYMENT STATUS,Armed Forces,0.1
EMPLOYMENT STATUS,Not in labor force,48.5
EMPLOYMENT STATUS,Civilian labor force,21206.0
EMPLOYMENT STATUS,Unemployment Rate,13.5
EMPLOYMENT STATUS,Females 16 years and over,18685.0
EMPLOYMENT STATUS,In labor force,49.4
EMPLOYMENT STATUS,Civilian labor force,49.4
EMPLOYMENT STATUS,Employed,43.5
EMPLOYMENT STATUS,Own children of the householder under 6 years,4692.0
EMPLOYMENT STATUS,All parents in family in labor force,52.3
EMPLOYMENT STATUS,Own children of the householder 6 to 17 years,9371.0
EMPLOYMENT STATUS,All parents in family in labor force,59.5
COMMUTING TO WORK,Workers 16 years and over,17677.0
COMMUTING TO WORK,"Car, truck, or van -- drove alone",62.2
COMMUTING TO WORK,"Car, truck, or van -- carpooled",19.2
COMMUTING TO WORK,Public transportation,9.0
COMMUTING TO WORK,Walked,3.7
COMMUTING TO WORK,Other means,2.2
COMMUTING TO WORK,Worked from home,3.8
OCCUPATION,Civilian employed population 16 years and over,18341.0
OCCUPATION,"Management, business, science, and arts occupations",15.1
OCCUPATION,Service occupations,30.9
OCCUPATION,Sales and office occupations,17.2
OCCUPATION,"Natural resources, construction, and maintenance occupations",18.7
OCCUPATION,"Production, transportation, and material moving occupations",18.1
INDUSTRY,Civilian employed population 16 years and over,18341.0
INDUSTRY,"Agriculture, forestry, fishing and hunting, and mining",0.1
INDUSTRY,Construction,16.0
INDUSTRY,Manufacturing,6.3
INDUSTRY,Wholesale trade,2.7
INDUSTRY,Retail trade,10.0
INDUSTRY,"Transportation and warehousing, and utilities",5.5
INDUSTRY,Information,0.9
INDUSTRY,"Finance and insurance, and real estate and rental and leasing",5.0
INDUSTRY,"Professional, scientific, and management, and administrative and waste management services",10.0
INDUSTRY,"Educational services, and health care and social assistance",18.3
INDUSTRY,"Arts, entertainment, and recreation, and accommodation and food services",16.6
