category,case_id,opened_dt,sla_dt,closed_dt,late,dept,reason,type,case_status,source_id,address,council_district,xcoord,ycoord,report_start,report_end,zip
Health & Sanitation,1020063088,2024-12-05,2025-01-07,,YES,Human Services,Homeless Services,Homeless Outreach,Open,Constituent Call,"1523 DELGADO ST, SAN ANTONIO, 78207",5,2116892,13707664,2025-02-07,2026-02-07,78207
Health & Sanitation,1020067907,2024-12-09,2025-01-09,2025-02-13,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"830 BRADY BLVD, SAN ANTONIO, 78207",5,2115711,13694253,2025-02-07,2026-02-07,78207
Health & Sanitation,1020077680,2024-12-16,2025-01-15,2025-02-27,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"200 LOMBRANO ST, SAN ANTONIO, 78207",1,2125574,13708072,2025-02-07,2026-02-07,78207
Health & Sanitation,1020081723,2024-12-18,2025-01-17,2025-04-07,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"2919 S LAREDO ST, SAN ANTONIO, 78207",5,2117633,13698261,2025-02-07,2026-02-07,78207
Health & Sanitation,1020093436,2024-12-30,2025-01-24,2025-02-19,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"813 S CIBOLO ST, SAN ANTONIO, 78207",5,2120516,13700380,2025-02-07,2026-02-07,78207
Health & Sanitation,1020094712,2024-12-30,2025-01-24,2025-02-19,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"714 TORREON, SAN ANTONIO, 78207",5,2121080,13700717,2025-02-07,2026-02-07,78207
Health & Sanitation,1020104099,2025-01-07,2025-01-29,2025-04-07,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1423 N SAN JACINTO ST, SAN ANTONIO, 78207",1,2123135,13708408,2025-02-07,2026-02-07,78207
Health & Sanitation,1020112474,2025-01-11,2025-02-04,2025-02-17,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"818 BRADY BLVD, SAN ANTONIO, 78207",5,2115827,13694237,2025-02-07,2026-02-07,78207
Health & Sanitation,1020133878,2025-01-26,2025-02-17,2025-04-08,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"4319 W MARTIN ST, SAN ANTONIO, 78207",5,2113896,13705587,2025-02-07,2026-02-07,78207
Health & Sanitation,1020134077,2025-01-26,2025-02-17,2025-02-27,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1219 LOMBRANO ST, SAN ANTONIO, 78207",1,2118669,13709016,2025-02-07,2026-02-07,78207
Health & Sanitation,1020137097,2025-01-28,2025-02-18,2025-03-04,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"2323 GUADALUPE ST, SAN ANTONIO, 78207",5,2119163,13700438,2025-02-07,2026-02-07,78207
Health & Sanitation,1020143595,2025-02-01,2025-02-24,2025-04-08,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1108 MONTEREY ST, SAN ANTONIO, 78207",5,2124267,13702156,2025-02-07,2026-02-07,78207
Health & Sanitation,1020143652,2025-02-01,2025-02-24,2025-03-04,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"309 ALBERT ST, SAN ANTONIO, 78207",1,2119399,13708355,2025-02-07,2026-02-07,78207
Health & Sanitation,1020149369,2025-02-05,2025-02-26,2025-04-08,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"Elmendorf Lake Park,  3700 W COMMERCE ST, SAN ANTONIO, 78207",5,2114877,13703847,2025-02-07,2026-02-07,78207
Health & Sanitation,1020149705,2025-02-05,2025-02-26,2025-03-04,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"1224 LOMBRANO ST, SAN ANTONIO, 78207",1,2118616,13708938,2025-02-07,2026-02-07,78207
Health & Sanitation,1020166982,2025-02-16,2025-03-10,2025-04-08,YES,Human Services,Homeless Services,Homeless Encampment,Closed,Constituent Call,"208 S SAN MARCOS, SAN ANTONIO, 78207",5,2124923,13702352,2025-02-07,2026-02-07,78207
