zip_code,source,year,category,population_subgroup,metric,value,unit,margin_of_error,text_description,notes
78207,ACS S0501 (2024),2024,Total population,Total population,Total population,55474.0,count or percent,3535,"In ZIP code 78207 (San Antonio, TX), 2024, (Total population): Total population = 55,474. [ACS S0501 (2024); margin of error: +/-3535]",S0501_C01_001E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > Male,53.7,count or percent,1.9,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > Male = 53.7%. [ACS S0501 (2024); margin of error: +/-1.9]",S0501_C01_002E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > Female,46.3,count or percent,1.9,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > Female = 46.3%. [ACS S0501 (2024); margin of error: +/-1.9]",S0501_C01_003E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > Under 5 years,8.0,count or percent,1.1,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > Under 5 years = 8%. [ACS S0501 (2024); margin of error: +/-1.1]",S0501_C01_004E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 5 to 17 years,20.1,count or percent,1.6,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 5 to 17 years = 20.1%. [ACS S0501 (2024); margin of error: +/-1.6]",S0501_C01_005E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 18 to 24 years,9.6,count or percent,1.1,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 18 to 24 years = 9.6%. [ACS S0501 (2024); margin of error: +/-1.1]",S0501_C01_006E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 25 to 44 years,28.8,count or percent,1.3,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 25 to 44 years = 28.8%. [ACS S0501 (2024); margin of error: +/-1.3]",S0501_C01_007E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 45 to 54 years,10.9,count or percent,1.4,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 45 to 54 years = 10.9%. [ACS S0501 (2024); margin of error: +/-1.4]",S0501_C01_008E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 55 to 64 years,11.4,count or percent,1.4,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 55 to 64 years = 11.4%. [ACS S0501 (2024); margin of error: +/-1.4]",S0501_C01_009E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 65 to 74 years,6.3,count or percent,0.9,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 65 to 74 years = 6.3%. [ACS S0501 (2024); margin of error: +/-0.9]",S0501_C01_010E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 75 to 84 years,3.3,count or percent,0.5,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 75 to 84 years = 3.3%. [ACS S0501 (2024); margin of error: +/-0.5]",S0501_C01_011E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > 85 years and over,1.6,count or percent,0.7,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > 85 years and over = 1.6%. [ACS S0501 (2024); margin of error: +/-0.7]",S0501_C01_012E
78207,ACS S0501 (2024),2024,SEX AND AGE,Total population,SEX AND AGE > Median age (years),32.8,count or percent,1.1,"In ZIP code 78207 (San Antonio, TX), 2024, (SEX AND AGE): SEX AND AGE > Median age (years) = $33. [ACS S0501 (2024); margin of error: +/-1.1]",S0501_C01_013E
78207,ACS S0501 (2024),2024,RACE AND HISPANIC OR LATINO ORIGIN,Total population,RACE AND HISPANIC OR LATINO ORIGIN > One race,48.7,count or percent,3.4,"In ZIP code 78207 (San Antonio, TX), 2024, (RACE AND HISPANIC OR LATINO ORIGIN): RACE AND HISPANIC OR LATINO ORIGIN > One race = 48.7%. [ACS S0501 (2024); margin of error: +/-3.4]",S0501_C01_014E
78207,ACS S0501 (2024),2024,RACE AND HISPANIC OR LATINO ORIGIN,Total population,RACE AND HISPANIC OR LATINO ORIGIN > One race > White,28.1,count or percent,2.5,"In ZIP code 78207 (San Antonio, TX), 2024, (RACE AND HISPANIC OR LATINO ORIGIN): RACE AND HISPANIC OR LATINO ORIGIN > One race > White = 28.1%. [ACS S0501 (2024); margin of error: +/-2.5]",S0501_C01_015E
