zip_code,summary_type,group_by,group_value,count,text_description
78207,Total cases,All,All service requests,167,"In ZIP code 78207 (San Antonio, TX), there are 167 total Health & Sanitation service requests in the dataset."
78207,By status,case_status,Closed,148,"In ZIP code 78207 (San Antonio, TX), 148 service requests (88.6%) have status: Closed."
78207,By status,case_status,Open,19,"In ZIP code 78207 (San Antonio, TX), 19 service requests (11.4%) have status: Open."
78207,By reason,reason,Facility License,17,"In ZIP code 78207 (San Antonio, TX), 17 service requests (10.2%) are categorised as 'Facility License'."
78207,By reason,reason,Food Establishments,57,"In ZIP code 78207 (San Antonio, TX), 57 service requests (34.1%) are categorised as 'Food Establishments'."
78207,By reason,reason,Homeless Services,84,"In ZIP code 78207 (San Antonio, TX), 84 service requests (50.3%) are categorised as 'Homeless Services'."
78207,By reason,reason,Miscellaneous,1,"In ZIP code 78207 (San Antonio, TX), 1 service requests (0.6%) are categorised as 'Miscellaneous'."
78207,By reason,reason,Vector,8,"In ZIP code 78207 (San Antonio, TX), 8 service requests (4.8%) are categorised as 'Vector'."
78207,By type,type,Encampment Abatement,1,"In ZIP code 78207 (San Antonio, TX), 1 service requests (0.6%) are of type 'Encampment Abatement'."
78207,By type,type,Food Illness(Food Borne Illness),5,"In ZIP code 78207 (San Antonio, TX), 5 service requests (3.0%) are of type 'Food Illness(Food Borne Illness)'."
78207,By type,type,Food Sales Without Permit,2,"In ZIP code 78207 (San Antonio, TX), 2 service requests (1.2%) are of type 'Food Sales Without Permit'."
78207,By type,type,General Sanitation (Food Contact Surfaces),2,"In ZIP code 78207 (San Antonio, TX), 2 service requests (1.2%) are of type 'General Sanitation (Food Contact Surfaces)'."
78207,By type,type,General Sanitation (Food Contamination),8,"In ZIP code 78207 (San Antonio, TX), 8 service requests (4.8%) are of type 'General Sanitation (Food Contamination)'."
78207,By type,type,General Sanitation (Hygienic Practices),9,"In ZIP code 78207 (San Antonio, TX), 9 service requests (5.4%) are of type 'General Sanitation (Hygienic Practices)'."
78207,By type,type,General Sanitation (Pests),8,"In ZIP code 78207 (San Antonio, TX), 8 service requests (4.8%) are of type 'General Sanitation (Pests)'."
78207,By type,type,General Sanitation (Sanitary Conditions),21,"In ZIP code 78207 (San Antonio, TX), 21 service requests (12.6%) are of type 'General Sanitation (Sanitary Conditions)'."
78207,By type,type,General Sanitation (Ventilation),2,"In ZIP code 78207 (San Antonio, TX), 2 service requests (1.2%) are of type 'General Sanitation (Ventilation)'."
78207,By type,type,Homeless Encampment,78,"In ZIP code 78207 (San Antonio, TX), 78 service requests (46.7%) are of type 'Homeless Encampment'."
78207,By type,type,Homeless Outreach,6,"In ZIP code 78207 (San Antonio, TX), 6 service requests (3.6%) are of type 'Homeless Outreach'."
78207,By type,type,Renewal / Invoice,17,"In ZIP code 78207 (San Antonio, TX), 17 service requests (10.2%) are of type 'Renewal / Invoice'."
78207,By type,type,Vector Public Right of Way,8,"In ZIP code 78207 (San Antonio, TX), 8 service requests (4.8%) are of type 'Vector Public Right of Way'."
78207,Late response rate,late,YES,78,"In ZIP code 78207 (San Antonio, TX), 78 of 167 service requests (46.7%) had a late response."
78207,By year opened,year,2024,6,"In ZIP code 78207 (San Antonio, TX), 6 service requests were opened in 2024."
78207,By year opened,year,2025,161,"In ZIP code 78207 (San Antonio, TX), 161 service requests were opened in 2025."
