OBJECTID,CartID,MSAG_Name,FromStreet,ToStreet,Jurisdiction,District,LengthFeet,InstallDate,ProjectName,VendorProjectName,PCI,Comments,ROW_Type,Surface_Type,PavementWidth,SpeedLimit,OneWay,Owner,ROAD_CLASSIFICATION,RoadFunction,MaintenanceResponsibility,Status,SweepingSchedule,Stage,Historical_ID,GoogleMapView,created_date,last_edited_date,GlobalID,Shape_Length
89,502643,CHESTNUT ST,IH 37 S ACCESS RD,CENTER ST,San Antonio,2,213.4976963,1980-01-01,Unknown,,43.97,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,16,0,Yes,San Antonio,1,Local,COSA - Public Works Dept,TBD,Nightly,Existing,502643,http://www.google.com/maps/place/29.42240076N 098.48009589W,2022-11-29 19:27:08,2024-06-24 16:33:36,{270E2693-DD4A-439C-A722-36A2B14DAA1A},213.4976963
443,504616,SCHOOL ST,WHITING,RR CROSSING,San Antonio,3,333.5005029,1980-01-01,Unknown,,95.05,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,18,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,504616,http://www.google.com/maps/place/29.38820613N 098.48420404W,2022-11-29 21:14:26,2024-06-23 8:17:34,{A6BCEAFF-D9DA-49EE-B79F-EAA880660EBD},333.5005029
1340,415773,EWING HALSELL,MEDICAL DR,BREEZYHILL,San Antonio,8,647.1599122,1980-01-01,Unknown,,79.21,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,36,30,No,San Antonio,1,Collector,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,415773,http://www.google.com/maps/place/29.51105671N 098.57223583W,2022-11-29 22:02:14,2024-06-20 18:05:40,{21C55ADD-C6C8-433A-A01E-310465EFC667},647.1599121
1709,505358,N PALMETTO,POTOMAC ST,CENTER ST,San Antonio,2,135.0280643,1980-01-01,Unknown,,54.98,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,505358,http://www.google.com/maps/place/29.42278211N 098.46540063W,2022-11-29 20:37:04,2024-06-20 18:02:52,{ECF79857-AC4A-415C-BC66-E42B97460E87},135.0280643
3178,505827,N NEW BRAUNFELS AVE,CENTER ST,CENTER ST,San Antonio,2,178.6751201,1980-01-01,Unknown,,70.6,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,22,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,505827,http://www.google.com/maps/place/29.42233594N 098.46128116W,2022-11-29 19:27:08,2024-06-24 6:45:20,{278A72FA-0446-45D8-8A24-716846FF0E06},178.6751201
3515,505382,N POLARIS,GIBBS ST,CENTER ST,San Antonio,2,307.000144,1980-01-01,Unknown,,58.67,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,No,San Antonio,1,Local,COSA - Public Works Dept,IMP Complete,Schedule1,Existing,505382,http://www.google.com/maps/place/29.42213076N 098.45902300W,2022-11-29 21:37:58,2024-06-20 18:04:52,{CFDB66FC-0371-45B3-9D5A-895937B8B988},307.0001439
3592,505828,N NEW BRAUNFELS AVE,CENTER ST,POTOMAC ST,San Antonio,2,167.7866392,1980-01-01,Unknown,,66.48,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,22,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,505828,http://www.google.com/maps/place/29.42277332N 098.46128076W,2022-11-29 21:05:04,2024-06-23 8:13:12,{6BA6B3B3-EEFB-439E-85B6-0FA1ECBB430A},167.7866392
3762,504612,SCHOOL ST,S PRESA ST,NAYLOR,San Antonio,3,558.7041446,1980-01-01,Unknown,,98.29,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,22,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,504612,http://www.google.com/maps/place/29.38903736N 098.48080910W,2022-11-29 20:08:34,2024-06-23 7:24:04,{A43F79E6-EC30-49E1-B990-D809E3F7EF3F},558.7041446
4973,8479516,AJO OAK,WELDER OAK,LETUS OAK,San Antonio,3,278.8892198,2021-11-04,"Heritage Oaks Unit-4, 19-11800324",,98.29,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,New,Schedule1,Existing,8479516,http://www.google.com/maps/place/29.31357343N 098.43461795W,2022-11-30 1:56:10,2024-06-20 18:06:50,{965216C2-A9FF-490D-84B5-FA97F528322F},278.8892198
5134,520731,TOWN CENTER DR,ROGERS CROSSING,STATE HWY 151 ACCESS RD,San Antonio,6,929.4153515,1980-01-01,Unknown,,96.24,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,520731,http://www.google.com/maps/place/29.46170789N 098.68903149W,2022-11-29 19:09:44,2024-06-20 17:59:40,{B677B19C-DCD3-47D4-95EE-55A97330955A},929.4153515
5682,312914,MOONLIGHT TERRACE,EVENINGWAY,CENTERWAY,San Antonio,2,755.763526,1980-01-01,Unknown,,35.95,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,312914,http://www.google.com/maps/place/29.53355870N 098.38608936W,2022-11-29 21:42:48,2024-06-23 8:42:29,{F1A335D3-DF6B-43DC-A0E8-F74311F7259A},755.763526
6111,416740,BABCOCK RD,E CRESTLINE,CENTERVIEW,San Antonio,7,664.2923435,1980-01-01,Unknown,,83.7,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,35,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,416740,http://www.google.com/maps/place/29.48797967N 098.56532472W,2022-11-29 20:55:31,2024-06-20 18:03:29,{2B2C1112-EFC2-4812-97CE-5176B78D160C},664.2923435
