Project Name,Proposition,Phase,Current Status,Active,Council District,CD,Bond_Year,Total Budget,Total Expenditures,Bond Budget,Bond Expenditures,Construction Start Date,Construction End Date,CPO,Project Comments,Quadlinks,x,y,GlobalID,OBJECTID,Budget Utilized %
District 5 Pedestrian Mobility & Streets,Streets,Complete,On Schedule,Inactive,05,5,2017,7737343,7042272.19,7438000,6113840.39,Summer 2018,Fall 2023,Joe Hinojosa - (210) 207-2799,,https://publicinput.com/d5pedestrianmobilitystreets,2115340.5,13696061.25,b04f3882-6507-4ddf-a53f-55cfdd482a38,8898,91
Lone Star Boulevard (Area Streets),Streets,Cancelled,Cancelled,Active,05,5,2017,62657,62656.87,62000,62656.87,,,Joey Doctor - (210) 207-8415,"Project was canceled due to the partner’s inability to provide financial commitment.  Project funds were reallocated to two projects: Probandt Street (S Alamo to US Hwy 90) $4,937,343 and District 5 Pedestrian Mobility & Streets $937,434.",https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2130683.24,13694293.27,2c1a917e-d633-47d4-aaba-104634b74eb9,8915,100
Probandt Street (South Alamo Street to US Highway 90),Streets,Design,Off Schedule,Active,05,5,2017,9329258,1605836.13,9000000,1238401.6,,,LaShondra Gladney - (210) 207-0620,"TxDOT required redesign of the project since roadway control will not be turned over to City.   City rescoped the project in coordination with TxDOT to comply with requirements and design has resumed. Anticipating Advanced Funding Agreement with TxDOT, which is required to complete design, to be presented for City Co",https://publicinput.com/probandt,2129278.658,13694557.11,69ff61dd-3367-4be8-8c88-cf1e297fb311,8925,17.2
Roosevelt Avenue (I-10 to South St. Mary’s Street),Streets,Complete,On Schedule,Inactive,05,5,2017,7101488,6218577.96,5000000,4590245.62,Summer 2022,Spring 2023,David Pulido - (210) 207-0501,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2132057.069,13693055.27,b4a99d92-112b-4223-b155-b7e173a3fe3a,8928,87.6
South Zarzamora Street Overpass at Union Pacific Railroad/Frio City Road,Streets,Complete,On Schedule,Inactive,05,5,2017,31812018,10304637.91,10000000,4292538.37,,,Tania Mendoza - (210) 207-6905,,https://publicinput.com/v0568,2117791.5,13692077,fc9572e5-3e76-4131-90e3-49baa318d003,8935,32.4
West Commerce Street (Frio Street to Colorado Street),Streets,Complete,On Schedule,Inactive,05,5,2017,15582167,14630576.3,10000000,9500658.51,Winter 2021,Summer 2023,Joey Doctor - (210) 207-8415,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2125306.446,13702920.06,f37ddd17-3f90-4970-9df1-13d98f6aae6a,8940,93.9
District 5 Parks,Parks,Complete,On Schedule,Inactive,05,5,2017,989171,989171.08,1000000,989171.08,Spring 2019,Spring 2020,Desiree Salmon - (210) 207-2113,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2115858.53,13697245.31,b8cbcddb-8595-4d8e-b932-01196d2b5fab,8979,100
Elmendorf Lake Park,Parks,Complete,On Schedule,Inactive,05,5,2017,2000000,2000000,2000000,2000000,Fall 2018,Fall 2019,Bill Pennell - (210) 207-4082,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2115046.341,13703452.69,83b9285c-7e98-41cd-9ac7-e3153c33241e,8984,100
Monterrey Park,Parks,Complete,On Schedule,Inactive,05,5,2017,723431,723431.05,475000,473431.05,Spring 2020,Spring 2021,Desiree Salmon - (210) 207-2113,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2103097.567,13705536.32,74c7408b-3f49-49a3-a15f-c0cfb3bdb8c6,9005,100
Normoyle Park,Parks,Complete,On Schedule,Inactive,05,5,2017,1132297,1132297.16,1150000,1132297.16,Fall 2019,Summer 2020,Jamaal Moreno - (210) 207-6924,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2114901.53,13686135.54,0f16b9a5-1bcc-4166-b5b9-199d863a8e29,9011,100
Rosedale Park,Parks,Complete,On Schedule,Inactive,05,5,2017,572822,572821.54,500000,496750.54,Winter 2020,Spring 2020,Pat Schneider - (210) 207-,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2111661.69,13706231.03,fa789c93-24b2-4898-9636-767a00b6c580,9024,100
Guadalupe Cultural Arts Center,Library,Complete,On Schedule,Inactive,05,5,2017,447140,447140.24,450000,447140.24,Winter 2020,Summer 2020,Randy Matyear - (210) 207-2155,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2119038.787,13701050.14,cb664b8d-08e8-405a-83a0-83988f434542,9046,100
Las Palmas Branch Library,Library,Complete,On Schedule,Inactive,05,5,2017,1918000,1909401.04,1700000,1700000,Spring 2022,Winter 2024,Evelyn Gamez - (210) 207-1454,,https://saspeakup.com/laspalmasbranchlibrary,2111896.158,13699861.93,c5acb35d-4a21-4be9-95cf-38d38618d714,9047,99.6
Memorial Branch Library,Library,Complete,On Schedule,Inactive,05,5,2017,3863735,3863734.58,3300000,3300000,Winter 2021,Fall 2022,Evelyn Gamez - (210) 207-1454,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2107874.319,13710784.84,69fa6966-3087-4fa2-b208-ab93c7acd385,9050,100
The Neighborhood Place Cultural/Community Center,Library,Complete,On Schedule,Inactive,05,5,2017,1500000,1500000,1500000,1500000,Fall 2017,Summer 2019,Randy Matyear - (210) 207-2155,,https://cosagis.maps.arcgis.com/apps/webappviewer/index.html?id=939d9e04b9f94afd877fa335f9ff5444,2109782.475,13708631.65,852ee268-6cca-4af9-b9a7-b8efb84396c1,9052,100
Culebra Road (IH-10 to Callaghan Road),Streets,Design,On Schedule,Active,"01,05,07",Multiple Districts,2022,18581021,2429222.18,18000000,2130999.83,Spring 2026,Fall 2027,Joe Garcia - (210) 207-0097,,https://publicinput.com/a0367,2108946.527,13710846.38,ca453326-7ebb-4914-bf58-16efb32bf1aa,9071,13.1
District 5 F-Streets Reconstruction,Streets,Construction,On Schedule,Active,05,5,2022,10520000,7623379.31,10520000,6652817.27,Winter 2023,Spring 2027,Al Siam Ferdous - (210) 207-6941,,https://publicinput.com/y1547,2119861,13697253.25,6432d247-f019-4f12-b260-0cda1136d4d2,9080,72.5
