,MSAG_Name,PCI,Road_Deterioration_Score,Recent_Complaint_Count,Maintenance_Age_Years,Road_Deterioration_Score_Scaled,Recent_Complaint_Count_Scaled,Maintenance_Age_Years_Scaled,Pothole_Formation_Risk_Score,Latitude,Longitude,color
0,BRAZIL,0,100,1,44.42436687200548,1,0.011235955056179775,1,0.7033707865168539,29.54267544,98.5256857,purple
1,Dick Friedrich,0,100,0,44.42436687200548,1,0,1,0.7,29.47911368,98.48011756,purple
2,UNNAMED PARK RD AT N ST MARYS,0,100,0,44.42436687200548,1,0,1,0.7,29.46073168,98.47705387,purple
3,W TERMINAL,0,100,0,44.42436687200548,1,0,1,0.7,29.52590586,98.47671465,purple
4,DEE HOWARD WAY,0,100,0,44.42436687200548,1,0,1,0.7,29.52445151,98.47868254,purple
5,W QUINCY,0,100,0,44.42436687200548,1,0,1,0.7,29.43447393,98.49531984,purple
6,JOHN HUTH,0,100,0,44.42436687200548,1,0,1,0.7,29.5264213,98.47606116,purple
7,E QUINCY,5.282727272727272,94.71727272727273,6,44.42436687200548,0.947167444017129,0.06741573033707865,1,0.6938084411096881,29.43520601,98.49327562,purple
8,MACE,3.45,96.55,0,44.42436687200548,0.9654965496549655,0,1,0.6827482748274827,29.48949871,98.53059894,purple
9,ALLADIN DR,4.29,95.71,0,44.42436687200548,0.957095709570957,0,1,0.6785478547854785,29.46025512,98.60066032,purple
